Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																	
Дата голосования: 02.12.2007																																																	
																																																	
Наименование Избирательной комиссии:    Смоленская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661					
1	"Число избирателей, внесенных в списки избирателей"	36259	290	1887	522	530	914	1756	1867	466	1171	1298	348	1905	424	2772	259	251	1588	449	1857	574	357	667	618	1112	292	2515	195	615	1540	1263	193	939	468	337	463	483	565	1209	329	244	437	290					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	34918	291	1750	524	528	912	1700	1800	442	937	1211	354	1922	500	2590	234	200	1560	436	1845	546	351	556	606	1097	272	2350	184	592	1529	1286	190	935	451	328	464	474	555	1152	317	240	423	284					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16492	147	822	235	253	376	1009	958	218	508	459	80	805	182	1490	56	143	786	199	861	324	131	369	323	386	127	1032	50	296	702	596	100	565	200	131	168	185	193	548	145	77	174	83					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4063	59	153	117	89	151	37	94	20	164	173	98	289	52	117	81	0	130	85	94	56	101	67	61	185	46	242	59	32	47	119	31	25	87	59	126	115	137	164	53	69	88	91					
6	Число погашенных избирательных бюллетеней	14363	85	775	172	186	385	654	748	204	265	579	176	828	266	983	97	57	644	152	890	166	119	120	222	526	99	1076	75	264	780	571	59	345	164	138	170	174	225	440	119	94	161	110					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4063	59	153	117	89	151	37	94	20	164	173	98	289	52	117	81	0	130	85	94	56	101	67	61	185	46	242	59	32	47	119	31	25	87	59	126	115	137	164	53	69	88	91					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16485	147	822	235	253	376	1009	956	218	508	459	80	803	182	1490	56	143	786	199	861	324	131	368	323	386	127	1030	50	296	702	596	100	565	200	131	168	185	193	548	145	77	174	83					
9	Число недействительных избирательных бюллетеней	456	2	31	18	3	15	20	8	7	42	8	1	12	0	16	1	22	18	14	39	8	7	5	15	8	3	16	1	12	11	9	2	17	7	6	6	6	3	20	3	4	9	1					
10	Число действительных избирательных бюллетеней	20092	204	944	334	339	512	1026	1042	231	630	624	177	1080	234	1591	136	121	898	270	916	372	225	430	369	563	170	1256	108	316	738	706	129	573	280	184	288	294	327	692	195	142	253	173					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	696	6	30	10	10	20	40	40	10	20	30	10	30	10	40	10	10	20	10	20	10	10	10	10	20	10	40	10	10	30	20	10	20	10	10	10	10	10	20	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	189	6	6	0	0	4	17	13	6	4	3	1	15	2	20	0	1	14	3	15	1	3	8	2	4	2	10	0	2	8	4	0	0	1	1	3	1	1	6	0	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	248	4	7	3	3	9	12	11	2	9	3	3	5	5	7	4	8	6	6	7	10	0	14	6	6	8	13	6	12	6	8	6	1	3	6	5	6	1	7	1	1	5	3					
14	Число погашенных неиспользованных открепительных удостоверений	507	0	24	10	10	16	23	27	4	16	27	9	15	8	20	10	9	6	7	5	9	7	2	8	16	8	30	10	8	22	16	10	20	9	9	7	9	9	14	10	10	9	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
