Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
"Наименование Избирательной комиссии:    Самара, Советская"																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356	УИК №3357	УИК №3358	УИК №3359	УИК №3360	УИК №3361	УИК №3362									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	130689	1954	1991	1873	2400	2780	1022	1291	2060	2880	2036	2230	2776	1705	2518	2097	2076	1867	1952	1928	1711	1906	2637	2531	2771	2644	2539	2539	798	2847	1956	2528	2509	2218	1919	2344	2803	2800	736	2711	1136	2393	2199	2111	2675	2274	2173	1105	1877	2573	1297	2694	2886	2063	2169	2003	2691	1567	1406	2906	2831	526	251									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	124550	1900	1900	1800	2300	2700	1000	1200	2000	2800	2000	2000	2700	1600	2400	2000	2000	1800	1900	1900	1700	1800	2600	2500	2700	2500	2500	2500	700	2800	1900	2500	2500	2200	1900	2100	2800	2800	700	2700	1100	2100	2200	2000	2500	2000	2000	1000	1500	2500	1000	2500	2500	2000	2000	1500	2500	1400	1400	2800	2800	750	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	46501	612	694	679	803	933	374	532	622	863	734	806	951	568	873	709	635	709	778	714	586	703	949	954	1019	955	930	1022	296	1081	769	840	815	830	650	655	1028	1035	321	891	435	977	835	654	928	601	631	356	528	874	500	821	1002	791	816	783	1042	632	565	1058	1028	526	200									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1932	17	31	33	48	33	14	13	34	19	15	29	49	28	33	34	34	26	23	28	27	25	28	35	25	50	42	17	21	33	24	32	29	23	29	45	57	27	3	60	32	51	34	34	16	28	35	11	33	38	18	50	48	42	54	41	47	26	50	27	44	0	0									
6	Число погашенных избирательных бюллетеней	76117	1271	1175	1088	1449	1734	612	655	1344	1918	1251	1165	1700	1004	1494	1257	1331	1065	1099	1158	1087	1072	1623	1511	1656	1495	1528	1461	383	1686	1107	1628	1656	1347	1221	1400	1715	1738	376	1749	633	1072	1331	1312	1556	1371	1334	633	939	1588	482	1629	1450	1167	1130	676	1411	742	785	1715	1728	224	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1932	17	31	33	48	33	14	13	34	19	15	29	49	28	33	34	34	26	23	28	27	25	28	35	25	50	42	17	21	33	24	32	29	23	29	45	57	27	3	60	32	51	34	34	16	28	35	11	33	38	18	50	48	42	54	41	47	26	50	27	44	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	46366	612	686	677	802	933	374	532	622	861	734	806	951	568	873	709	635	709	778	713	586	703	883	954	1019	955	930	1022	296	1081	769	840	815	830	650	655	1028	1031	321	891	435	977	835	654	921	593	631	356	495	872	500	821	1002	791	816	782	1042	632	565	1058	1028	526	200									
9	Число недействительных избирательных бюллетеней	1363	20	21	29	19	24	16	13	35	17	24	36	19	7	16	35	23	29	25	21	27	6	0	30	19	41	27	28	0	28	27	12	37	53	33	5	17	29	6	32	23	25	18	23	22	20	16	4	40	21	3	50	39	12	31	22	21	21	19	22	23	2	0									
10	Число действительных избирательных бюллетеней	46935	609	696	681	831	942	372	532	621	863	725	799	981	589	890	708	646	706	776	720	586	722	911	959	1025	964	945	1011	317	1086	766	860	807	800	646	695	1068	1029	318	919	444	1003	851	665	915	601	650	363	488	889	515	821	1011	821	839	801	1068	637	596	1063	1049	524	200									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1840	30	30	30	30	40	30	30	30	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	40	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1130	15	14	14	13	25	5	15	20	31	20	25	28	14	11	16	29	12	19	12	15	19	20	21	24	28	22	26	6	25	18	20	8	20	13	18	22	26	16	21	9	29	16	25	28	16	18	11	8	17	15	24	27	21	22	7	20	17	13	27	34	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	811	4	12	5	20	15	17	5	42	11	24	7	11	9	11	9	4	14	7	10	9	27	10	11	6	33	11	16	12	7	6	3	6	10	6	8	20	21	2	11	12	15	19	15	12	16	1	11	31	11	21	13	0	10	8	11	23	14	6	10	6	60	14									
