Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва													
Дата голосования: 18.09.2016													
													
Наименование Избирательной комиссии:    Верхнедубровская поселковая													
													
Сводная таблица итогов голосования по федеральному избирательному округу													
													
		Сумма	УИК №2569	УИК №2570									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3925	1972	1953									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3900	2000	1900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1749	978	771									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	29	10	19									
6	Число погашенных избирательных бюллетеней	2122	1012	1110									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	29	10	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1749	978	771									
9	Число недействительных избирательных бюллетеней	62	29	33									
10	Число действительных избирательных бюллетеней	1716	959	757									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	160	80	80									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	17	6	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	24	14	10									
14	Число погашенных неиспользованных открепительных удостоверений	143	74	69									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	4	3									
16	Число утраченных открепительных удостоверений	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0									
													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	33	14	19									
		1.86%	1.42%	2.41%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	39	26	13									
		2.19%	2.63%	1.65%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	47	31	16									
		2.64%	3.14%	2.03%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	775	431	344									
		43.59%	43.62%	43.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	12	5									
		0.96%	1.21%	0.63%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	1	3									
		0.22%	0.10%	0.38%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	319	161	158									
		17.94%	16.30%	20.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	5	4									
		0.51%	0.51%	0.51%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	27	18	9									
		1.52%	1.82%	1.14%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	1	3									
		0.22%	0.10%	0.38%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	30	15	15									
		1.69%	1.52%	1.90%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	178	99	79									
		10.01%	10.02%	10.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	19	12	7									
		1.07%	1.21%	0.89%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	215	133	82									
		12.09%	13.46%	10.38%									
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
