Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Cуджанская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1156									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22847	1176	1196	1488	1326	544	225	467	646	986	433	590	314	135	793	274	269	920	1272	1292	1391	1010	396	462	257	279	287	112	620	823	321	149	1300	288	806									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20697	1067	1093	1325	1210	497	203	421	582	894	393	544	285	126	731	238	254	826	1155	1182	1255	913	356	419	220	256	253	101	561	755	275	131	1185	257	734									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10790	628	566	734	590	288	114	241	310	467	130	323	185	66	392	153	82	442	577	601	583	430	163	215	138	147	110	55	338	335	160	66	630	153	378									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1668	13	39	24	51	72	19	36	99	43	99	67	31	40	91	28	64	68	60	62	81	75	33	54	22	28	64	26	48	70	36	31	46	17	31									
6	Число погашенных избирательных бюллетеней	8239	426	488	567	569	137	70	144	173	384	164	154	69	20	248	57	108	316	518	519	591	408	160	150	60	81	79	20	175	350	79	34	509	87	325									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1668	13	39	24	51	72	19	36	99	43	99	67	31	40	91	28	64	68	60	62	81	75	33	54	22	28	64	26	48	70	36	31	46	17	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10790	628	566	734	590	288	114	241	310	467	130	323	185	66	392	153	82	442	577	601	583	430	163	215	138	147	110	55	338	335	160	66	630	153	378									
9	Число недействительных избирательных бюллетеней	323	16	15	29	20	9	4	6	11	11	2	15	6	1	6	8	1	20	20	26	18	10	1	4	0	1	0	0	7	15	8	0	20	4	9									
10	Число действительных избирательных бюллетеней	12135	625	590	729	621	351	129	271	398	499	227	375	210	105	477	173	145	490	617	637	646	495	195	265	160	174	174	81	379	390	188	97	656	166	400									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	353	20	20	20	20	10	5	5	5	10	5	5	7	3	15	3	4	10	20	20	25	25	5	5	5	5	5	3	3	10	10	3	25	5	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	136	8	5	12	8	2	0	0	0	5	1	2	7	3	15	0	3	0	3	9	1	5	1	5	0	0	0	0	1	10	1	3	17	0	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	163	6	16	7	7	0	3	1	11	2	0	2	4	0	12	6	1	3	3	2	4	1	2	9	11	0	2	1	1	10	16	9	7	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	217	12	15	8	12	8	5	5	5	5	4	3	0	0	0	3	1	10	17	11	24	20	4	0	5	5	5	3	2	0	9	0	8	5	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	5	3	9	1	0	0	0	1	2	0	0	0	0	1	0	0	2	5	0	1	2	2	2	0	1	0	0	2	1	0	0	4	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	100	10	5	9	5	2	1	5	3	3	2	4	0	1	2	0	0	0	11	9	5	2	2	0	1	0	0	2	0	1	2	0	8	0	5									
		0.80%	1.56%	0.83%	1.19%	0.78%	0.56%	0.75%	1.81%	0.73%	0.59%	0.87%	1.03%	0.00%	0.94%	0.41%	0.00%	0.00%	0.00%	1.73%	1.36%	0.75%	0.40%	1.02%	0.00%	0.63%	0.00%	0.00%	2.47%	0.00%	0.25%	1.02%	0.00%	1.18%	0.00%	1.22%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	432	26	22	22	35	11	4	3	15	19	3	13	8	6	17	3	5	12	35	29	19	10	7	6	5	1	5	3	17	15	4	1	27	6	18									
		3.47%	4.06%	3.64%	2.90%	5.46%	3.06%	3.01%	1.08%	3.67%	3.73%	1.31%	3.33%	3.70%	5.66%	3.52%	1.66%	3.42%	2.35%	5.49%	4.37%	2.86%	1.98%	3.57%	2.23%	3.13%	0.57%	2.87%	3.70%	4.40%	3.70%	2.04%	1.03%	3.99%	3.53%	4.40%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	163	9	19	10	6	1	0	0	7	10	0	7	0	0	7	3	2	6	11	16	11	10	3	2	0	1	0	1	1	5	2	0	8	0	5									
		1.31%	1.40%	3.14%	1.32%	0.94%	0.28%	0.00%	0.00%	1.71%	1.96%	0.00%	1.79%	0.00%	0.00%	1.45%	1.66%	1.37%	1.18%	1.73%	2.41%	1.66%	1.98%	1.53%	0.74%	0.00%	0.57%	0.00%	1.23%	0.26%	1.23%	1.02%	0.00%	1.18%	0.00%	1.22%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7262	317	290	416	289	233	73	178	274	265	182	241	170	73	319	127	102	355	309	343	386	264	115	184	118	120	126	50	252	241	113	82	348	97	210									
