Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Краснокутская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  678	УИК  679	УИК  680	УИК  681	УИК  682	УИК  683	УИК  684	УИК  685	УИК  686	УИК  687	УИК  688	УИК  689	УИК  690	УИК  691	УИК  692	УИК  693	УИК  694	УИК  695	УИК  696	УИК  697	УИК  698	УИК  699	УИК  700	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708					
1	"Число избирателей, внесенных в список"	27173	1708	2009	1457	1161	1452	711	1408	2343	875	330	389	1317	810	655	283	503	568	471	820	683	666	1013	480	553	853	873	600	658	528	438	558					
2	Число полученных избирательных бюллетеней	27221	1680	1986	1455	1157	1473	719	1403	2317	974	333	377	1274	808	705	276	499	569	464	821	684	666	1019	495	561	862	864	611	657	511	452	549					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17944	828	1000	747	545	936	395	639	1313	688	231	334	893	528	544	226	429	473	392	599	617	595	671	379	515	616	591	449	500	479	348	444					
5	"Число избирательных бюллетеней, выданных вне помещения"	1942	61	67	65	68	61	23	96	47	30	7	25	166	97	59	18	22	56	33	151	45	38	203	46	12	89	128	36	71	25	36	61					
6	Число погашенных избирательных бюллетеней	7335	791	919	643	544	476	301	668	957	256	95	18	215	183	102	32	48	40	39	71	22	33	145	70	34	157	145	126	86	7	68	44					
7	Число избирательных бюллетеней в переносных ящиках	1942	61	67	65	68	61	23	96	47	30	7	25	166	97	59	18	22	56	33	151	45	38	203	46	12	89	128	36	71	25	36	61					
8	Число бюллетеней в стационарных ящиках для голосования	17938	828	1000	747	545	936	395	639	1310	688	231	334	893	527	544	226	429	473	392	597	617	595	671	379	515	616	591	449	500	479	348	444					
9	Число недействительных избирательных бюллетеней	285	9	7	9	4	6	0	4	7	5	2	2	16	1	4	2	3	2	2	9	33	6	17	3	53	4	10	32	14	3	15	1					
10	Число действительных избирательных бюллетеней	19595	880	1060	803	609	991	418	731	1350	713	236	357	1043	623	599	242	448	527	423	739	629	627	857	422	474	701	709	453	557	501	369	504					
11	Число полученных открепительных  удостоверений	493	16	30	19	10	14	10	10	15	10	14	10	20	20	20	10	20	15	15	15	20	15	15	15	20	20	15	20	15	15	15	15					
12	Число выданных открепительных удостоверений	304	7	27	19	7	13	2	10	15	10	13	10	3	2	20	1	2	8	4	13	1	4	11	15	6	20	11	20	5	5	14	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	3	5	7	5	3	0	3	3	5	2	2	6	1	6	2	0	0	5	4	2	1	1	2	0	1	1	4	1	1	1	1					
14	Число неиспользованных открепительных удостоверений	189	9	3	0	3	1	8	0	0	0	1	0	17	18	0	9	18	7	11	2	19	11	4	0	14	0	4	0	10	10	1	9					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	1	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	516	43	38	30	29	34	20	27	65	25	6	5	10	14	16	2	10	10	6	13	9	0	19	1	8	13	12	11	11	11	5	13					
		2.60%	4.84%	3.56%	3.69%	4.73%	3.41%	4.78%	3.67%	4.79%	3.48%	2.52%	1.39%	0.94%	2.24%	2.65%	0.82%	2.22%	1.89%	1.41%	1.74%	1.36%	0.00%	2.17%	0.24%	1.52%	1.84%	1.67%	2.27%	1.93%	2.18%	1.30%	2.57%					
19	. Малышкин Олег Александрович	494	36	20	25	17	22	14	33	32	21	6	18	41	1	28	5	10	15	16	6	9	5	16	2	8	16	25	16	5	4	9	13					
		2.48%	4.05%	1.87%	3.08%	2.77%	2.21%	3.35%	4.49%	2.36%	2.92%	2.52%	5.01%	3.87%	0.16%	4.64%	2.05%	2.22%	2.84%	3.76%	0.80%	1.36%	0.79%	1.83%	0.47%	1.52%	2.27%	3.48%	3.30%	0.88%	0.79%	2.34%	2.57%					
20	. Миронов Сергей Михайлович	67	8	3	7	3	1	2	7	4	3	1	0	0	1	3	0	1	3	4	1	1	0	3	2	0	4	1	1	0	1	0	2					
