Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Серафимовичская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18331	510	217	812	184	498	959	187	321	937	112	547	658	349	185	502	1386	608	103	589	223	842	114	445	1874	1433	1675	2061									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17635	500	210	800	190	500	950	190	300	900	115	500	600	350	190	500	1300	600	100	500	230	800	110	400	1800	1400	1600	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7089	248	80	270	57	205	393	56	105	350	53	236	253	173	77	116	568	182	37	232	55	238	49	135	775	557	672	917									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2081	152	82	148	50	76	82	80	116	98	50	60	80	28	22	124	137	85	34	39	36	105	8	134	94	43	69	49									
6	Число погашенных избирательных бюллетеней	8465	100	48	382	83	219	475	54	79	452	12	204	267	149	91	260	595	333	29	229	139	457	53	131	931	800	859	1034									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2081	152	82	148	50	76	82	80	116	98	50	60	80	28	22	124	137	85	34	39	36	105	8	134	94	43	69	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7089	248	80	270	57	205	393	56	105	350	53	236	253	173	77	116	568	182	37	232	55	238	49	135	775	557	672	917									
9	Число недействительных избирательных бюллетеней	136	1	3	3	2	2	8	2	6	11	0	7	2	1	0	5	9	4	0	6	1	4	1	3	10	9	15	21									
10	Число действительных избирательных бюллетеней	9034	399	159	415	105	279	467	134	215	437	103	289	331	200	99	235	696	263	71	265	90	339	56	266	859	591	726	945									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	194	5	3	7	5	6	6	3	5	5	4	6	6	6	4	5	14	14	4	6	4	6	4	6	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	152	5	3	7	5	6	3	3	5	5	4	6	6	6	4	5	7	14	0	6	3	2	0	6	9	6	15	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	23	1	1	2	0	0	0	0	0	0	0	2	1	1	0	1	2	0	0	1	1	1	0	1	2	2	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	42	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	4	0	1	4	4	0	6	9	0	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	4	0	1	0	0	0	1	2	3	0	1	0	1	0	0	4	8	0	0	0	1	0	0	9	5	5	11									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	80	4	2	8	1	3	1	1	0	2	0	1	2	2	0	1	9	3	1	5	0	2	0	3	8	3	11	7									
		0.87%	1.00%	1.23%	1.91%	0.93%	1.07%	0.21%	0.74%	0.00%	0.45%	0.00%	0.34%	0.60%	0.99%	0.00%	0.42%	1.28%	1.12%	1.41%	1.85%	0.00%	0.58%	0.00%	1.12%	0.92%	0.50%	1.48%	0.72%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	260	9	5	8	0	15	12	2	0	20	1	6	9	4	1	7	20	8	1	13	0	8	6	8	35	12	19	31									
		2.84%	2.25%	3.09%	1.91%	0.00%	5.34%	2.53%	1.47%	0.00%	4.46%	0.97%	2.03%	2.70%	1.99%	1.01%	2.92%	2.84%	2.99%	1.41%	4.80%	0.00%	2.33%	10.53%	2.97%	4.03%	2.00%	2.56%	3.21%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	171	5	2	5	0	3	3	1	1	12	0	20	5	5	1	2	10	9	1	5	1	8	2	2	16	14	16	22									
		1.86%	1.25%	1.23%	1.20%	0.00%	1.07%	0.63%	0.74%	0.45%	2.68%	0.00%	6.76%	1.50%	2.49%	1.01%	0.83%	1.42%	3.37%	1.41%	1.85%	1.10%	2.33%	3.51%	0.74%	1.84%	2.33%	2.16%	2.28%									
