Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
Наименование Избирательной комиссии:    Чародинская																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699					
1	"Число избирателей, внесенных в списки"	7160	409	110	146	31	159	80	234	109	78	66	227	61	1302	37	45	54	263	122	74	30	298	103	120	73	96	83	69	40	184	39	61	101	68	21	26	161	55	83	146	633	90	59	317	92	157	348					
2	"Число бюллетеней, полученных участковыми комиссиями"	7256	400	112	148	33	161	82	260	117	115	85	220	60	1290	37	47	57	245	122	74	30	320	100	120	73	97	85	85	42	196	46	60	110	73	23	34	160	54	80	149	625	104	56	287	70	157	355					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5666	398	101	110	27	114	71	215	99	78	59	194	54	1075	34	43	49	200	122	53	30	202	100	119	73	74	71	65	33	159	26	60	101	65	21	26	144	54	76	71	144	85	48	178	70	127	348					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	367	0	0	0	0	13	0	0	2	0	3	8	1	10	0	0	0	0	0	21	0	0	0	1	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	2	289	0	0	0	0	3	0					
6	Число погашенных бюллетеней	1223	2	11	38	6	34	11	45	16	37	23	18	5	205	3	4	8	45	0	0	0	118	0	0	0	23	14	20	9	24	20	0	9	7	2	8	16	0	4	76	192	19	8	109	0	27	7					
7	Число бюллетеней в переносных ящиках для голосования	367	0	0	0	0	13	0	0	2	0	3	8	1	10	0	0	0	0	0	21	0	0	0	1	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	2	289	0	0	0	0	3	0					
8	Число бюллетеней в стационарных ящиках для голосования	5666	398	101	110	27	114	71	215	99	78	59	194	54	1075	34	43	49	200	122	53	30	202	100	119	73	74	71	65	33	159	26	60	101	65	21	26	144	54	76	71	144	85	48	178	70	127	348					
9	Число недействительных бюллетеней	56	2	0	0	0	2	0	1	0	0	0	0	6	12	0	0	0	1	0	0	0	7	0	0	2	1	2	0	0	0	0	5	0	1	0	0	0	2	0	0	0	12	0	0	0	0	0					
10	Число действительных бюллетеней	5977	396	101	110	27	125	71	214	101	78	62	202	49	1073	34	43	49	199	122	74	30	195	100	120	71	73	69	65	33	172	26	55	101	65	21	26	144	52	76	73	433	73	48	178	70	130	348					
