Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																				
Дата голосования: 02.12.2007																																				
																																				
Наименование Избирательной комиссии:    Янтиковская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172					
1	"Число избирателей, внесенных в списки избирателей"	12674	302	290	209	221	420	241	318	493	160	207	454	329	1075	116	588	278	255	401	463	247	915	371	1763	679	469	97	252	938	123					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12476	295	290	187	220	410	241	307	494	160	200	444	324	1009	111	590	270	254	400	439	229	932	390	1727	650	470	97	248	967	121					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9296	219	223	167	187	349	196	251	365	105	152	397	285	797	82	399	203	135	202	356	179	638	294	1238	489	319	84	189	703	93					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	809	26	23	19	8	31	27	34	24	21	25	26	12	38	13	53	12	50	75	22	19	50	24	22	20	29	0	23	66	17					
6	Число погашенных избирательных бюллетеней	2371	50	44	1	25	30	18	22	105	34	23	21	27	174	16	138	55	69	123	61	31	244	72	467	141	122	13	36	198	11					
7	Число избирательных бюллетеней в переносных ящиках для голосования	809	26	23	19	8	31	27	34	24	21	25	26	12	38	13	53	12	50	75	22	19	50	24	22	20	29	0	23	66	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9294	219	223	167	187	349	196	251	365	105	152	397	285	797	82	399	203	135	202	356	179	636	294	1238	489	319	84	189	703	93					
9	Число недействительных избирательных бюллетеней	191	0	3	2	2	5	0	18	9	0	0	8	0	6	1	5	3	1	5	9	1	11	3	62	6	3	4	3	21	0					
10	Число действительных избирательных бюллетеней	9912	245	243	184	193	375	223	267	380	126	177	415	297	829	94	447	212	184	272	369	197	675	315	1198	503	345	80	209	748	110					
