Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																																																																																																								
																																																																																																																																																								
Наименование Избирательной комиссии:    Находкинская городская																																																																																																																																																								
																																																																																																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																																																								
																																																																																																																																																								
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №1310	УИК №1313	УИК №1316	УИК №1317	УИК №1319	УИК №1321	УИК №1322	УИК №1324	УИК №1326	УИК №1327	УИК №1328	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398					
1	"Число избирателей, внесенных в списки"	121778	396	179	2373	1595	2745	994	218	395	2582	2155	2622	838	1362	811	279	2802	2678	1334	1089	2982	1662	1400	2051	1210	2153	1979	1666	2150	1881	2020	1952	1570	1676	2740	2340	2113	2005	189	1483	1641	1623	1413	1477	2501	2390	2354	1325	2396	2552	2525	1999	2256	2304	1913	1835	2173	2054	2362	2562	2407	1516	1872	2461	592	1728	1835	32	83	50	91	26	91	90	82	16	89	38	80	18	19	18	20	17	18	18	18	17	21	21	22	21	26	21	25	25	25	89	17	25	22	25	22	22	24	56	20	24	25	21	29	19	15	38	17	15	19	26	14	19	81	278	267	25	25	25	25	25	25	25	25	92	30	29	29	30	17	20	20	17	76	23	28	19	23	23					
2	"Число бюллетеней, полученных участковыми комиссиями"	119221	350	175	2200	1500	2500	900	200	350	2600	2100	2600	800	1300	800	280	2700	2700	1300	1000	2800	1600	1300	2000	1200	2000	2000	1600	2100	1800	2000	1900	2300	1600	2700	2300	2000	1900	183	1400	1600	1600	1400	1300	2400	2300	2300	1300	2400	2500	2500	2000	2200	2100	1800	1800	2100	2000	2300	2500	2400	1500	1900	2400	1300	1700	1500	32	83	50	91	26	91	90	82	16	89	38	82	20	21	18	22	19	20	18	20	17	23	23	24	23	26	23	27	25	27	89	17	25	22	25	22	22	24	56	20	24	25	23	31	19	15	38	17	15	19	26	14	19	81	280	270	25	25	25	25	25	25	25	25	92	30	29	29	30	17	20	20	17	79	23	28	19	23	23					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	51381	234	134	1112	732	1348	439	105	189	925	692	1019	329	492	237	131	1073	1002	388	339	902	688	446	628	492	672	808	643	858	752	772	721	1544	604	1098	915	757	805	65	469	678	560	625	554	1104	674	975	679	1110	1108	1099	709	802	991	897	763	899	841	988	1016	927	663	842	1059	585	697	992	32	81	48	88	26	88	90	82	16	87	38	79	18	19	18	20	17	18	18	18	17	21	21	22	21	26	21	25	25	25	89	17	25	22	25	22	22	24	56	20	24	25	21	29	19	15	38	17	15	19	26	14	19	81	278	267	25	25	25	25	25	25	25	25	92	30	29	29	28	17	20	20	16	34	23	28	19	23	23					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1251	9	0	37	24	41	60	0	18	3	4	11	0	10	1	49	21	51	19	9	27	5	15	26	1	14	18	53	10	13	7	7	26	21	9	10	19	12	33	10	19	19	11	99	12	15	15	12	21	20	21	26	16	19	11	21	15	9	43	19	32	8	19	19	7	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	66589	107	41	1051	744	1111	401	95	143	1672	1404	1570	471	798	562	100	1606	1647	893	652	1871	907	839	1346	707	1314	1174	904	1232	1035	1221	1172	730	975	1593	1375	1224	1083	85	921	903	1021	764	647	1284	1611	1310	609	1269	1372	1380	1265	1382	1090	892	1016	1186	1150	1269	1465	1441	829	1039	1322	708	989	502	0	2	2	3	0	3	0	0	0	2	0	3	2	2	0	2	2	2	0	2	0	2	2	2	2	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	45	0	0	0	0	0					
7	Число бюллетеней в переносных ящиках для голосования	1251	9	0	37	24	41	60	0	18	3	4	11	0	10	1	49	21	51	19	9	27	5	15	26	1	14	18	53	10	13	7	7	26	21	9	10	19	12	33	10	19	19	11	99	12	15	15	12	21	20	21	26	16	19	11	21	15	9	43	19	32	8	19	19	7	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	51309	234	134	1112	732	1348	439	105	189	925	692	1019	329	492	237	131	1073	1002	388	339	902	688	446	628	492	672	808	641	857	751	772	721	1544	603	1097	915	756	805	65	469	678	560	624	554	1104	673	972	678	1110	1108	1098	709	802	988	894	763	898	841	953	1016	927	658	842	1048	585	697	992	32	81	48	88	26	88	90	82	16	87	38	79	18	19	18	20	17	18	18	18	17	21	21	22	21	26	21	25	25	25	89	17	25	22	25	22	22	24	56	20	24	25	21	29	19	15	38	17	15	19	26	14	19	81	278	267	25	25	25	25	25	25	25	25	92	30	29	29	28	17	20	20	16	34	23	28	19	23	23					
9	Число недействительных бюллетеней	720	3	2	33	15	36	11	0	4	7	4	11	5	4	2	3	19	17	14	15	14	3	3	4	3	2	16	8	8	9	10	7	21	4	4	20	10	15	1	4	5	8	5	9	10	15	5	7	19	18	16	9	14	13	6	10	10	12	12	66	14	3	5	18	5	4	15	1	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0					
10	Число действительных бюллетеней	51840	240	132	1116	741	1353	488	105	203	921	692	1019	324	498	236	177	1075	1036	393	333	915	690	458	650	490	684	810	686	859	755	769	721	1549	620	1102	905	765	802	97	475	692	571	630	644	1106	673	982	683	1112	1110	1103	726	804	994	899	774	903	838	984	969	945	663	856	1049	587	707	983	31	81	48	85	26	88	90	82	16	85	38	79	18	19	18	20	17	18	18	18	17	21	21	22	21	26	21	25	25	25	86	17	25	21	25	22	22	24	56	20	24	24	21	29	19	15	38	17	15	19	26	13	19	81	277	266	25	25	25	25	25	25	25	25	92	30	29	29	28	17	20	20	16	32	23	28	19	23	23					
