Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Козульская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479					
1	"Число избирателей, внесенных в список"	13573	1138	959	1025	652	1028	970	480	640	172	262	294	696	359	381	569	99	136	406	82	45	381	1135	1195	469					
2	Число полученных избирательных бюллетеней	13705	1155	960	1000	680	1025	980	500	650	173	273	315	690	365	385	585	100	145	413	83	48	400	1100	1210	470					
3	"Число избирательных бюллетеней, выданных  досрочно"	41	0	0	0	0	0	0	0	35	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6707	599	405	427	282	441	405	459	274	84	169	197	327	177	266	286	59	93	220	49	31	225	496	523	213					
5	"Число избирательных бюллетеней, выданных вне помещения"	723	47	56	63	48	60	35	3	30	19	7	1	36	6	10	45	24	0	18	5	0	7	83	79	41					
6	Число погашенных избирательных бюллетеней	6234	509	499	510	350	524	540	38	311	70	97	117	327	179	109	254	17	52	175	29	17	165	521	608	216					
7	Число избирательных бюллетеней в переносных ящиках	764	47	56	63	48	60	35	3	65	19	7	1	36	9	10	45	24	0	18	5	0	10	83	79	41					
8	Число бюллетеней в стационарных ящиках для голосования	6704	599	405	427	282	441	405	459	273	84	169	197	327	177	266	284	59	93	220	49	31	225	496	523	213					
9	Число недействительных избирательных бюллетеней	61	4	3	4	1	2	2	3	3	1	2	1	2	1	0	3	0	3	1	3	0	4	5	8	5					
10	Число действительных избирательных бюллетеней	7407	642	458	486	329	499	438	459	335	102	174	197	361	185	276	326	83	90	237	51	31	231	574	594	249					
11	Число полученных открепительных  удостоверений	135	5	10	5	5	5	5	15	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	32	3	4	3	1	2	0	8	1	0	0	0	0	0	1	2	0	0	0	0	0	1	1	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	2	3	1	0	7	2	1	6	1	2	1	11	4	3	0	0	0	0	0	0	5	5	2	0					
14	Число неиспользованных открепительных удостоверений	103	2	6	2	4	3	5	7	4	5	5	5	5	5	4	3	5	5	5	5	5	4	4	1	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	966	116	93	104	60	73	61	9	49	22	17	13	35	24	9	34	3	7	24	2	0	33	74	79	25					
		12.94%	17.96%	20.17%	21.22%	18.18%	14.57%	13.86%	1.95%	14.50%	21.36%	9.66%	6.57%	9.64%	12.90%	3.26%	10.33%	3.61%	7.53%	10.08%	3.70%	0.00%	14.04%	12.78%	13.12%	9.84%					
19	. Малышкин Олег Александрович	197	14	5	6	8	9	19	6	13	5	5	10	10	3	14	5	11	3	11	9	1	5	15	8	2					
		2.64%	2.17%	1.08%	1.22%	2.42%	1.80%	4.32%	1.30%	3.85%	4.85%	2.84%	5.05%	2.75%	1.61%	5.07%	1.52%	13.25%	3.23%	4.62%	16.67%	3.23%	2.13%	2.59%	1.33%	0.79%					
20	. Миронов Сергей Михайлович	49	10	4	1	0	4	0	1	3	1	0	2	7	0	2	1	0	0	1	0	0	1	4	2	5					
		0.66%	1.55%	0.87%	0.20%	0.00%	0.80%	0.00%	0.22%	0.89%	0.97%	0.00%	1.01%	1.93%	0.00%	0.72%	0.30%	0.00%	0.00%	0.42%	0.00%	0.00%	0.43%	0.69%	0.33%	1.97%					
21	. Путин Владимир Владимирович	4812	363	278	287	203	316	281	389	191	64	133	137	257	138	205	182	45	67	142	37	25	156	376	347	193					
		64.43%	56.19%	60.30%	58.57%	61.52%	63.07%	63.86%	84.20%	56.51%	62.14%	75.57%	69.19%	70.80%	74.19%	74.28%	55.32%	54.22%	72.04%	59.66%	68.52%	80.65%	66.38%	64.94%	57.64%	75.98%					
22	. Хакамада Ирина Муцуовна	170	9	12	9	10	16	11	22	14	2	5	1	8	5	2	8	1	0	2	0	0	3	15	11	4					
		2.28%	1.39%	2.60%	1.84%	3.03%	3.19%	2.50%	4.76%	4.14%	1.94%	2.84%	0.51%	2.20%	2.69%	0.72%	2.43%	1.20%	0.00%	0.84%	0.00%	0.00%	1.28%	2.59%	1.83%	1.57%					
23	. Харитонов Николай Михайлович	1009	109	58	68	37	63	46	24	57	8	13	29	40	14	38	93	22	13	54	3	5	28	84	86	17					
		13.51%	16.87%	12.58%	13.88%	11.21%	12.57%	10.45%	5.19%	16.86%	7.77%	7.39%	14.65%	11.02%	7.53%	13.77%	28.27%	26.51%	13.98%	22.69%	5.56%	16.13%	11.91%	14.51%	14.29%	6.69%					
																															
24	Против всех	204	21	8	11	11	18	20	8	8	0	1	5	4	1	6	3	1	0	3	0	0	5	6	61	3					
		2.73%	3.25%	1.74%	2.24%	3.33%	3.59%	4.55%	1.73%	2.37%	0.00%	0.57%	2.53%	1.10%	0.54%	2.17%	0.91%	1.20%	0.00%	1.26%	0.00%	0.00%	2.13%	1.04%	10.13%	1.18%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
