Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва												
Дата голосования: 18.09.2016												
												
Наименование Избирательной комиссии:    Пермская - 59												
												
Сводная таблица итогов голосования по федеральному избирательному округу												
												
		Сумма	УИК №2752									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	947	947									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	645	645									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	308	308									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	35	35									
6	Число погашенных избирательных бюллетеней	302	302									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	35	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	308	308									
9	Число недействительных избирательных бюллетеней	11	11									
10	Число действительных избирательных бюллетеней	332	332									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	28	28									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	4	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	12	12									
14	Число погашенных неиспользованных открепительных удостоверений	24	24									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0									
16	Число утраченных открепительных удостоверений	0	0									
17	Число утраченных избирательных бюллетеней	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0									
												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	4	4									
		1.17%	1.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	21	21									
		6.12%	6.12%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	8	8									
		2.33%	2.33%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	176	176									
		51.31%	51.31%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	4	4									
		1.17%	1.17%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	1									
		0.29%	0.29%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	42	42									
		12.24%	12.24%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1	1									
		0.29%	0.29%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	8									
		2.33%	2.33%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0									
		0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6	6									
		1.75%	1.75%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	46	46									
		13.41%	13.41%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	0	0									
		0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	15	15									
		4.37%	4.37%									
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
