Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Краснослободская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №146	УИК №147	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19256	1058	135	1064	496	1115	1023	1006	522	939	450	554	360	646	568	330	486	310	459	384	777	429	366	354	1110	681	603	410	655	323	912	399	332									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19930	1070	145	1100	525	1150	1065	1045	555	980	465	575	375	655	585	340	500	320	465	410	810	465	390	365	1140	700	620	420	670	335	930	410	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16282	888	112	897	404	975	877	696	425	811	397	518	323	566	471	315	436	292	414	333	688	397	331	327	978	585	528	382	589	226	501	344	256									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1217	41	18	23	42	14	36	50	45	43	27	23	20	61	80	9	33	13	36	33	74	27	35	18	54	48	34	18	56	82	62	34	28									
6	Число погашенных избирательных бюллетеней	2431	141	15	180	79	161	152	299	85	126	41	34	32	28	34	16	31	15	15	44	48	41	24	20	108	67	58	20	25	27	367	32	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1217	41	18	23	42	14	36	50	45	43	27	23	20	61	80	9	33	13	36	33	74	27	35	18	54	48	34	18	56	82	62	34	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16281	888	112	897	404	975	877	695	425	811	397	518	323	566	471	315	436	292	414	333	688	397	331	327	978	585	528	382	589	226	501	344	256									
9	Число недействительных избирательных бюллетеней	92	4	0	0	28	2	7	15	2	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	28	0	0									
10	Число действительных избирательных бюллетеней	17406	925	130	920	418	987	906	730	468	852	424	540	343	627	551	324	469	304	450	366	762	424	366	344	1032	633	561	400	645	308	535	378	284									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	394	20	1	25	14	20	19	21	14	17	14	10	10	10	11	5	10	5	10	15	12	22	11	5	21	12	16	6	8	8	7	6	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	353	20	1	19	13	20	19	21	14	16	14	10	10	5	7	5	10	5	5	15	12	22	11	5	15	2	16	6	8	8	7	3	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	108	1	2	1	10	8	2	8	1	4	4	0	3	4	4	1	1	1	2	5	5	5	7	1	3	0	1	1	4	7	10	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	41	0	0	6	1	0	0	0	0	1	0	0	0	5	4	0	0	0	5	0	0	0	0	0	6	10	0	0	0	0	0	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	86	6	0	3	7	5	2	3	5	6	1	0	1	0	4	0	3	1	4	6	5	6	0	0	4	2	1	0	2	5	3	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	5	0	3	5	3	0	5	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	3	0	0									
		0.18%	0.54%	0.00%	0.33%	1.12%	0.30%	0.00%	0.67%	0.21%	0.12%	0.00%	0.00%	0.00%	0.16%	0.00%	0.31%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.18%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	96	5	0	1	9	10	1	9	3	5	0	0	0	1	0	1	3	3	8	14	4	0	0	3	5	0	1	0	0	0	10	0	0									
		0.55%	0.54%	0.00%	0.11%	2.02%	1.01%	0.11%	1.21%	0.64%	0.59%	0.00%	0.00%	0.00%	0.16%	0.00%	0.31%	0.64%	0.98%	1.78%	3.83%	0.52%	0.00%	0.00%	0.87%	0.48%	0.00%	0.18%	0.00%	0.00%	0.00%	1.78%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	37	3	1	1	3	5	1	7	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	2	0	1	0	0	4	3	0									
		0.21%	0.32%	0.77%	0.11%	0.67%	0.51%	0.11%	0.94%	0.21%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.29%	0.00%	0.32%	0.00%	0.25%	0.00%	0.00%	0.71%	0.79%	0.00%									
