Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Нюрбинская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17965	856	852	947	591	913	962	1486	651	558	471	1998	99	216	313	643	14	416	598	248	166	515	445	294	46	362	80	633	492	312	321	1103	364									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18065	773	756	875	537	837	891	1438	552	520	449	2031	104	224	325	685	16	433	652	267	179	576	538	314	42	396	111	655	536	364	344	1240	405									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	578	0	0	0	0	0	0	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7813	267	263	346	231	336	351	256	278	203	178	896	38	149	171	315	14	249	251	141	104	263	283	168	33	203	63	364	259	178	192	568	202									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	605	24	128	14	10	9	26	15	17	12	20	36	0	4	6	15	0	15	27	21	8	32	27	9	0	13	0	10	30	19	7	36	15									
6	Число погашенных избирательных бюллетеней	9069	482	365	515	296	492	514	589	257	305	251	1099	66	71	148	355	2	169	374	105	67	281	228	137	9	180	48	281	247	167	145	636	188									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1181	24	128	14	10	9	26	591	17	12	20	36	0	4	6	15	0	15	27	21	8	32	27	9	0	13	0	10	30	19	7	36	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7813	267	263	346	231	336	351	256	278	203	178	896	38	149	171	315	14	249	251	141	104	263	283	168	33	203	63	364	259	178	192	568	202									
9	Число недействительных избирательных бюллетеней	125	9	3	7	4	6	3	16	4	6	3	8	0	3	3	4	0	3	3	2	3	10	2	1	0	5	0	2	2	1	1	6	5									
10	Число действительных избирательных бюллетеней	8869	282	388	353	237	339	374	831	291	209	195	924	38	150	174	326	14	261	275	160	109	285	308	176	33	211	63	372	287	196	198	598	212									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	377	11	7	10	13	15	20	15	11	15	15	25	4	7	7	15	1	7	17	13	4	17	15	6	1	6	8	15	13	10	7	25	22									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	307	11	4	8	3	14	12	9	9	14	9	23	1	5	2	15	1	2	16	6	4	17	15	6	0	6	8	11	12	10	7	25	22									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	120	4	1	2	4	10	8	3	4	7	2	7	0	4	6	6	0	0	4	3	1	1	4	5	4	2	0	15	5	0	1	6	1									
14	Число погашенных неиспользованных открепительных удостоверений	70	0	3	2	10	1	8	6	2	1	6	2	3	2	5	0	0	5	1	7	0	0	0	0	1	0	0	4	1	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	120	5	1	4	3	4	10	5	1	2	3	13	0	2	1	5	0	2	3	2	0	2	0	0	0	9	23	3	2	4	2	8	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	109	4	3	2	1	2	4	6	3	3	9	9	1	0	2	7	2	3	0	1	1	4	6	4	1	3	2	5	3	2	1	14	1									
		1.21%	1.37%	0.77%	0.56%	0.41%	0.58%	1.06%	0.71%	1.02%	1.40%	4.55%	0.97%	2.63%	0.00%	1.13%	2.12%	14.29%	1.14%	0.00%	0.62%	0.89%	1.36%	1.94%	2.26%	3.03%	1.39%	3.17%	1.34%	1.04%	1.02%	0.50%	2.32%	0.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	311	7	15	14	4	7	12	22	9	6	6	29	3	2	7	8	1	8	24	6	1	9	14	6	3	10	1	23	14	3	5	22	10									
		3.46%	2.41%	3.84%	3.89%	1.66%	2.03%	3.18%	2.60%	3.05%	2.79%	3.03%	3.11%	7.89%	1.31%	3.95%	2.42%	7.14%	3.03%	8.63%	3.70%	0.89%	3.05%	4.52%	3.39%	9.09%	4.63%	1.59%	6.15%	4.84%	1.52%	2.51%	3.64%	4.61%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	144	8	2	5	5	5	7	14	3	4	4	14	3	2	2	5	0	5	1	0	1	10	7	2	3	3	0	5	7	2	0	10	5									
		1.60%	2.75%	0.51%	1.39%	2.07%	1.45%	1.86%	1.65%	1.02%	1.86%	2.02%	1.50%	7.89%	1.31%	1.13%	1.52%	0.00%	1.89%	0.36%	0.00%	0.89%	3.39%	2.26%	1.13%	9.09%	1.39%	0.00%	1.34%	2.42%	1.02%	0.00%	1.66%	2.30%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3741	107	163	161	92	150	176	323	125	79	88	378	10	83	80	153	8	135	93	82	37	93	124	68	14	102	36	157	117	68	117	254	68									
		41.59%	36.77%	41.69%	44.72%	38.17%	43.48%	46.68%	38.13%	42.37%	36.74%	44.44%	40.56%	26.32%	54.25%	45.20%	46.36%	57.14%	51.14%	33.45%	50.62%	33.04%	31.53%	40.00%	38.42%	42.42%	47.22%	57.14%	41.98%	40.48%	34.52%	58.79%	42.05%	31.34%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	33	0	0	1	0	0	0	13	2	0	0	5	0	0	0	3	0	1	0	1	0	0	3	1	0	0	0	1	0	0	0	1	1									
		0.37%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	1.53%	0.68%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.91%	0.00%	0.38%	0.00%	0.62%	0.00%	0.00%	0.97%	0.56%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.17%	0.46%									
24	"6. Политическая партия ""Гражданская Платформа"""	66	1	0	2	0	4	2	7	2	3	0	9	1	1	0	1	0	1	0	0	2	2	4	1	0	0	0	2	6	0	1	12	2									
		0.73%	0.34%	0.00%	0.56%	0.00%	1.16%	0.53%	0.83%	0.68%	1.40%	0.00%	0.97%	2.63%	0.65%	0.00%	0.30%	0.00%	0.38%	0.00%	0.00%	1.79%	0.68%	1.29%	0.56%	0.00%	0.00%	0.00%	0.53%	2.08%	0.00%	0.50%	1.99%	0.92%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	313	15	11	8	6	5	8	139	7	11	1	18	2	2	5	2	0	4	4	1	2	7	4	4	1	0	0	9	3	1	5	16	12									
		3.48%	5.15%	2.81%	2.22%	2.49%	1.45%	2.12%	16.41%	2.37%	5.12%	0.51%	1.93%	5.26%	1.31%	2.82%	0.61%	0.00%	1.52%	1.44%	0.62%	1.79%	2.37%	1.29%	2.26%	3.03%	0.00%	0.00%	2.41%	1.04%	0.51%	2.51%	2.65%	5.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	0	1	0	1	0	0	2	1	0	2	0	0	1	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	1	0									
		0.17%	0.00%	0.26%	0.00%	0.41%	0.00%	0.00%	0.24%	0.34%	0.00%	1.01%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	1.08%	0.00%	0.89%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	35	2	1	0	0	0	2	5	1	1	1	7	0	1	0	0	0	0	1	3	1	2	1	0	0	0	0	2	3	0	0	1	0									
		0.39%	0.69%	0.26%	0.00%	0.00%	0.00%	0.53%	0.59%	0.34%	0.47%	0.51%	0.75%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.36%	1.85%	0.89%	0.68%	0.32%	0.00%	0.00%	0.00%	0.00%	0.53%	1.04%	0.00%	0.00%	0.17%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	2	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0									
		0.09%	0.69%	0.00%	0.28%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	35	2	2	1	1	1	2	2	1	4	0	2	1	0	0	1	0	1	0	2	0	2	1	0	0	0	0	1	2	0	0	3	3									
		0.39%	0.69%	0.51%	0.28%	0.41%	0.29%	0.53%	0.24%	0.34%	1.86%	0.00%	0.21%	2.63%	0.00%	0.00%	0.30%	0.00%	0.38%	0.00%	1.23%	0.00%	0.68%	0.32%	0.00%	0.00%	0.00%	0.00%	0.27%	0.69%	0.00%	0.00%	0.50%	1.38%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1787	40	93	70	53	80	61	147	58	54	42	178	11	14	27	53	0	31	114	26	31	71	62	40	5	39	5	89	41	59	35	105	53									
		19.87%	13.75%	23.79%	19.44%	21.99%	23.19%	16.18%	17.36%	19.66%	25.12%	21.21%	19.10%	28.95%	9.15%	15.25%	16.06%	0.00%	11.74%	41.01%	16.05%	27.68%	24.07%	20.00%	22.60%	15.15%	18.06%	7.94%	23.80%	14.19%	29.95%	17.59%	17.38%	24.42%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	20	3	0	0	0	0	2	3	0	0	0	1	1	1	0	3	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2									
		0.22%	1.03%	0.00%	0.00%	0.00%	0.00%	0.53%	0.35%	0.00%	0.00%	0.00%	0.11%	2.63%	0.65%	0.00%	0.91%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.27%	0.00%	0.00%	0.00%	0.17%	0.92%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2252	91	97	88	74	85	98	145	79	44	42	274	5	43	50	90	3	71	35	38	32	85	82	50	6	51	19	77	91	60	34	158	55									
		25.04%	31.27%	24.81%	24.44%	30.71%	24.64%	25.99%	17.12%	26.78%	20.47%	21.21%	29.40%	13.16%	28.10%	28.25%	27.27%	21.43%	26.89%	12.59%	23.46%	28.57%	28.81%	26.45%	28.25%	18.18%	23.61%	30.16%	20.59%	31.49%	30.46%	17.09%	26.16%	25.35%									
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
