Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Нерчинско-Заводская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666					
1	"Число избирателей, внесенных в списки"	8412	489	618	277	99	229	128	219	252	1048	86	340	154	508	2132	287	45	54	178	254	216	266	533					
2	"Число бюллетеней, полученных участковыми комиссиями"	8576	510	610	280	100	230	130	220	250	1060	90	340	225	505	2100	280	45	56	245	260	220	270	550					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	86	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4669	272	320	149	74	137	80	125	192	474	70	168	124	258	993	174	39	44	167	167	150	166	326					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	328	34	40	0	0	13	8	4	12	27	0	22	30	16	87	8	0	0	11	9	7	0	0					
6	Число погашенных бюллетеней	3493	118	250	131	26	80	42	91	46	559	20	150	71	231	1020	98	6	12	67	84	63	104	224					
7	Число бюллетеней в переносных ящиках для голосования	414	120	40	0	0	13	8	4	12	27	0	22	30	16	87	8	0	0	11	9	7	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	4669	272	320	149	74	137	80	125	192	474	70	168	124	258	993	174	39	44	167	167	150	166	326					
9	Число недействительных бюллетеней	110	5	10	2	0	2	2	4	6	22	1	5	2	10	14	4	0	1	3	4	6	2	5					
10	Число действительных бюллетеней	4973	387	350	147	74	148	86	125	198	479	69	185	152	264	1066	178	39	43	175	172	151	164	321					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	80	5	5	3	2	1	2	3	3	8	1	3	3	3	15	3	1	2	3	3	3	3	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	35	4	4	0	0	0	0	0	0	6	0	2	0	2	13	0	0	0	3	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	18	0	4	1	0	0	0	0	0	2	1	1	1	1	3	0	1	1	0	0	0	0	2					
14	Число погашенных открепительных удостоверений	45	1	1	3	2	1	2	3	3	2	1	1	3	1	2	3	1	2	0	3	3	3	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
