Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Район Строгино																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818					
1	"Число избирателей, внесенных в списки"	91233	2212	2693	2391	1992	2246	2569	2794	2630	2341	2253	2225	2618	2501	2386	2249	2746	2243	2440	2850	1550	2056	2435	2107	2438	1648	1847	2612	2114	1991	2263	1648	1283	2478	2798	2671	2545	617	2030	2555	2752	416					
2	"Число бюллетеней, полученных участковыми комиссиями"	81400	2000	2500	2000	1500	2000	2000	2500	2500	2000	2000	2000	2500	2000	2000	2000	2500	2000	2000	2500	1500	2000	2000	2000	2000	1500	1500	2500	2000	2000	2000	1500	1000	2000	2500	2500	2500	500	2000	2500	2500	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	50827	1192	1515	1301	1142	1325	1395	1543	1404	1300	1301	1289	1485	1377	1317	1354	1413	1088	1196	1440	874	1241	1406	1198	1320	932	982	1487	1077	1057	1329	999	734	1364	1557	1543	1499	313	1185	1450	1662	241					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1304	38	17	41	31	21	29	47	17	38	27	38	35	24	42	29	49	43	24	53	18	21	38	37	17	30	25	27	35	31	40	13	16	42	55	34	24	5	42	35	51	25					
6	Число погашенных бюллетеней	29269	770	968	658	327	654	576	910	1079	662	672	673	980	599	641	617	1038	869	780	1007	608	738	556	765	663	538	493	986	888	912	631	488	250	594	888	923	977	182	773	1015	787	134					
7	Число бюллетеней в переносных ящиках для голосования	1304	38	17	41	31	21	29	47	17	38	27	38	35	24	42	29	49	43	24	53	18	21	38	37	17	30	25	27	35	31	40	13	16	42	55	34	24	5	42	35	51	25					
8	Число бюллетеней в стационарных ящиках для голосования	50577	1192	1515	1301	1090	1293	1395	1543	1404	1299	1295	1275	1482	1374	1317	1354	1413	1087	1196	1435	866	1209	1406	1198	1319	932	978	1479	1077	1057	1329	999	734	1364	1557	1526	1499	308	1182	1450	1607	241					
9	Число недействительных бюллетеней	525	0	7	11	13	9	13	17	11	13	8	4	8	14	17	21	15	0	7	9	10	10	17	15	26	10	18	18	23	15	65	0	3	14	19	10	10	6	13	7	16	3					
10	Число действительных бюллетеней	51356	1230	1525	1331	1108	1305	1411	1573	1410	1324	1314	1309	1509	1384	1342	1362	1447	1130	1213	1479	874	1220	1427	1220	1310	952	985	1488	1089	1073	1304	1012	747	1392	1593	1550	1513	307	1211	1478	1642	263					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1409	40	40	25	25	50	65	25	40	25	25	35	25	55	45	45	35	25	40	40	25	35	39	50	50	40	25	40	25	25	40	25	25	25	40	25	40	25	25	30	40	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	977	28	23	25	10	39	40	22	23	24	24	28	22	36	24	25	28	23	21	24	17	29	26	46	25	26	22	32	12	13	31	18	11	21	36	22	25	5	18	27	25	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	561	12	15	5	12	6	16	34	15	21	13	26	19	16	12	23	23	7	10	15	6	4	12	6	7	14	18	7	6	13	10	5	7	22	24	17	9	19	16	11	22	6					
14	Число погашенных открепительных удостоверений	432	12	17	0	15	11	25	3	17	1	1	7	3	19	21	20	7	2	19	16	8	6	13	4	25	14	3	8	13	12	9	7	14	4	4	3	15	20	7	3	15	9					
15	Число открепительных удостоверений выданных ТИК	14	0	1	2	1	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	"1. ""ЕДИНЕНИЕ"""	319	12	20	8	2	9	8	6	17	18	5	6	11	15	9	14	5	8	9	8	8	4	7	5	7	8	2	3	4	9	7	5	3	3	11	10	9	2	7	7	8	0					
		0.61%	0.97%	1.30%	0.59%	0.17%	0.68%	0.56%	0.37%	1.19%	1.34%	0.37%	0.45%	0.72%	1.07%	0.66%	1.01%	0.34%	0.70%	0.73%	0.53%	0.90%	0.32%	0.48%	0.40%	0.52%	0.83%	0.19%	0.19%	0.35%	0.82%	0.51%	0.49%	0.4%	0.21%	0.68%	0.64%	0.59%	0.63%	0.57%	0.47%	0.48%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	4035	111	102	140	90	102	120	157	96	93	99	112	113	119	76	100	110	86	94	95	50	67	102	90	83	66	75	99	87	102	128	103	88	146	114	96	98	8	119	154	140	5					
		7.77%	9.02%	6.65%	10.43%	8.02%	7.76%	8.42%	9.87%	6.75%	6.95%	7.48%	8.53%	7.44%	8.51%	5.59%	7.23%	7.52%	7.61%	7.70%	6.38%	5.65%	5.44%	7.06%	7.28%	6.21%	6.86%	7.47%	6.57%	7.82%	9.37%	9.34%	10.17%	11.73%	10.38%	7.07%	6.15%	6.43%	2.55%	9.72%	10.37%	8.44%	1.87%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1169	22	22	32	28	29	26	50	26	26	29	24	38	31	28	45	27	28	34	37	25	45	52	25	30	17	24	22	23	26	27	12	11	30	39	32	32	5	29	37	38	6					
		2.25%	1.78%	1.43%	2.38%	2.49%	2.20%	1.82%	3.14%	1.82%	1.94%	2.19%	1.82%	2.50%	2.21%	2.06%	3.25%	1.84%	2.47%	2.78%	2.48%	2.82%	3.65%	3.60%	2.02%	2.24%	1.76%	2.39%	1.46%	2.06%	2.38%	1.97%	1.18%	1.46%	2.13%	2.41%	2.05%	2.10%	1.59%	2.36%	2.49%	2.29%	2.25%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4976	104	126	154	95	130	163	177	110	126	148	148	197	111	137	143	132	141	98	156	66	110	130	116	122	104	96	195	107	106	138	2	78	116	164	110	132	14	140	154	160	20					
		9.59%	8.45%	8.22%	11.47%	8.47%	9.89%	11.44%	11.13%	7.74%	9.42%	11.19%	11.27%	12.98%	7.93%	10.08%	10.33%	9.02%	12.47%	8.03%	10.48%	7.46%	8.94%	9.00%	9.39%	9.13%	10.81%	9.57%	12.94%	9.62%	9.74%	10.08%	0.19%	10.4%	8.25%	10.17%	7.05%	8.66%	4.47%	11.43%	10.37%	9.65%	7.51%					
22	"5. ""За Русь Святую"""	237	1	10	4	4	10	6	9	3	3	12	4	3	4	7	7	9	5	0	8	5	5	6	6	15	3	3	12	9	1	5	1	4	6	10	10	5	2	8	6	6	0					
		0.45%	0.08%	0.65%	0.29%	0.35%	0.76%	0.42%	0.56%	0.21%	0.22%	0.90%	0.30%	0.19%	0.28%	0.51%	0.50%	0.61%	0.44%	0.0%	0.53%	0.56%	0.40%	0.41%	0.48%	1.12%	0.31%	0.29%	0.79%	0.80%	0.09%	0.36%	0.09%	0.53%	0.42%	0.62%	0.64%	0.32%	0.63%	0.65%	0.40%	0.36%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	100	4	1	5	2	2	2	3	0	2	2	0	4	2	2	2	6	3	1	1	1	3	5	0	1	5	8	2	4	3	2	1	1	2	3	1	3	2	1	6	1	1					
		0.19%	0.32%	0.06%	0.37%	0.17%	0.15%	0.14%	0.18%	0.0%	0.14%	0.15%	0.0%	0.26%	0.14%	0.14%	0.14%	0.41%	0.26%	0.08%	0.06%	0.11%	0.24%	0.34%	0.0%	0.07%	0.51%	0.79%	0.13%	0.35%	0.27%	0.14%	0.09%	0.13%	0.14%	0.18%	0.06%	0.19%	0.63%	0.08%	0.40%	0.06%	0.37%					
24	"7. ""Новый курс - Автомобильная Россия"""	888	12	24	16	23	31	21	23	20	15	23	21	41	29	38	26	26	8	26	20	19	25	22	22	27	15	16	30	16	16	20	7	9	21	35	38	24	2	17	24	35	5					
