Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																														
Дата голосования: 02.12.2007																														
																														
Наименование Избирательной комиссии:    Юрьевецкая																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854					
1	"Число избирателей, внесенных в списки избирателей"	14742	2007	729	717	800	732	1687	1734	1610	136	309	234	166	732	616	152	318	496	333	294	139	160	393	248					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14988	2090	737	746	799	756	1670	1764	1629	146	320	238	169	745	606	157	318	507	357	299	142	155	395	243					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7295	898	348	360	347	402	768	729	854	75	173	149	91	384	349	103	167	231	195	152	62	80	236	142					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1303	148	33	22	55	33	79	162	149	15	46	20	37	134	81	23	20	55	49	33	14	22	33	40					
6	Число погашенных избирательных бюллетеней	6390	1044	356	364	397	321	823	873	626	56	101	69	41	227	176	31	131	221	113	114	66	53	126	61					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1303	148	33	22	55	33	79	162	149	15	46	20	37	134	81	23	20	55	49	33	14	22	33	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7295	898	348	360	347	402	768	729	854	75	173	149	91	384	349	103	167	231	195	152	62	80	236	142					
9	Число недействительных избирательных бюллетеней	88	11	3	1	4	2	15	13	13	0	0	2	0	4	6	1	0	7	1	4	0	0	1	0					
10	Число действительных избирательных бюллетеней	8510	1035	378	381	398	433	832	878	990	90	219	167	128	514	424	125	187	279	243	181	76	102	268	182					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	244	57	5	5	2	4	12	20	9	9	8	8	5	24	10	5	5	10	20	6	5	0	8	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	236	57	5	4	2	4	12	20	9	9	8	8	5	24	10	5	4	10	20	4	1	0	8	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	98	7	1	5	3	2	14	6	10	3	1	3	0	5	7	1	0	1	2	2	2	14	4	5					
14	Число погашенных неиспользованных открепительных удостоверений	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	4	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	1.Политическая партия «Аграрная партия России»	524	39	19	17	17	29	28	51	52	6	32	4	11	43	39	5	10	21	39	8	2	16	25	11					
		6.09%	3.73%	4.99%	4.45%	4.23%	6.67%	3.31%	5.72%	5.18%	6.67%	14.61%	2.37%	8.59%	8.30%	9.07%	3.97%	5.35%	7.34%	15.98%	4.32%	2.63%	15.69%	9.29%	6.04%					
19	2.Всероссийская политическая партия «Гражданская Сила»	55	2	0	1	9	5	11	9	6	3	0	0	0	0	0	0	2	1	1	2	1	1	1	0					
		0.64%	0.19%	0.00%	0.26%	2.24%	1.15%	1.30%	1.01%	0.60%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.07%	0.35%	0.41%	1.08%	1.32%	0.98%	0.37%	0.00%					
