Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Кировская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537					
1	"Число избирателей, внесенных в списки избирателей"	48958	3003	2763	2500	2590	1995	2258	1400	1209	2093	1733	1722	2153	1702	2203	2392	2021	2027	2522	1489	2347	2320	683	2856	977					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	43100	2700	2500	2300	2300	1800	2000	1100	1000	1800	1500	1500	2000	1500	2000	2100	1700	1700	2200	1300	2100	2000	600	2500	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24562	1342	1711	1115	1185	875	1027	548	612	1030	764	719	1390	1037	1302	1218	993	908	1188	745	1359	1105	536	1338	515					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2460	164	105	152	109	137	62	70	36	79	73	103	68	54	220	131	98	66	92	108	112	69	15	300	37					
6	Число погашенных избирательных бюллетеней	16078	1194	684	1033	1006	788	911	482	352	691	663	678	542	409	478	751	609	726	920	447	629	826	49	862	348					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2460	164	105	152	109	137	62	70	36	79	73	103	68	54	220	131	98	66	92	108	112	69	15	300	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24542	1342	1711	1115	1185	875	1027	548	612	1030	764	717	1390	1037	1302	1218	993	908	1170	745	1359	1105	536	1338	515					
9	Число недействительных избирательных бюллетеней	267	22	9	16	9	3	14	5	8	51	3	15	5	11	0	13	8	9	18	3	9	22	0	9	5					
10	Число действительных избирательных бюллетеней	26735	1484	1807	1251	1285	1009	1075	613	640	1058	834	805	1453	1080	1522	1336	1083	965	1244	850	1462	1152	551	1629	547					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	260	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	156	9	10	7	7	1	7	2	8	6	6	2	6	7	7	9	4	6	8	7	9	7	4	11	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	81	1	4	4	4	1	0	4	0	0	3	0	3	1	3	5	2	9	3	4	1	5	0	21	3					
14	Число погашенных неиспользованных открепительных удостоверений	104	1	10	3	3	9	3	8	2	4	4	8	4	3	3	1	6	4	2	3	1	3	6	9	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	3	1	0	2	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	1.Политическая партия «Аграрная партия России»	402	22	31	19	22	3	12	6	9	13	6	8	20	25	18	64	13	10	22	14	25	16	2	19	3					
		1.49%	1.46%	1.71%	1.50%	1.70%	0.30%	1.10%	0.97%	1.39%	1.17%	0.72%	0.98%	1.37%	2.29%	1.18%	4.74%	1.19%	1.03%	1.74%	1.64%	1.70%	1.36%	0.36%	1.16%	0.54%					
19	2.Всероссийская политическая партия «Гражданская Сила»	105	8	9	4	9	1	9	9	4	6	5	3	2	2	5	1	3	2	4	5	2	2	1	8	1					
		0.39%	0.53%	0.50%	0.32%	0.70%	0.10%	0.83%	1.46%	0.62%	0.54%	0.60%	0.37%	0.14%	0.18%	0.33%	0.07%	0.27%	0.21%	0.32%	0.59%	0.14%	0.17%	0.18%	0.49%	0.18%					
20	3.Политическая партия «Демократическая партия России»	16	0	2	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	4	0	0	0	0	5	0					
		0.06%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.09%	0.00%	0.00%	0.07%	0.00%	0.00%	0.07%	0.00%	0.10%	0.32%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2843	166	127	130	151	102	92	41	49	168	118	138	109	111	65	174	174	167	193	70	126	116	17	156	83					
		10.53%	11.02%	6.99%	10.26%	11.67%	10.08%	8.45%	6.63%	7.56%	15.15%	14.10%	16.83%	7.48%	10.17%	4.27%	12.90%	15.95%	17.15%	15.29%	8.21%	8.57%	9.88%	3.09%	9.52%	15.04%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	156	4	12	11	6	3	9	8	5	6	4	3	10	5	8	12	1	1	8	8	9	6	2	12	3					
		0.58%	0.27%	0.66%	0.87%	0.46%	0.30%	0.83%	1.29%	0.77%	0.54%	0.48%	0.37%	0.69%	0.46%	0.53%	0.89%	0.09%	0.10%	0.63%	0.94%	0.61%	0.51%	0.36%	0.73%	0.54%					
23	6.Политическая партия «Партия социальной справедливости»	26	2	2	0	1	1	3	0	2	0	1	0	1	2	2	0	2	1	0	0	2	3	0	1	0					
		0.10%	0.13%	0.11%	0.00%	0.08%	0.10%	0.28%	0.00%	0.31%	0.00%	0.12%	0.00%	0.07%	0.18%	0.13%	0.00%	0.18%	0.10%	0.00%	0.00%	0.14%	0.26%	0.00%	0.06%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1483	96	96	71	79	43	75	53	54	28	44	42	43	41	34	81	57	66	98	76	60	72	33	112	29					
		5.49%	6.37%	5.29%	5.60%	6.11%	4.25%	6.89%	8.58%	8.33%	2.52%	5.26%	5.12%	2.95%	3.76%	2.23%	6.00%	5.22%	6.78%	7.77%	8.91%	4.08%	6.13%	5.99%	6.84%	5.25%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3220	150	178	204	215	138	192	117	104	101	77	84	151	114	173	165	70	76	110	117	188	168	78	157	93					
		11.93%	9.96%	9.80%	16.10%	16.62%	13.64%	17.63%	18.93%	16.05%	9.11%	9.20%	10.24%	10.36%	10.45%	11.37%	12.23%	6.42%	7.80%	8.72%	13.72%	12.78%	14.31%	14.16%	9.58%	16.85%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	159	11	7	12	13	3	5	2	5	5	4	6	9	5	9	7	4	6	6	7	13	4	0	12	4					
		0.59%	0.73%	0.39%	0.95%	1.00%	0.30%	0.46%	0.32%	0.77%	0.45%	0.48%	0.73%	0.62%	0.46%	0.59%	0.52%	0.37%	0.62%	0.48%	0.82%	0.88%	0.34%	0.00%	0.73%	0.72%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	18197	1013	1334	791	784	713	672	372	400	726	571	517	1105	770	1204	826	755	630	790	551	1033	752	418	1141	329					
		67.39%	67.26%	73.46%	62.43%	60.59%	70.45%	61.71%	60.19%	61.73%	65.46%	68.22%	63.05%	75.79%	70.58%	79.11%	61.23%	69.20%	64.68%	62.60%	64.60%	70.22%	64.05%	75.86%	69.66%	59.60%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	128	12	9	9	5	2	6	5	7	4	4	4	2	5	4	5	4	5	9	2	4	13	0	6	2					
		0.47%	0.80%	0.50%	0.71%	0.39%	0.20%	0.55%	0.81%	1.08%	0.36%	0.48%	0.49%	0.14%	0.46%	0.26%	0.37%	0.37%	0.51%	0.71%	0.23%	0.27%	1.11%	0.00%	0.37%	0.36%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
