Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Михайловская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455					
1	"Число избирателей, внесенных в список"	12370	527	671	787	1089	1468	1203	592	218	71	263	89	204	225	60	77	78	275	117	46	381	49	89	569	132	126	220	507	137	629	602	138	86	645					
2	Число полученных избирательных бюллетеней	11881	464	615	690	1000	1300	1100	590	227	71	266	94	206	230	68	76	80	280	120	46	385	52	93	563	134	127	232	510	146	640	600	138	88	650					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8356	330	409	470	594	858	723	407	170	67	222	80	160	182	56	59	66	196	104	43	306	33	82	380	98	83	171	334	132	416	463	120	73	469					
5	"Число избирательных бюллетеней, выданных вне помещения"	553	18	47	45	24	64	34	31	11	2	12	9	11	11	4	8	7	23	9	3	0	0	3	23	12	0	16	19	5	30	30	7	4	31					
6	Число погашенных избирательных бюллетеней	2972	116	159	175	382	378	343	152	46	2	32	5	35	37	8	9	7	61	7	0	79	19	8	160	24	44	45	157	9	194	107	11	11	150					
7	Число избирательных бюллетеней в переносных ящиках	553	18	47	45	24	64	34	31	11	2	12	9	11	11	4	8	7	23	9	3	0	0	3	23	12	0	16	19	5	30	30	7	4	31					
8	Число бюллетеней в стационарных ящиках для голосования	8345	330	409	470	594	858	723	407	170	67	222	80	160	182	56	59	66	196	95	43	306	33	82	380	98	83	169	334	132	416	463	120	73	469					
9	Число недействительных избирательных бюллетеней	86	4	6	6	4	6	4	5	2	0	4	0	1	5	0	0	2	1	1	0	4	0	1	4	2	4	1	4	1	5	3	0	0	6					
10	Число действительных избирательных бюллетеней	8812	344	450	509	614	916	753	433	179	69	230	89	170	188	60	67	71	218	103	46	302	33	84	399	108	79	184	349	136	441	490	127	77	494					
11	Число полученных открепительных  удостоверений	197	10	10	10	10	17	10	10	5	3	7	3	5	7	3	3	3	7	3	3	7	3	3	10	5	5	5	5	2	6	6	2	2	7					
12	Число выданных открепительных удостоверений	79	7	9	10	10	16	4	2	0	0	1	0	0	3	0	0	0	4	0	0	1	0	0	0	0	2	1	1	0	3	2	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	3	3	4	3	2	2	2	1	2	0	3	2	4	3	2	3	1	3	2	0	1	3	0	3	0	1	1	3	2	2	3	3	2					
14	Число неиспользованных открепительных удостоверений	118	3	1	0	0	1	6	8	5	3	6	3	5	4	3	3	3	3	3	3	6	3	3	10	5	3	4	4	2	3	4	2	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																								
18	. Глазьев Сергей Юрьевич	320	17	14	21	37	55	34	14	10	0	4	0	4	6	2	1	1	15	1	2	12	0	0	13	1	0	8	4	1	16	9	1	1	16					
		3.60%	4.89%	3.07%	4.08%	5.99%	5.97%	4.49%	3.20%	5.52%	0.00%	1.71%	0.00%	2.34%	3.11%	3.33%	1.49%	1.37%	6.85%	0.96%	4.35%	3.92%	0.00%	0.00%	3.23%	0.91%	0.00%	4.32%	1.13%	0.73%	3.59%	1.83%	0.79%	1.30%	3.20%					
19	. Малышкин Олег Александрович	355	7	22	6	27	28	30	28	7	3	6	2	10	9	1	2	3	6	4	2	15	5	6	13	12	3	8	9	3	40	8	7	5	18					
		3.99%	2.01%	4.82%	1.17%	4.37%	3.04%	3.96%	6.39%	3.87%	4.35%	2.56%	2.25%	5.85%	4.66%	1.67%	2.99%	4.11%	2.74%	3.85%	4.35%	4.90%	15.15%	7.06%	3.23%	10.91%	3.61%	4.32%	2.55%	2.19%	8.97%	1.62%	5.51%	6.49%	3.60%					
20	. Миронов Сергей Михайлович	124	5	7	8	11	10	11	4	10	1	3	2	1	2	0	0	0	1	2	1	10	0	1	1	1	2	0	2	0	7	12	2	0	7					
		1.39%	1.44%	1.54%	1.55%	1.78%	1.08%	1.45%	0.91%	5.52%	1.45%	1.28%	2.25%	0.58%	1.04%	0.00%	0.00%	0.00%	0.46%	1.92%	2.17%	3.27%	0.00%	1.18%	0.25%	0.91%	2.41%	0.00%	0.57%	0.00%	1.57%	2.43%	1.57%	0.00%	1.40%					
21	. Путин Владимир Владимирович	5140	218	269	296	352	546	410	262	105	35	152	47	93	108	43	42	58	155	60	21	132	4	41	235	39	43	101	220	90	205	337	84	35	302					
		57.77%	62.64%	58.99%	57.48%	56.96%	59.22%	54.16%	59.82%	58.01%	50.72%	64.96%	52.81%	54.39%	55.96%	71.67%	62.69%	79.45%	70.78%	57.69%	45.65%	43.14%	12.12%	48.24%	58.31%	35.45%	51.81%	54.59%	62.32%	65.69%	45.96%	68.36%	66.14%	45.45%	60.40%					
22	. Хакамада Ирина Муцуовна	191	5	10	10	21	20	25	5	2	2	4	5	4	7	0	0	2	8	2	1	4	1	1	6	1	2	7	3	3	9	9	2	2	8					
		2.15%	1.44%	2.19%	1.94%	3.40%	2.17%	3.30%	1.14%	1.10%	2.90%	1.71%	5.62%	2.34%	3.63%	0.00%	0.00%	2.74%	3.65%	1.92%	2.17%	1.31%	3.03%	1.18%	1.49%	0.91%	2.41%	3.78%	0.85%	2.19%	2.02%	1.83%	1.57%	2.60%	1.60%					
23	. Харитонов Николай Михайлович	2470	79	118	157	152	231	223	106	42	25	58	33	53	55	14	20	5	25	29	18	124	22	34	124	53	28	58	106	36	148	108	29	34	123					
		27.76%	22.70%	25.88%	30.49%	24.60%	25.05%	29.46%	24.20%	23.20%	36.23%	24.79%	37.08%	30.99%	28.50%	23.33%	29.85%	6.85%	11.42%	27.88%	39.13%	40.52%	66.67%	40.00%	30.77%	48.18%	33.73%	31.35%	30.03%	26.28%	33.18%	21.91%	22.83%	44.16%	24.60%					
																																								
24	Против всех	212	13	10	11	14	26	20	14	3	3	3	0	5	1	0	2	2	8	5	1	5	1	1	7	1	1	2	5	3	16	7	2	0	20					
		2.38%	3.74%	2.19%	2.14%	2.27%	2.82%	2.64%	3.20%	1.66%	4.35%	1.28%	0.00%	2.92%	0.52%	0.00%	2.99%	2.74%	3.65%	4.81%	2.17%	1.63%	3.03%	1.18%	1.74%	0.91%	1.20%	1.08%	1.42%	2.19%	3.59%	1.42%	1.57%	0.00%	4.00%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
