Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																														
Дата голосования: 07.12.2003 0:00:00																																																														
																																																														
Наименование Избирательной комиссии:    Елецкая городская																																																														
																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																														
																																																														
		Сумма	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349					
1	"Число избирателей, внесенных в списки"	96250	1786	1512	1336	1406	1697	1967	1298	1859	2712	1720	2454	1779	1558	2513	2420	2711	2818	2576	2764	2182	1945	1901	2317	1138	1486	1860	1457	1822	2667	2085	654	1822	1715	1268	99	1299	1873	2171	2583	1494	2430	2262	1660	1957	1133	2316	2281	378	2037	1911	1520	1257	101	59	224					
2	"Число бюллетеней, полученных участковыми комиссиями"	94460	1750	1500	1300	1400	1800	1900	1250	1850	2700	1700	2400	1700	1500	2500	2400	2700	2800	2500	2700	2100	1900	1900	2300	1100	1400	1800	1400	1800	2600	2000	600	1800	1700	1200	110	1300	1900	2100	2600	1500	2300	2200	1600	1900	1100	2300	2200	380	2000	1900	1500	1200	100	100	220					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	39619	542	490	424	433	749	725	575	812	1194	654	974	652	533	937	1178	1330	1166	1199	1182	898	834	746	971	569	583	880	750	773	1142	1045	214	767	692	580	68	480	762	929	1097	641	1153	948	668	596	376	821	714	227	897	677	621	455	52	38	206					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1582	45	16	45	31	30	37	20	21	29	27	10	25	41	37	20	27	12	26	20	24	14	40	34	24	28	8	34	26	47	28	25	53	35	36	31	15	9	23	31	28	22	19	14	22	39	22	40	151	22	17	30	7	44	21	0					
6	Число погашенных бюллетеней	53259	1163	994	831	936	1021	1138	655	1017	1477	1019	1416	1023	926	1526	1202	1343	1622	1275	1498	1178	1052	1114	1295	507	789	912	616	1001	1411	927	361	980	973	584	11	805	1129	1148	1472	831	1125	1233	918	1282	685	1457	1446	2	1081	1206	849	738	4	41	14					
7	Число бюллетеней в переносных ящиках для голосования	1582	45	16	45	31	30	37	20	21	29	27	10	25	41	37	20	27	12	26	20	24	14	40	34	24	28	8	34	26	47	28	25	53	35	36	31	15	9	23	31	28	22	19	14	22	39	22	40	151	22	17	30	7	44	21	0					
8	Число бюллетеней в стационарных ящиках для голосования	39608	542	490	424	433	747	725	575	812	1194	654	974	652	533	937	1178	1329	1166	1199	1182	898	834	746	971	568	583	880	750	773	1142	1045	214	767	692	580	68	480	762	929	1097	641	1150	947	667	596	376	821	714	227	897	677	621	453	52	38	206					
9	Число недействительных бюллетеней	701	11	4	5	9	9	14	5	7	15	5	3	26	18	9	19	11	14	36	12	18	10	24	22	16	13	28	2	11	25	32	7	23	39	15	3	2	5	8	9	9	15	24	3	14	1	7	15	17	10	15	12	6	1	2	6					
10	Число действительных бюллетеней	40489	576	502	464	455	768	748	590	826	1208	676	981	651	556	965	1179	1345	1164	1189	1190	904	838	762	983	576	598	860	782	788	1164	1041	232	797	688	601	96	493	766	944	1119	660	1157	942	678	604	414	836	739	361	909	679	639	454	95	57	200					
