Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Пестовская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417					
1	"Число избирателей, внесенных в список"	17561	430	247	195	376	496	166	202	538	251	327	334	586	177	187	306	459	348	1380	1579	1829	1888	1625	2095	1176	364					
2	Число полученных избирательных бюллетеней	17492	430	246	191	378	500	170	207	530	256	370	330	553	170	186	272	455	345	1295	1585	1895	1890	1600	2100	1180	358					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9431	263	180	162	221	313	120	129	327	148	189	239	397	137	127	196	265	299	635	691	928	1031	658	1070	489	217					
5	"Число избирательных бюллетеней, выданных вне помещения"	1502	100	18	17	94	6	30	52	115	58	56	57	33	19	26	76	109	34	63	128	115	52	84	96	50	14					
6	Число погашенных избирательных бюллетеней	6559	67	48	12	63	181	20	26	88	50	125	34	123	14	33	0	81	12	597	766	852	807	858	934	641	127					
7	Число избирательных бюллетеней в переносных ящиках	1502	100	18	17	94	6	30	52	115	58	56	57	33	19	26	76	109	34	63	128	115	52	84	96	50	14					
8	Число бюллетеней в стационарных ящиках для голосования	9430	263	180	161	221	313	120	129	327	148	189	239	397	137	127	196	265	299	635	691	928	1031	658	1070	489	217					
9	Число недействительных избирательных бюллетеней	63	3	0	1	2	3	2	1	5	0	2	0	4	0	3	0	0	0	4	4	4	6	6	6	3	4					
10	Число действительных избирательных бюллетеней	10869	360	198	177	313	316	148	180	437	206	243	296	426	156	150	272	374	333	694	815	1039	1077	736	1160	536	227					
11	Число полученных открепительных  удостоверений	298	9	9	9	9	12	9	9	12	9	9	9	12	9	9	9	9	8	18	18	18	18	18	18	18	11					
12	Число выданных открепительных удостоверений	71	2	4	0	0	0	2	0	0	4	1	7	4	1	6	0	3	0	4	8	3	10	2	10	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	1	0	1	0	6	2	1	3	1	0	2	4	0	2	1	2	2	6	2	5	2	5	3	0	0					
14	Число неиспользованных открепительных удостоверений	227	7	5	9	9	12	7	9	12	5	8	2	8	8	3	9	6	8	14	10	15	8	16	8	18	11					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	329	6	6	3	3	6	6	0	9	2	2	3	14	0	1	7	4	7	24	29	34	36	35	60	18	14					
		3.01%	1.65%	3.03%	1.69%	0.95%	1.88%	4.00%	0.00%	2.04%	0.97%	0.82%	1.01%	3.26%	0.00%	0.65%	2.57%	1.07%	2.10%	3.44%	3.54%	3.26%	3.32%	4.72%	5.15%	3.34%	6.06%					
19	. Малышкин Олег Александрович	268	2	10	1	5	6	3	2	16	15	3	9	23	0	10	9	11	6	14	13	37	19	18	18	6	12					
		2.45%	0.55%	5.05%	0.56%	1.59%	1.88%	2.00%	1.10%	3.62%	7.28%	1.22%	3.04%	5.35%	0.00%	6.54%	3.31%	2.94%	1.80%	2.01%	1.59%	3.55%	1.75%	2.43%	1.54%	1.11%	5.19%					
20	. Миронов Сергей Михайлович	75	3	1	2	2	3	1	1	2	0	1	3	0	0	0	3	4	2	9	4	4	8	5	11	2	4					
		0.69%	0.83%	0.51%	1.12%	0.63%	0.94%	0.67%	0.55%	0.45%	0.00%	0.41%	1.01%	0.00%	0.00%	0.00%	1.10%	1.07%	0.60%	1.29%	0.49%	0.38%	0.74%	0.67%	0.94%	0.37%	1.73%					
21	. Путин Владимир Владимирович	8171	293	131	142	232	269	116	129	305	170	167	232	327	131	104	219	284	263	531	631	779	761	545	827	426	157					
		74.74%	80.72%	66.16%	79.78%	73.65%	84.33%	77.33%	71.27%	69.00%	82.52%	68.16%	78.38%	76.05%	83.97%	67.97%	80.51%	75.94%	78.98%	76.07%	77.05%	74.69%	70.27%	73.45%	70.93%	79.04%	67.97%					
22	. Хакамада Ирина Муцуовна	240	3	0	2	2	3	0	3	13	3	4	8	10	2	2	7	8	8	17	16	26	30	24	36	10	3					
		2.20%	0.83%	0.00%	1.12%	0.63%	0.94%	0.00%	1.66%	2.94%	1.46%	1.63%	2.70%	2.33%	1.28%	1.31%	2.57%	2.14%	2.40%	2.44%	1.95%	2.49%	2.77%	3.23%	3.09%	1.86%	1.30%					
23	. Харитонов Николай Михайлович	1561	52	45	24	67	26	20	43	86	16	65	32	46	23	27	25	58	40	77	107	135	186	95	168	69	29					
		14.28%	14.33%	22.73%	13.48%	21.27%	8.15%	13.33%	23.76%	19.46%	7.77%	26.53%	10.81%	10.70%	14.74%	17.65%	9.19%	15.51%	12.01%	11.03%	13.06%	12.94%	17.17%	12.80%	14.41%	12.80%	12.55%					
																																
24	Против всех	225	1	5	3	2	3	2	2	6	0	1	9	6	0	6	2	5	7	22	15	24	37	14	40	5	8					
		2.06%	0.28%	2.53%	1.69%	0.63%	0.94%	1.33%	1.10%	1.36%	0.00%	0.41%	3.04%	1.40%	0.00%	3.92%	0.74%	1.34%	2.10%	3.15%	1.83%	2.30%	3.42%	1.89%	3.43%	0.93%	3.46%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
