Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Илишевская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №2049	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2068	УИК №2070	УИК №2071	УИК №2072	УИК №2074	УИК №2075	УИК №2077	УИК №2078	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2099	УИК №2100	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2109	УИК №2110	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24946	413	181	565	233	142	515	162	274	142	103	134	294	149	222	671	432	395	553	271	499	225	513	210	435	299	189	515	271	415	214	335	332	380	190	293	161	137	179	602	431	493	191	428	279	441	319	666	1047	400	258	339	1118	1404	1035	1285	1475	1092									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26129	468	193	595	244	151	540	172	286	151	113	136	318	179	242	769	470	404	593	280	527	244	522	214	475	311	203	592	287	452	229	366	354	395	204	303	171	141	196	672	456	499	195	462	295	441	321	693	990	412	277	344	1119	1432	1047	1322	1537	1125									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19926	372	165	469	196	129	447	152	233	137	99	120	268	119	200	482	369	337	482	242	324	206	447	192	375	273	168	464	247	355	184	281	304	338	178	286	153	130	176	509	372	439	181	399	248	393	301	521	916	365	243	306	749	660	689	917	837	782									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1144	9	5	57	23	7	32	0	27	0	0	6	9	23	19	119	33	34	33	18	37	10	40	8	29	8	12	8	16	39	25	44	8	5	0	0	0	0	0	49	34	28	0	12	17	19	5	69	23	8	6	12	35	33	36	9	5	1									
6	Число погашенных избирательных бюллетеней	5059	87	23	69	25	15	61	20	26	14	14	10	41	37	23	168	68	33	78	20	166	28	35	14	71	30	23	120	24	58	20	41	42	52	26	17	18	11	20	114	50	32	14	51	30	29	15	103	51	39	28	26	335	739	322	396	695	342									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1144	9	5	57	23	7	32	0	27	0	0	6	9	23	19	119	33	34	33	18	37	10	40	8	29	8	12	8	16	39	25	44	8	5	0	0	0	0	0	49	34	28	0	12	17	19	5	69	23	8	6	12	35	33	36	9	5	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19922	372	165	469	196	129	447	152	233	137	99	120	268	119	200	482	369	337	482	242	324	206	447	192	375	273	168	464	247	355	184	281	304	338	178	286	153	130	176	505	372	439	181	399	248	393	301	521	916	365	243	306	749	660	689	917	837	782									
9	Число недействительных избирательных бюллетеней	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	16	7	4	0	0									
10	Число действительных избирательных бюллетеней	21007	381	170	526	219	136	479	152	260	137	99	126	277	142	219	583	402	371	515	260	361	216	487	200	404	281	180	464	263	394	209	325	312	343	178	286	153	130	176	548	406	467	181	411	265	412	306	590	939	373	249	318	784	677	718	922	842	783									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	530	10	7	12	5	3	5	0	0	0	0	0	14	17	10	15	8	9	5	5	30	12	10	3	15	10	6	3	3	10	5	5	7	5	5	10	3	3	5	10	15	20	10	23	7	5	5	10	15	5	5	5	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	434	10	7	12	5	3	5	0	0	0	0	0	14	17	10	15	8	9	5	5	19	9	10	3	15	10	6	3	3	10	5	5	7	5	5	10	3	3	5	10	15	20	10	23	7	5	5	0	5	5	5	5	10	10	8	10	4	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	49	0	0	2	1	0	1	0	0	2	0	1	0	0	0	1	0	0	3	0	0	2	2	2	0	0	0	1	1	0	1	1	0	0	0	2	0	0	0	3	0	4	1	0	0	0	1	0	0	0	0	0	0	7	1	1	5	3									
14	Число погашенных неиспользованных открепительных удостоверений	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	10	10	12	10	16	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	63	0	0	0	0	0	0	0	0	0	1	0	5	7	1	1	0	1	3	1	0	0	1	1	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	4	1	2	0	1	0	1	3	4	6	6	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	133	0	0	5	0	1	0	0	9	0	0	1	0	0	1	6	0	0	0	0	0	0	1	0	0	0	0	3	1	1	3	5	0	4	0	0	0	0	0	0	2	3	1	1	0	4	0	5	9	0	1	5	8	11	11	11	7	13									
		0.63%	0.00%	0.00%	0.95%	0.00%	0.74%	0.00%	0.00%	3.46%	0.00%	0.00%	0.79%	0.00%	0.00%	0.46%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.64%	0.38%	0.25%	1.44%	1.54%	0.00%	1.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.64%	0.55%	0.24%	0.00%	0.97%	0.00%	0.85%	0.96%	0.00%	0.40%	1.57%	1.02%	1.59%	1.52%	1.19%	0.83%	1.66%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	463	0	0	2	11	8	4	0	10	0	0	0	0	0	2	10	3	3	1	0	0	0	0	0	5	2	1	11	10	30	9	17	0	6	3	0	0	0	3	8	11	1	0	13	1	15	3	13	7	0	1	13	41	59	30	38	5	53									
		2.20%	0.00%	0.00%	0.38%	5.02%	5.88%	0.84%	0.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	1.66%	0.75%	0.81%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	1.24%	0.71%	0.56%	2.33%	3.80%	7.61%	4.31%	5.23%	0.00%	1.75%	1.69%	0.00%	0.00%	0.00%	1.70%	1.44%	2.71%	0.21%	0.00%	3.16%	0.38%	3.64%	0.98%	2.20%	0.75%	0.00%	0.40%	4.09%	5.23%	8.51%	4.14%	4.10%	0.59%	6.77%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	247	0	0	3	2	1	2	0	10	0	0	0	0	1	2	5	0	0	1	0	0	0	4	1	4	0	0	0	6	22	2	3	0	1	5	0	0	3	1	2	2	2	0	0	2	8	7	8	9	0	0	0	17	27	16	38	9	21									
		1.17%	0.00%	0.00%	0.57%	0.91%	0.74%	0.42%	0.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.70%	0.91%	0.83%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.82%	0.50%	0.99%	0.00%	0.00%	0.00%	2.28%	5.58%	0.96%	0.92%	0.00%	0.29%	2.81%	0.00%	0.00%	2.31%	0.57%	0.36%	0.49%	0.43%	0.00%	0.00%	0.75%	1.94%	2.29%	1.36%	0.96%	0.00%	0.00%	0.00%	2.17%	3.90%	2.21%	4.10%	1.07%	2.68%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13687	217	107	290	169	100	275	90	146	85	69	83	166	90	145	476	224	207	305	168	267	131	272	154	217	159	124	415	227	275	173	248	188	201	109	170	87	75	144	519	231	298	114	333	161	303	274	325	508	226	193	209	536	381	501	604	447	476									
		64.97%	56.96%	62.94%	55.13%	77.17%	73.53%	57.41%	59.21%	56.15%	62.04%	69.70%	65.87%	59.93%	63.38%	66.21%	79.20%	55.72%	55.80%	59.22%	64.62%	73.96%	60.65%	55.85%	77.00%	53.71%	56.58%	68.89%	87.92%	86.31%	69.80%	82.78%	76.31%	60.26%	58.60%	61.24%	59.44%	56.86%	57.69%	81.82%	93.68%	56.90%	63.81%	62.98%	81.02%	60.75%	73.54%	89.54%	55.08%	54.10%	60.59%	77.51%	65.72%	68.37%	54.98%	69.10%	65.23%	53.09%	60.79%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	78	0	0	4	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	6	2	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	4	2	3	5	0	0	1	5	10	4	10	0	10									
