Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Воробьевская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824					
1	"Число избирателей, внесенных в список"	16113	1092	240	336	471	393	2081	1453	953	384	420	574	600	977	704	444	625	490	456	1018	668	586	615	349	184					
2	Число полученных избирательных бюллетеней	16300	1100	250	350	500	400	2000	1400	1000	400	450	550	600	1000	750	450	700	500	500	1000	650	600	600	350	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10929	739	200	251	333	232	1215	941	730	250	345	438	455	693	442	282	449	391	252	605	405	437	484	245	115					
5	"Число избирательных бюллетеней, выданных вне помещения"	2707	163	23	52	81	120	225	270	86	103	48	81	107	121	148	119	127	64	180	172	112	95	77	74	59					
6	Число погашенных избирательных бюллетеней	2664	198	27	47	86	48	560	189	184	47	57	31	38	186	160	49	124	45	68	223	133	68	39	31	26					
7	Число избирательных бюллетеней в переносных ящиках	2707	163	23	52	81	120	225	270	86	103	48	81	107	121	148	119	127	64	180	172	112	95	77	74	59					
8	Число бюллетеней в стационарных ящиках для голосования	10929	739	200	251	333	232	1215	941	730	250	345	438	455	693	442	282	449	391	252	605	405	437	484	245	115					
9	Число недействительных избирательных бюллетеней	77	1	2	3	2	3	8	0	14	0	3	5	7	1	5	4	1	2	4	5	4	1	1	1	0					
10	Число действительных избирательных бюллетеней	13559	901	221	300	412	349	1432	1211	802	353	390	514	555	813	585	397	575	453	428	772	513	531	560	318	174					
11	Число полученных открепительных  удостоверений	243	36	0	0	3	0	35	15	10	5	20	5	10	13	20	5	20	6	25	8	5	0	2	0	0					
12	Число выданных открепительных удостоверений	218	36	0	0	3	0	26	15	6	1	20	4	8	13	17	5	20	6	25	8	3	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	2	1	2	2	0	9	8	3	4	2	7	3	4	1	1	1	0	4	1	7	3	3	1	1					
14	Число неиспользованных открепительных удостоверений	25	0	0	0	0	0	9	0	4	4	0	1	2	0	3	0	0	0	0	0	2	0	0	0	0					
