Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Порховская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615	УИК  616	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624	УИК  625	УИК  626	УИК  627	УИК  628	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635					
1	"Число избирателей, внесенных в списки"	22329	1471	1821	1583	1686	1737	1676	719	730	512	374	249	1522	401	452	292	114	547	921	1015	1225	646	241	290	283	248	192	218	203	450	128	383					
2	"Число бюллетеней, полученных участковыми комиссиями"	22313	1374	1821	1594	1672	1725	1645	720	672	508	532	251	1535	401	484	494	125	541	890	841	1225	644	242	290	269	241	183	220	206	451	132	385					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9309	614	868	762	900	835	719	138	328	133	194	90	710	114	214	247	99	165	289	208	399	184	92	81	63	72	78	117	140	245	94	117					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3740	142	48	18	36	44	37	382	180	226	180	96	66	142	143	45	5	175	252	329	162	161	84	134	155	131	60	23	20	97	9	158					
6	Число погашенных бюллетеней	9264	618	905	814	736	846	889	200	164	149	158	65	759	145	127	202	21	201	349	304	664	299	66	75	51	38	45	80	46	109	29	110					
7	Число бюллетеней в переносных ящиках для голосования	3740	142	48	18	36	44	37	382	180	226	180	96	66	142	143	45	5	175	252	329	162	161	84	134	155	131	60	23	20	97	9	158					
8	Число бюллетеней в стационарных ящиках для голосования	9306	614	868	762	900	833	719	138	328	133	194	89	710	114	214	247	99	165	289	208	399	184	92	81	63	72	78	117	140	245	94	117					
9	Число недействительных бюллетеней	133	5	4	7	6	7	9	2	9	0	4	0	8	0	28	0	0	0	2	3	10	16	1	2	0	0	0	4	0	4	0	2					
10	Число действительных бюллетеней	12913	751	912	773	930	870	747	518	499	359	370	185	768	256	329	292	104	340	539	534	551	329	175	213	218	203	138	136	160	338	103	273					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	347	37	25	25	25	25	25	10	10	9	9	4	20	5	9	9	2	10	10	10	20	10	4	4	4	4	4	4	4	4	2	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	50	3	10	6	5	7	6	0	0	0	0	0	7	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	80	1	1	1	4	2	2	4	5	0	5	0	2	0	2	3	0	1	3	34	3	1	3	0	2	0	0	0	0	0	1	0					
14	Число погашенных открепительных удостоверений	297	34	15	19	20	18	19	10	10	9	9	4	13	5	7	9	2	9	9	10	19	10	4	4	4	4	4	4	4	3	2	4					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	230	11	8	11	14	14	15	6	7	15	5	6	18	8	6	8	1	4	13	10	9	11	1	1	0	10	2	2	0	10	2	2					
		1.76%	1.45%	0.87%	1.41%	1.49%	1.59%	1.98%	1.15%	1.37%	4.17%	1.33%	3.24%	2.31%	3.12%	1.68%	2.73%	0.96%	1.17%	2.40%	1.86%	1.60%	3.18%	0.56%	0.46%	0.0%	4.92%	1.44%	1.42%	0.0%	2.92%	1.94%	0.72%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	213	15	32	43	20	17	14	3	4	5	6	4	5	2	0	2	2	6	6	2	8	4	0	0	2	3	0	0	1	0	2	5					
		1.63%	1.98%	3.49%	5.51%	2.13%	1.93%	1.85%	0.57%	0.78%	1.39%	1.60%	2.16%	0.64%	0.78%	0.0%	0.68%	1.92%	1.76%	1.10%	0.37%	1.42%	1.15%	0.0%	0.0%	0.91%	1.47%	0.0%	0.0%	0.62%	0.0%	1.94%	1.81%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	286	17	25	26	40	27	17	0	8	5	0	1	15	8	12	2	2	5	14	19	10	5	2	2	0	5	4	3	3	3	2	4					
		2.19%	2.24%	2.72%	3.33%	4.27%	3.07%	2.24%	0.0%	1.57%	1.39%	0.0%	0.54%	1.93%	3.12%	3.36%	0.68%	1.92%	1.47%	2.58%	3.53%	1.78%	1.44%	1.13%	0.93%	0.0%	2.46%	2.89%	2.14%	1.87%	0.87%	1.94%	1.45%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	217	13	35	22	23	18	23	7	10	2	4	1	15	3	0	2	0	6	9	3	1	4	1	3	4	4	1	1	0	1	0	1					
		1.66%	1.71%	3.82%	2.82%	2.45%	2.05%	3.04%	1.34%	1.96%	0.55%	1.06%	0.54%	1.93%	1.17%	0.0%	0.68%	0.0%	1.76%	1.66%	0.55%	0.17%	1.15%	0.56%	1.39%	1.83%	1.97%	0.72%	0.71%	0.0%	0.29%	0.0%	0.36%					
22	"5. ""За Русь Святую"""	69	3	6	4	4	7	6	1	4	3	1	0	3	0	0	1	0	1	2	1	6	3	0	0	0	0	4	0	1	6	2	0					
		0.52%	0.39%	0.65%	0.51%	0.42%	0.79%	0.79%	0.19%	0.78%	0.83%	0.26%	0.0%	0.38%	0.0%	0.0%	0.34%	0.0%	0.29%	0.36%	0.18%	1.06%	0.86%	0.0%	0.0%	0.0%	0.0%	2.89%	0.0%	0.62%	1.75%	1.94%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	35	2	5	3	2	0	1	3	0	1	3	0	0	0	0	1	0	1	2	3	3	0	0	1	1	0	1	1	0	0	0	1					
		0.26%	0.26%	0.54%	0.38%	0.21%	0.0%	0.13%	0.57%	0.0%	0.27%	0.80%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.29%	0.36%	0.55%	0.53%	0.0%	0.0%	0.46%	0.45%	0.0%	0.72%	0.71%	0.0%	0.0%	0.0%	0.36%					
24	"7. ""Новый курс - Автомобильная Россия"""	71	10	5	6	5	9	2	5	0	0	0	1	3	0	0	3	0	1	6	4	1	0	2	1	0	2	2	1	1	0	0	1					
		0.54%	1.32%	0.54%	0.76%	0.53%	1.02%	0.26%	0.96%	0.0%	0.0%	0.0%	0.54%	0.38%	0.0%	0.0%	1.02%	0.0%	0.29%	1.10%	0.74%	0.17%	0.0%	1.13%	0.46%	0.0%	0.98%	1.44%	0.71%	0.62%	0.0%	0.0%	0.36%					
25	"8. ""Народно-республиканская партия России"""	19	1	2	0	1	1	1	2	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	2	0	0	0	0	1					
		0.14%	0.13%	0.21%	0.0%	0.10%	0.11%	0.13%	0.38%	0.39%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.28%	0.0%	0.93%	0.45%	0.0%	1.44%	0.0%	0.0%	0.0%	0.0%	0.36%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	1	3	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.10%	0.13%	0.32%	0.38%	0.10%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	460	18	12	18	23	8	14	20	10	29	11	8	40	38	15	22	4	18	11	16	24	9	5	12	9	16	1	11	0	5	5	28					
		3.52%	2.38%	1.31%	2.30%	2.45%	0.91%	1.85%	3.84%	1.96%	8.07%	2.94%	4.32%	5.15%	14.84%	4.20%	7.53%	3.84%	5.29%	2.03%	2.97%	4.27%	2.60%	2.84%	5.58%	4.12%	7.88%	0.72%	7.85%	0.0%	1.46%	4.85%	10.18%					
28	"11. ""Истинные патриоты России"""	16	3	0	0	0	0	4	3	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0					
		0.12%	0.39%	0.0%	0.0%	0.0%	0.0%	0.52%	0.57%	0.0%	0.27%	0.0%	1.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	84	4	4	8	9	5	4	3	2	2	1	1	6	3	0	0	0	3	2	3	11	4	0	0	0	0	1	2	0	4	1	1					
		0.64%	0.52%	0.43%	1.02%	0.96%	0.57%	0.52%	0.57%	0.39%	0.55%	0.26%	0.54%	0.77%	1.17%	0.0%	0.0%	0.0%	0.88%	0.36%	0.55%	1.96%	1.15%	0.0%	0.0%	0.0%	0.0%	0.72%	1.42%	0.0%	1.16%	0.97%	0.36%					
30	"13. ""Демократическая партия России"""	25	3	1	1	1	1	1	1	3	0	1	0	1	1	0	0	0	0	0	3	2	0	0	3	0	0	0	0	0	1	0	1					
		0.19%	0.39%	0.10%	0.12%	0.10%	0.11%	0.13%	0.19%	0.59%	0.0%	0.26%	0.0%	0.12%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.35%	0.0%	0.0%	1.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.36%					
