Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №16																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №8418									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	87891	1855	1892	1610	1764	2366	1910	2357	1440	1526	1591	1792	1307	1978	2218	2529	1475	2049	1584	1713	1910	1394	1613	2149	1475	1466	2501	1725	1513	1875	2423	2197	1976	1477	1799	2255	2371	1562	1953	1799	2270	2313	2160	1816	2325	1661	2277	390	290									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	118800	1500	1500	1500	1500	2000	1500	2000	1100	1500	1500	1500	1000	1500	2000	2500	1100	2000	1500	1500	1500	1000	1500	2000	1100	1100	2000	1500	1100	1500	2000	2000	1500	1100	1500	2000	2000	1500	1500	1500	2000	2000	2000	1500	2000	1500	2000	600	44100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26919	660	853	502	642	681	580	649	522	493	599	659	415	569	706	677	475	653	419	526	657	422	538	614	348	546	691	525	455	578	706	756	569	380	469	665	788	572	582	506	590	669	591	403	622	485	571	51	290									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	913	8	11	8	20	10	30	15	13	4	15	6	6	9	14	8	12	24	17	5	19	24	18	18	3	13	39	13	12	18	21	7	11	6	10	4	11	13	15	13	9	13	16	14	9	7	10	312	0									
6	Число погашенных избирательных бюллетеней	90968	832	636	990	838	1309	890	1336	565	1003	886	835	579	922	1280	1815	613	1323	1064	969	824	554	944	1368	749	541	1270	962	633	904	1273	1237	920	714	1021	1331	1201	915	903	981	1401	1318	1393	1083	1369	1008	1419	237	43810									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	912	8	11	8	20	10	29	15	13	4	15	6	6	9	14	8	12	24	17	5	19	24	18	18	3	13	39	13	12	18	21	7	11	6	10	4	11	13	15	13	9	13	16	14	9	7	10	312	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26733	657	851	502	641	678	532	647	520	490	597	644	415	567	702	674	475	647	418	522	648	420	533	611	345	544	687	522	455	574	705	733	563	379	466	664	786	572	582	506	590	669	590	398	622	481	568	51	290									
9	Число недействительных избирательных бюллетеней	588	18	15	8	7	16	15	15	8	10	15	15	10	23	8	12	11	9	4	15	5	8	4	13	6	7	18	11	17	13	24	18	12	5	9	15	24	11	11	16	9	10	19	11	14	15	17	11	1									
10	Число действительных избирательных бюллетеней	27057	647	847	502	654	672	546	647	525	484	597	635	411	553	708	670	476	662	431	512	662	436	547	616	342	550	708	524	450	579	702	722	562	380	467	653	773	574	586	503	590	672	587	401	617	473	561	352	289									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1805	80	100	30	30	40	30	40	30	30	60	30	30	50	60	40	30	40	30	30	50	30	30	40	30	30	40	30	30	30	40	40	50	30	30	40	40	30	30	30	40	40	40	50	40	30	40	0	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1126	56	70	14	23	32	23	26	18	12	41	11	12	32	52	29	19	35	15	20	30	15	13	16	11	20	35	19	9	21	21	32	37	15	16	28	19	22	19	19	20	21	25	37	20	14	32	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1839	42	59	59	20	19	9	32	29	34	82	86	32	36	35	21	50	50	22	38	49	85	73	42	25	57	27	51	31	47	65	50	12	15	18	15	63	39	54	20	16	41	55	13	31	5	15	51	19									
14	Число погашенных неиспользованных открепительных удостоверений	679	24	30	16	7	8	7	14	12	18	19	19	18	18	8	11	11	5	15	10	20	15	17	24	19	10	5	11	21	9	19	8	13	15	14	12	21	8	11	11	20	19	15	13	20	16	8	0	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	149	30	8	2	2	1	1	6	1	1	4	5	0	3	4	5	1	0	2	1	4	1	3	0	2	6	2	2	5	3	6	3	2	1	1	0	2	0	6	3	5	6	2	4	1	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	846	20	25	12	15	18	20	30	11	20	21	26	15	12	30	21	12	18	10	21	21	15	18	21	10	16	30	18	19	24	18	19	11	13	10	21	25	14	16	13	20	15	18	15	23	8	12	8	18									
		3.06%	3.01%	2.90%	2.35%	2.27%	2.62%	3.57%	4.53%	2.06%	4.05%	3.43%	4.00%	3.56%	2.08%	4.19%	3.08%	2.46%	2.68%	2.30%	3.98%	3.15%	3.38%	3.27%	3.34%	2.87%	2.87%	4.13%	3.36%	4.07%	4.05%	2.48%	2.57%	1.92%	3.38%	2.10%	3.14%	3.14%	2.39%	2.68%	2.50%	3.34%	2.20%	2.97%	3.64%	3.65%	1.64%	2.08%	2.20%	6.21%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	330	6	17	7	6	12	5	6	5	3	8	9	2	8	11	9	7	10	2	12	5	2	6	9	3	3	5	7	2	9	4	5	10	6	7	9	14	6	7	8	11	7	6	4	4	5	7	10	4									
		1.19%	0.90%	1.97%	1.37%	0.91%	1.74%	0.89%	0.91%	0.94%	0.61%	1.31%	1.38%	0.48%	1.39%	1.54%	1.32%	1.44%	1.49%	0.46%	2.28%	0.75%	0.45%	1.09%	1.43%	0.86%	0.54%	0.69%	1.31%	0.43%	1.52%	0.55%	0.68%	1.74%	1.56%	1.47%	1.35%	1.76%	1.03%	1.17%	1.54%	1.84%	1.03%	0.99%	0.97%	0.63%	1.02%	1.21%	2.75%	1.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	527	10	6	12	13	11	9	9	9	10	10	6	2	19	14	14	11	12	10	11	14	6	12	17	6	2	16	16	6	15	13	10	7	9	9	19	17	9	12	7	8	25	8	9	14	13	14	14	2									
		1.91%	1.50%	0.70%	2.35%	1.97%	1.60%	1.60%	1.36%	1.69%	2.02%	1.63%	0.92%	0.48%	3.30%	1.96%	2.05%	2.26%	1.79%	2.30%	2.09%	2.10%	1.35%	2.18%	2.70%	1.72%	0.36%	2.20%	2.99%	1.28%	2.53%	1.79%	1.35%	1.22%	2.34%	1.89%	2.84%	2.13%	1.54%	2.01%	1.35%	1.34%	3.67%	1.32%	2.18%	2.22%	2.66%	2.42%	3.86%	0.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9742	243	405	146	210	212	207	220	191	153	210	238	135	185	239	228	175	240	156	171	207	178	180	216	122	227	223	179	143	203	266	268	197	119	165	232	294	211	224	195	213	251	198	140	201	195	208	171	152									
		35.24%	36.54%	46.98%	28.63%	31.77%	30.81%	36.90%	33.23%	35.83%	30.97%	34.31%	36.62%	32.07%	32.12%	33.38%	33.43%	35.93%	35.77%	35.86%	32.45%	31.03%	40.09%	32.67%	34.34%	35.06%	40.75%	30.72%	33.46%	30.62%	34.29%	36.64%	36.22%	34.32%	30.91%	34.66%	34.73%	36.89%	36.07%	37.52%	37.57%	35.56%	36.80%	32.67%	33.98%	31.85%	39.96%	35.99%	47.11%	52.41%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	530	11	13	4	15	21	11	19	9	10	8	13	8	17	12	14	7	18	11	17	11	9	14	7	7	10	12	6	5	7	21	13	13	6	9	13	10	5	10	6	12	15	10	10	24	9	11	3	4									
		1.92%	1.65%	1.51%	0.78%	2.27%	3.05%	1.96%	2.87%	1.69%	2.02%	1.31%	2.00%	1.90%	2.95%	1.68%	2.05%	1.44%	2.68%	2.53%	3.23%	1.65%	2.03%	2.54%	1.11%	2.01%	1.80%	1.65%	1.12%	1.07%	1.18%	2.89%	1.76%	2.26%	1.56%	1.89%	1.95%	1.25%	0.85%	1.68%	1.16%	2.00%	2.20%	1.65%	2.43%	3.80%	1.84%	1.90%	0.83%	1.38%									
24	"6. Политическая партия ""Гражданская Платформа"""	84	4	1	3	0	2	0	0	1	3	0	3	0	6	4	1	2	2	0	1	4	1	0	4	1	2	0	1	0	0	4	2	3	1	0	2	3	2	1	3	4	2	4	0	1	1	1	0	4									
