Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Ржаксинская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13789	1385	1155	1225	648	259	193	365	432	253	179	187	171	170	470	161	237	347	339	137	754	506	513	354	179	621	222	677	901	435	171	143									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12690	1250	1050	1100	600	250	180	350	400	250	170	180	170	160	450	150	200	300	300	130	700	500	500	300	170	560	200	620	820	400	150	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5279	456	392	360	248	114	76	190	189	116	73	62	97	57	169	98	86	131	110	65	306	255	158	201	77	140	70	208	414	168	92	101									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1945	129	135	139	58	37	33	71	87	35	41	33	20	24	43	9	48	77	100	26	124	76	114	38	31	100	47	102	95	36	16	21									
6	Число погашенных избирательных бюллетеней	5466	665	523	601	294	99	71	89	124	99	56	85	53	79	238	43	66	92	90	39	270	169	228	61	62	320	83	310	311	196	42	8									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1944	129	135	139	57	37	33	71	87	35	41	33	20	24	43	9	48	77	100	26	124	76	114	38	31	100	47	102	95	36	16	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5279	456	392	360	248	114	76	190	189	116	73	62	97	57	169	98	86	131	110	65	306	255	158	201	77	140	70	208	414	168	92	101									
9	Число недействительных избирательных бюллетеней	145	24	21	6	3	1	3	3	6	2	2	0	3	3	7	3	0	4	2	0	9	7	13	0	2	1	4	6	7	2	1	0									
10	Число действительных избирательных бюллетеней	7078	561	506	493	302	150	106	258	270	149	112	95	114	78	205	104	134	204	208	91	421	324	259	239	106	239	113	304	502	202	107	122									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	227	15	15	15	10	5	5	5	5	5	5	5	5	5	10	5	5	10	10	5	7	5	5	5	5	10	5	10	10	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	46	7	2	5	1	3	1	0	0	2	1	1	1	0	2	0	0	1	1	0	7	0	0	1	0	1	1	0	0	7	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	98	5	6	3	3	4	2	4	4	3	0	0	3	1	2	2	0	4	5	0	6	3	7	5	3	2	7	4	3	0	4	3									
