Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Нефтекумская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44087	2024	1933	2041	2057	1963	1781	1654	1692	1760	893	1557	1181	840	792	534	494	860	1059	394	2109	1778	191	2015	234	1670	234	368	250	522	1672	1705	354	726	132	2069	1902	647									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44100	2044	1952	2062	2054	1982	1799	1668	1710	1735	850	1570	1170	779	799	540	493	865	1060	395	2115	1785	185	2025	235	1690	230	369	245	520	1680	1700	355	728	130	2070	1900	611									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17528	823	671	803	901	884	800	627	629	695	267	582	407	302	406	303	252	312	409	146	813	526	148	602	131	519	111	124	136	266	490	565	111	369	99	1359	594	346									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1456	25	42	59	10	22	19	30	51	56	90	44	38	89	57	22	5	55	46	22	46	88	8	61	13	62	13	11	7	8	40	104	18	32	0	128	21	14									
6	Число погашенных избирательных бюллетеней	25116	1196	1239	1200	1143	1076	980	1011	1030	984	493	944	725	388	336	215	236	498	605	227	1256	1171	29	1362	91	1109	106	234	102	246	1150	1031	226	327	31	583	1285	251									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1456	25	42	59	10	22	19	30	51	56	90	44	38	89	57	22	5	55	46	22	46	88	8	61	13	62	13	11	7	8	40	104	18	32	0	128	21	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17524	823	669	803	901	884	800	627	627	695	267	582	407	302	406	303	252	312	409	146	813	526	148	602	131	519	111	124	136	266	490	565	111	369	99	1359	594	346									
9	Число недействительных избирательных бюллетеней	508	28	24	26	34	22	29	11	27	10	17	0	20	18	1	0	35	18	21	0	27	18	1	11	1	0	1	0	1	0	10	34	2	3	6	7	36	9									
10	Число действительных избирательных бюллетеней	18472	820	687	836	877	884	790	646	651	741	340	626	425	373	462	325	222	349	434	168	832	596	155	652	143	581	123	135	142	274	520	635	127	398	93	1480	579	351									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	311	15	15	15	15	15	15	15	15	15	5	10	10	5	5	5	5	5	5	5	5	5	5	5	5	14	5	5	5	5	15	12	5	5	5	5	5	5									
