Выборы Президента Российской Федерации																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Невская №24																																																																																					
																																																																																					
Итоги голосования 																																																																																					
																																																																																					
		Сумма	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806					
1	"Число избирателей, внесенных в список"	168120	2129	2696	2311	2282	2211	2310	2791	2612	2152	2636	2317	2223	2164	2086	2048	1755	1873	1868	1804	1776	1746	2013	2317	2399	2229	2717	2443	1902	1804	2222	2109	2477	2114	2086	2155	2626	2610	2587	2467	2443	2181	2354	2337	2182	2681	2846	2628	2675	2779	2107	2126	2111	2401	2487	2020	1694	2501	2556	2630	1816	2489	2289	2496	2791	2561	2236	2203	2029	1821	1623	626	105	34	41	2210	2099	1639	2206					
2	Число полученных избирательных бюллетеней	156885	2000	2500	2200	2300	2200	2200	2700	2500	2000	2500	2200	2100	1700	2000	2500	2100	1800	1800	1700	1600	1500	1800	2200	2300	2100	2500	2300	1800	1700	2000	1800	2200	2000	1900	2000	2500	2500	2400	2300	2300	2000	2200	2100	2000	2500	2700	2500	2500	2600	1800	1900	1900	2200	2300	1800	1500	2300	2400	2400	1600	2300	2100	2300	2600	2300	2000	2000	1800	1600	1500	1000	105	35	45	2000	1800	1500	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	85887	1002	1258	1236	1191	1065	1149	1406	1255	1180	1241	1050	1141	945	999	1031	883	968	991	954	1040	988	1028	1192	1214	1060	1311	1273	976	981	1098	1115	1254	988	959	1112	1120	1282	1108	1296	1173	1132	1232	1290	1238	1542	1359	1198	1548	1598	1238	1077	1018	1323	1320	1123	844	1241	1162	1254	903	1301	1206	1297	1426	1201	1010	1112	1061	1081	877	518	105	1	0	1184	1157	930	1267					
5	"Число избирательных бюллетеней, выданных вне помещения"	2334	16	19	38	29	59	51	30	20	46	39	34	22	37	27	45	30	43	22	20	19	17	29	42	43	38	72	41	30	15	38	36	42	41	33	25	19	47	27	15	25	21	20	16	15	10	16	54	11	13	13	22	30	24	21	19	43	55	59	50	22	33	37	25	19	28	30	21	20	10	10	108	0	25	35	19	12	19	28					
6	Число погашенных избирательных бюллетеней	68664	982	1223	926	1080	1076	1000	1264	1225	774	1220	1116	937	718	974	1424	1187	789	787	726	541	495	743	966	1043	1002	1117	986	794	704	864	649	904	971	908	863	1361	1171	1265	989	1102	847	948	794	747	948	1325	1248	941	989	549	801	852	853	959	658	613	1004	1179	1096	675	966	857	978	1155	1071	960	867	719	509	613	374	0	9	10	797	631	551	705					
7	Число избирательных бюллетеней в переносных ящиках	2334	16	19	38	29	59	51	30	20	46	39	34	22	37	27	45	30	43	22	20	19	17	29	42	43	38	72	41	30	15	38	36	42	41	33	25	19	47	27	15	25	21	20	16	15	10	16	54	11	13	13	22	30	24	21	19	43	55	59	50	22	33	37	25	19	28	30	21	20	10	10	108	0	25	35	19	12	19	28					
8	Число бюллетеней в стационарных ящиках для голосования	85793	1002	1258	1234	1190	1062	1149	1403	1254	1177	1241	1046	1141	945	994	1030	883	968	989	952	1039	988	1026	1191	1214	1060	1310	1273	976	966	1098	1115	1254	986	959	1111	1120	1281	1108	1296	1173	1132	1230	1290	1238	1539	1359	1198	1548	1598	1238	1073	1005	1323	1319	1123	844	1241	1159	1254	901	1301	1206	1297	1424	1199	1010	1112	1061	1080	875	518	105	1	0	1180	1157	930	1263					
9	Число недействительных избирательных бюллетеней	377	5	3	8	3	1	3	7	8	2	13	6	5	4	3	5	9	9	6	6	4	4	2	1	11	9	3	5	4	6	2	5	3	3	1	5	4	8	3	8	2	3	2	4	7	2	3	1	6	10	3	6	8	11	11	3	1	9	4	5	2	8	7	2	6	7	4	3	6	10	5	4	0	0	0	4	6	1	4					
10	Число действительных избирательных бюллетеней	87750	1013	1274	1264	1216	1120	1197	1426	1266	1221	1267	1074	1158	978	1018	1070	904	1002	1005	966	1054	1001	1053	1232	1246	1089	1379	1309	1002	975	1134	1146	1293	1024	991	1131	1135	1320	1132	1303	1196	1150	1248	1302	1246	1547	1372	1251	1553	1601	1248	1089	1027	1336	1329	1139	886	1287	1214	1299	921	1326	1236	1320	1437	1220	1036	1130	1075	1080	880	622	105	26	35	1195	1163	948	1287					
