Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																						
Дата голосования: 02.12.2007																						
																						
Наименование Избирательной комиссии:    ТИК г.Кудымкара																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №5201	УИК №5202	УИК №5203	УИК №5204	УИК №5205	УИК №5206	УИК №5207	УИК №5208	УИК №5209	УИК №5210	УИК №5211	УИК №5212	УИК №5213	УИК №5214	УИК №5215					
1	"Число избирателей, внесенных в списки избирателей"	22105	762	1768	1614	1821	1448	1701	2275	1788	1455	266	1692	1899	1800	1567	249					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21376	750	1450	1550	1800	1400	1670	2260	1770	1440	266	1650	1850	1750	1520	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10605	380	679	736	1050	784	874	1205	717	648	151	742	853	829	708	249					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	599	12	244	30	18	23	46	28	35	11	25	34	43	24	26	0					
6	Число погашенных избирательных бюллетеней	10172	358	527	784	732	593	750	1027	1018	781	90	874	954	897	786	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	599	12	244	30	18	23	46	28	35	11	25	34	43	24	26	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10604	380	679	736	1050	784	874	1205	717	648	151	742	853	828	708	249					
9	Число недействительных избирательных бюллетеней	175	2	13	16	17	6	14	15	7	4	12	18	8	21	19	3					
10	Число действительных избирательных бюллетеней	11028	390	910	750	1051	801	906	1218	745	655	164	758	888	831	715	246					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	501	20	50	50	55	50	50	50	45	50	0	21	20	20	20	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	327	13	21	33	50	36	29	35	35	24	0	10	18	12	11	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	210	2	10	3	9	4	14	11	6	1	13	4	7	4	4	118					
14	Число погашенных неиспользованных открепительных удостоверений	174	7	29	17	5	14	21	15	10	26	0	11	2	8	9	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	1.Политическая партия «Аграрная партия России»	384	13	20	26	47	37	32	56	20	22	1	22	33	31	19	5					
		3.43%	3.32%	2.17%	3.39%	4.40%	4.58%	3.48%	4.54%	2.66%	3.34%	0.57%	2.84%	3.68%	3.64%	2.59%	2.01%					
19	2.Всероссийская политическая партия «Гражданская Сила»	73	6	4	4	6	2	6	13	5	3	5	4	6	3	3	3					
		0.65%	1.53%	0.43%	0.52%	0.56%	0.25%	0.65%	1.05%	0.66%	0.46%	2.84%	0.52%	0.67%	0.35%	0.41%	1.20%					
20	3.Политическая партия «Демократическая партия России»	22	0	1	3	3	1	2	2	1	1	1	3	2	0	1	1					
		0.20%	0.00%	0.11%	0.39%	0.28%	0.12%	0.22%	0.16%	0.13%	0.15%	0.57%	0.39%	0.22%	0.00%	0.14%	0.40%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	975	17	80	44	117	115	91	158	57	46	8	58	85	49	47	3					
		8.70%	4.34%	8.67%	5.74%	10.96%	14.25%	9.89%	12.81%	7.58%	6.98%	4.55%	7.47%	9.49%	5.75%	6.40%	1.20%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	416	15	24	23	48	29	43	65	33	19	2	33	40	27	14	1					
		3.71%	3.83%	2.60%	3.00%	4.49%	3.59%	4.67%	5.27%	4.39%	2.88%	1.14%	4.25%	4.46%	3.17%	1.91%	0.40%					
23	6.Политическая партия «Партия социальной справедливости»	12	0	1	1	2	0	0	1	1	2	0	0	1	1	1	1					
		0.11%	0.00%	0.11%	0.13%	0.19%	0.00%	0.00%	0.08%	0.13%	0.30%	0.00%	0.00%	0.11%	0.12%	0.14%	0.40%					
24	7.Политическая партия «Либерально-демократическая партия России»	1354	59	115	95	97	89	111	142	91	95	5	93	107	111	86	58					
		12.09%	15.05%	12.46%	12.40%	9.08%	11.03%	12.07%	11.52%	12.10%	14.42%	2.84%	11.98%	11.94%	13.03%	11.72%	23.29%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	732	24	50	35	109	64	78	103	33	35	9	63	59	31	34	5					
		6.53%	6.12%	5.42%	4.57%	10.21%	7.93%	8.48%	8.35%	4.39%	5.31%	5.11%	8.12%	6.58%	3.64%	4.63%	2.01%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	109	2	10	10	7	9	10	15	4	4	2	11	10	7	5	3					
