Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Томаринская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №187	УИК №188					
1	"Число избирателей, внесенных в список избирателей"	8500	1527	508	858	203	476	142	443	319	687	1498	1839					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8790	1550	525	900	214	518	148	475	328	675	1533	1924					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	64	0	28	0	0	0	0	0	0	0	36	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4218	642	219	413	125	348	100	265	210	271	630	995					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	538	122	45	66	0	17	5	26	9	41	144	63					
6	Число погашенных избирательных бюллетеней	3970	786	233	421	89	153	43	184	109	363	723	866					
7	Число избирательных бюллетеней в переносных ящиках для голосования	602	122	73	66	0	17	5	26	9	41	180	63					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4218	642	219	413	125	348	100	265	210	271	630	995					
9	Число недействительных избирательных бюллетеней	56	6	1	3	0	5	0	8	0	3	16	14					
10	Число действительных избирательных бюллетеней	4764	758	291	476	125	360	105	283	219	309	794	1044					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	128	10	10	10	6	16	6	10	10	10	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	78	10	1	8	2	16	3	4	0	4	14	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	44	4	0	1	2	5	1	1	1	5	12	12					
14	Число погашенных неиспользованных открепительных удостоверений	50	0	9	2	4	0	3	6	10	6	6	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	2	0	0	0	0	3	0	0	5	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	526	71	31	48	8	36	8	37	14	43	95	135					
		10.91%	9.29%	10.62%	10.02%	6.40%	9.86%	7.62%	12.71%	6.39%	13.78%	11.73%	12.76%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	672	96	50	58	20	41	11	55	20	56	114	151					
		13.94%	12.57%	17.12%	12.11%	16.00%	11.23%	10.48%	18.90%	9.13%	17.95%	14.07%	14.27%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	32	2	2	3	2	3	1	5	1	0	4	9					
		0.66%	0.26%	0.68%	0.63%	1.60%	0.82%	0.95%	1.72%	0.46%	0.00%	0.49%	0.85%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	716	125	57	58	14	39	12	26	17	64	121	183					
		14.85%	16.36%	19.52%	12.11%	11.20%	10.68%	11.43%	8.93%	7.76%	20.51%	14.94%	17.30%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	79	8	1	3	0	3	0	2	2	11	12	37					
		1.64%	1.05%	0.34%	0.63%	0.00%	0.82%	0.00%	0.69%	0.91%	3.53%	1.48%	3.50%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2717	452	147	304	81	238	70	158	165	135	438	529					
		56.37%	59.16%	50.34%	63.47%	64.80%	65.21%	66.67%	54.30%	75.34%	43.27%	54.07%	50.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	22	4	3	2	0	0	3	0	0	0	10	0					
		0.46%	0.52%	1.03%	0.42%	0.00%	0.00%	2.86%	0.00%	0.00%	0.00%	1.23%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
