Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Мечетлинская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №3474	УИК №3475	УИК №3476	УИК №3477									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17303	185	1194	1223	1201	467	444	702	338	203	346	133	179	174	316	205	206	553	116	443	119	143	143	167	352	213	328	575	298	312	164	959	155	162	329	379	128	724	196	129	496	644	650	555	355									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18041	194	1246	1249	1254	471	445	727	361	210	365	140	197	209	353	217	214	563	124	458	126	146	149	171	376	230	345	625	306	319	167	1016	160	167	333	394	132	785	217	141	514	651	653	559	362									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13159	185	627	832	481	404	381	546	307	180	311	123	154	152	268	178	188	527	106	396	110	134	128	142	294	187	279	440	274	256	146	416	134	152	289	352	114	564	165	107	406	492	533	404	295									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1043	0	182	19	241	8	8	26	17	14	17	6	7	8	23	5	5	4	4	10	4	3	7	6	23	15	10	32	14	9	5	121	10	7	10	13	8	56	11	8	24	15	16	1	11									
6	Число погашенных избирательных бюллетеней	3839	9	437	398	532	59	56	155	37	16	37	11	36	49	62	34	21	32	14	52	12	9	14	23	59	28	56	153	18	54	16	479	16	8	34	29	10	165	41	26	84	144	104	154	56									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1041	0	182	19	239	8	8	26	17	14	17	6	7	8	23	5	5	4	4	10	4	3	7	6	23	15	10	32	14	9	5	121	10	7	10	13	8	56	11	8	24	15	16	1	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13155	185	627	832	481	404	381	546	307	180	311	123	154	152	268	178	188	527	106	396	106	134	128	142	294	187	279	440	274	256	146	416	134	152	289	352	114	564	165	107	406	492	533	404	295									
9	Число недействительных избирательных бюллетеней	98	0	13	11	17	0	0	1	0	0	9	0	5	0	6	3	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	8	0	0	0	0	3	2	0	0	1	0	2	0	11									
10	Число действительных избирательных бюллетеней	14098	185	796	840	703	412	389	571	324	194	319	129	156	160	285	180	193	531	110	406	110	137	135	148	317	200	288	472	287	263	151	529	144	159	299	365	119	618	176	115	429	507	547	405	295									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	790	5	50	40	50	10	10	20	20	15	20	10	15	15	40	25	25	25	5	30	5	5	5	5	20	20	30	30	5	5	5	50	5	5	10	10	5	40	20	10	10	20	20	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	418	5	4	16	9	1	0	20	20	5	20	5	15	15	33	11	6	5	5	9	5	1	5	0	20	9	3	16	5	3	0	50	2	0	1	4	2	40	20	10	10	1	1	0	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	41	0	2	4	1	1	2	1	0	0	4	0	0	1	1	2	1	0	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	6	0	3	0	1	0	0	3	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	372	0	46	24	41	9	10	0	0	10	0	5	0	0	7	14	19	20	0	21	0	4	0	5	0	11	27	14	0	2	5	0	3	5	9	6	3	0	0	0	0	19	19	10	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	97	1	2	2	2	1	0	0	0	0	0	0	0	19	0	0	1	0	0	1	0	0	0	0	0	5	8	28	0	0	0	1	0	2	0	12	0	9	0	0	1	1	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
