Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																
Дата голосования: 02.12.2007																																
																																
Наименование Избирательной комиссии:    район Новогиреево 																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №3189					
1	"Число избирателей, внесенных в списки избирателей"	59860	2896	2371	2711	2649	2605	2253	2133	2644	2554	2731	2761	2817	2112	2206	2501	2239	2417	2448	2458	2131	2546	2520	2315	2159	683					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	47650	2250	1900	2150	2050	2050	1700	1700	2100	2100	2150	2150	2200	1650	1750	1950	1850	1900	1950	1900	1700	2000	2000	1800	1700	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	30277	1495	1159	1319	1235	1318	1174	1031	1442	1171	1425	1338	1368	1169	1074	1310	1123	1125	1092	1381	1023	1290	1282	1180	1093	660					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	856	35	36	30	38	31	26	29	28	36	42	29	32	27	41	19	26	33	70	41	38	47	35	38	49	0					
6	Число погашенных избирательных бюллетеней	16517	720	705	801	777	701	500	640	630	893	683	783	800	454	635	621	701	742	788	478	639	663	683	582	558	340					
7	Число избирательных бюллетеней в переносных ящиках для голосования	856	35	36	30	38	31	26	29	28	36	42	29	32	27	41	19	26	33	70	41	38	47	35	38	49	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30185	1495	1159	1310	1226	1317	1172	1030	1431	1166	1425	1333	1336	1168	1074	1310	1123	1120	1087	1378	1023	1289	1282	1180	1093	658					
9	Число недействительных избирательных бюллетеней	519	29	31	13	14	22	31	14	19	19	31	23	19	35	22	21	15	20	14	17	10	19	31	25	8	17					
10	Число действительных избирательных бюллетеней	30522	1501	1164	1327	1250	1326	1167	1045	1440	1183	1436	1339	1349	1160	1093	1308	1134	1133	1143	1402	1051	1317	1286	1193	1134	641					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1551	55	55	75	65	55	55	55	75	70	55	70	65	55	55	70	175	55	55	55	55	55	61	55	55	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1249	54	50	66	55	52	40	36	62	66	47	60	51	51	41	63	135	37	32	34	38	45	54	36	44	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	935	71	18	15	47	24	128	27	21	11	31	68	48	39	20	36	37	41	15	91	18	14	52	30	16	17					
14	Число погашенных неиспользованных открепительных удостоверений	302	1	5	9	10	3	15	19	13	4	8	10	14	4	14	7	40	18	23	21	17	10	7	19	11	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	3	1	0	4	0	0	2	1	2	3	2	4	0	1	1	1	0	1	2	0	2	2	1	5	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
