Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Смоленская 175																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22692	279	1879	531	529	873	2003	1977	495	1016	1707	1918	179	733	524	1533	1176	175	868	466	316	429	450	518	1087	275	196	319	241									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22144	290	1850	550	520	870	1900	1900	490	960	1650	1900	170	660	520	1500	1100	170	870	460	300	440	440	510	1104	260	200	320	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8139	144	654	183	218	337	797	677	151	295	407	730	43	252	192	567	567	56	411	114	104	126	148	145	418	134	48	124	97									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1341	34	117	124	43	61	6	40	13	61	19	44	47	72	2	32	36	20	4	45	34	102	89	100	84	24	26	36	26									
6	Число погашенных избирательных бюллетеней	12664	112	1079	243	259	472	1097	1183	326	604	1224	1126	80	336	326	901	497	94	455	301	162	212	203	265	602	102	126	160	117									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1341	34	117	124	43	61	6	40	13	61	19	44	47	72	2	32	36	20	4	45	34	102	89	100	84	24	26	36	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8136	144	654	183	218	337	797	677	151	294	407	730	43	252	191	567	567	56	411	114	104	126	148	145	417	134	48	124	97									
9	Число недействительных избирательных бюллетеней	167	2	27	17	2	10	7	8	1	2	11	10	2	7	6	12	13	0	16	0	3	0	0	0	7	2	0	2	0									
10	Число действительных избирательных бюллетеней	9310	176	744	290	259	388	796	709	163	353	415	764	88	317	187	587	590	76	399	159	135	228	237	245	494	156	74	158	123									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	249	21	10	6	3	8	30	12	2	5	15	24	2	9	4	16	7	2	15	7	2	4	2	6	15	6	2	10	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	173	21	8	6	2	3	18	9	1	2	12	20	2	3	2	13	7	2	11	0	2	1	2	4	11	5	1	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	154	5	6	10	2	8	30	8	2	5	3	5	10	6	5	3	5	1	2	2	4	1	7	5	7	7	0	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	76	0	2	0	1	5	12	3	1	3	3	4	0	6	2	3	0	0	4	7	0	3	0	2	4	1	1	5	4									
