Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Могочинская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19079	1401	1696	932	660	1931	1897	1383	988	381	376	1098	754	388	264	303	899	1460	1294	974									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19225	1410	1700	950	660	1940	1900	1370	1000	380	380	1120	760	400	270	315	910	1480	1300	980									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	251	0	5	0	0	0	0	0	111	63	0	0	0	0	0	10	6	4	52	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5207	345	490	230	241	775	572	441	154	71	124	212	245	122	71	60	199	326	248	281									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	192	4	5	4	2	4	2	17	13	1	7	51	12	18	3	1	3	13	19	13									
6	Число погашенных избирательных бюллетеней	13575	1061	1200	716	417	1161	1326	912	722	245	249	857	503	260	196	244	702	1137	981	686									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	443	4	10	4	2	4	2	17	124	64	7	51	12	18	3	11	9	17	71	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5185	345	490	230	241	772	572	424	154	71	124	212	245	122	71	60	199	326	248	279									
9	Число недействительных избирательных бюллетеней	213	11	37	7	13	27	21	29	8	2	4	8	6	9	6	1	2	4	7	11									
10	Число действительных избирательных бюллетеней	5415	338	463	227	230	749	553	412	270	133	127	255	251	131	68	70	206	339	312	281									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	360	20	20	20	20	30	30	20	20	10	10	20	10	10	10	10	30	30	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	34	2	2	1	0	7	4	5	0	0	2	7	0	1	0	1	0	0	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	45	0	2	0	1	12	11	2	0	0	2	5	2	1	0	0	2	0	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	326	18	18	19	20	23	26	15	20	10	8	13	10	9	10	9	30	30	18	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	3	2	1	0	7	5	4	0	0	3	1	2	0	0	1	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
