Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Знаменская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №90	УИК №91	УИК №92	УИК №93									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14490	489	432	735	199	1903	656	299	375	174	812	557	365	958	366	922	1692	1894	1662									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14225	475	425	725	200	1850	650	300	375	175	825	525	350	900	350	900	1675	1875	1650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8531	279	172	374	123	1399	407	142	251	105	302	408	141	295	275	721	1413	749	975									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1033	65	69	61	23	66	76	35	32	37	53	71	37	176	51	79	32	40	30									
6	Число погашенных избирательных бюллетеней	4661	131	184	290	54	385	167	123	92	33	470	46	172	429	24	100	230	1086	645									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1033	65	69	61	23	66	76	35	32	37	53	71	37	176	51	79	32	40	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8530	279	172	373	123	1399	407	142	251	105	302	408	141	295	275	721	1413	749	975									
9	Число недействительных избирательных бюллетеней	101	11	2	14	1	6	3	2	2	0	5	0	7	2	1	0	0	28	17									
10	Число действительных избирательных бюллетеней	9462	333	239	420	145	1459	480	175	281	142	350	479	171	469	325	800	1445	761	988									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	163	5	5	10	2	22	5	4	5	3	8	5	4	8	4	7	22	22	22									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	81	2	0	8	2	21	1	1	1	1	3	1	0	8	1	3	8	16	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	71	7	1	3	1	12	1	0	1	3	0	1	1	3	0	2	18	14	3									
14	Число погашенных неиспользованных открепительных удостоверений	82	3	5	2	0	1	4	3	4	2	5	4	4	0	3	4	14	6	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	0	1	2	0	17	0	0	1	2	1	0	0	0	1	0	3	7	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
