Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Кумторкалинская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №1913									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15827	2680	1806	1192	1840	2672	1061	1367	1055	653	1501									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15400	2600	1770	1170	1777	2600	1030	1330	1030	649	1444									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14669	2301	1730	1072	1659	2595	1001	1280	1012	600	1419									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	731	299	40	98	118	5	29	50	18	49	25									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14669	2301	1730	1072	1659	2595	1001	1280	1012	600	1419									
9	Число недействительных избирательных бюллетеней	13	2	0	0	0	7	0	0	2	2	0									
10	Число действительных избирательных бюллетеней	14656	2299	1730	1072	1659	2588	1001	1280	1010	598	1419									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	80	10	10	10	10	10	5	5	5	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	9	0	0	6	0	0	0	0	0	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	71	10	10	4	10	10	5	5	5	5	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	30	20	10	0	0	0	0	0	0	0	0									
		0.20%	0.87%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	24	0	0	0	3	0	1	3	7	2	8									
		0.16%	0.00%	0.00%	0.00%	0.18%	0.00%	0.10%	0.23%	0.69%	0.33%	0.56%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12072	1861	1458	869	1392	2049	813	1083	849	504	1194									
		82.30%	80.88%	84.28%	81.06%	83.91%	78.96%	81.22%	84.61%	83.89%	84.00%	84.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	2	0	0	0	2	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	8	5	0	0	0	0	0	0	0	1	2									
		0.05%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.14%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1799	262	172	128	165	505	158	105	109	59	136									
		12.26%	11.39%	9.94%	11.94%	9.95%	19.46%	15.78%	8.20%	10.77%	9.83%	9.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	89	20	3	16	17	0	1	7	11	7	7									
		0.61%	0.87%	0.17%	1.49%	1.02%	0.00%	0.10%	0.55%	1.09%	1.17%	0.49%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	632	131	87	59	80	34	28	82	34	25	72									
		4.31%	5.69%	5.03%	5.50%	4.82%	1.31%	2.80%	6.41%	3.36%	4.17%	5.07%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
