Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Невельская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639					
1	"Число избирателей, внесенных в список избирателей"	22635	1311	1416	1384	1572	1343	1451	1452	1749	1352	1349	661	358	625	252	399	257	313	420	336	322	575	501	376	193	292	205	192	748	1017	214					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20854	1287	1292	1271	1440	1221	1319	1345	1542	1262	1243	616	339	574	236	374	243	293	381	318	304	542	467	342	179	257	198	181	688	906	194					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7863	569	412	452	489	513	529	572	502	489	601	203	81	247	68	160	82	141	144	75	99	320	117	96	76	74	69	73	215	358	37					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3070	67	77	26	72	31	35	24	138	28	32	266	208	113	93	106	85	70	127	122	141	80	178	87	45	112	46	51	287	214	109					
6	Число погашенных избирательных бюллетеней	9921	651	803	793	879	677	755	749	902	745	610	147	50	214	75	108	76	82	110	121	64	142	172	159	58	71	83	57	186	334	48					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3070	67	77	26	72	31	35	24	138	28	32	266	208	113	93	106	85	70	127	122	141	80	178	87	45	112	46	51	287	214	109					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7863	569	412	452	489	513	529	572	502	489	601	203	81	247	68	160	82	141	144	75	99	320	117	96	76	74	69	73	215	358	37					
9	Число недействительных избирательных бюллетеней	148	6	6	6	13	4	11	11	16	11	7	6	0	4	1	3	1	2	5	0	1	10	1	1	2	0	1	0	5	12	2					
10	Число действительных избирательных бюллетеней	10785	630	483	472	548	540	553	585	624	506	626	463	289	356	160	263	166	209	266	197	239	390	294	182	119	186	114	124	497	560	144					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	423	13	12	14	17	8	12	16	11	14	11	14	15	25	15	15	10	20	10	20	15	20	15	10	10	11	10	10	20	25	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	417	13	12	13	16	8	10	16	10	14	10	14	15	25	15	15	10	20	10	20	15	20	15	10	10	11	10	10	20	25	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	203	7	6	2	18	10	9	6	6	16	7	7	2	23	7	3	8	5	3	5	7	3	10	1	1	7	1	3	1	13	6					
14	Число погашенных неиспользованных открепительных удостоверений	6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	2	2	0	2	1	0	1	0	2	2	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1961	148	90	103	110	123	82	105	131	119	150	60	52	66	22	52	38	30	49	33	33	55	44	44	22	35	16	16	45	77	11					
		17.94%	23.27%	18.40%	21.55%	19.61%	22.61%	14.54%	17.62%	20.47%	23.02%	23.70%	12.79%	17.99%	18.33%	13.66%	19.55%	22.75%	14.22%	18.08%	16.75%	13.75%	13.75%	14.92%	24.04%	18.18%	18.82%	13.91%	12.90%	8.96%	13.46%	7.53%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1445	86	75	64	102	57	90	66	94	64	72	54	30	52	29	24	22	21	29	25	33	36	37	40	16	22	18	32	48	87	20					
		13.22%	13.52%	15.34%	13.39%	18.18%	10.48%	15.96%	11.07%	14.69%	12.38%	11.37%	11.51%	10.38%	14.44%	18.01%	9.02%	13.17%	9.95%	10.70%	12.69%	13.75%	9.00%	12.54%	21.86%	13.22%	11.83%	15.65%	25.81%	9.56%	15.21%	13.70%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	76	6	0	6	4	3	6	6	4	2	6	3	4	0	1	1	0	2	4	3	2	0	2	0	2	1	0	1	6	1	0					
