Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Югорская городская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509					
1	"Число избирателей, внесенных в списки"	23347	2339	2076	2903	2168	1960	2175	1987	2207	2150	2420	962					
2	"Число бюллетеней, полученных участковыми комиссиями"	21910	2203	1930	2803	2014	1810	2100	1779	2063	1980	2308	920					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12144	1182	1022	1724	1124	1112	1205	948	1096	1016	1064	651					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	278	14	23	25	37	19	30	23	19	33	48	7					
6	Число погашенных бюллетеней	9488	1007	885	1054	853	679	865	808	948	931	1196	262					
7	Число бюллетеней в переносных ящиках для голосования	278	14	23	25	37	19	30	23	19	33	48	7					
8	Число бюллетеней в стационарных ящиках для голосования	12140	1178	1022	1724	1124	1112	1205	948	1096	1016	1064	651					
9	Число недействительных бюллетеней	93	9	10	7	11	4	10	9	10	12	9	2					
10	Число действительных бюллетеней	12325	1183	1035	1742	1150	1127	1225	962	1105	1037	1103	656					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	445	41	41	41	38	41	41	41	41	41	41	38					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	78	7	5	8	8	6	7	5	11	5	4	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	1	2	6	6	23	9	4	7	0	0	1					
14	Число погашенных открепительных удостоверений	367	34	36	33	30	35	34	36	30	36	37	26					
15	Число открепительных удостоверений выданных ТИК	4	1	0	0	0	0	0	0	0	0	0	3					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	181	19	23	25	20	16	11	19	14	10	10	14					
		1.45%	1.59%	2.20%	1.42%	1.72%	1.41%	0.89%	1.95%	1.25%	0.95%	0.89%	2.12%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	533	35	47	104	51	50	49	46	38	37	39	37					
		4.29%	2.93%	4.49%	5.94%	4.39%	4.42%	3.96%	4.73%	3.40%	3.52%	3.50%	5.62%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	312	25	26	36	32	33	36	23	28	31	36	6					
		2.51%	2.09%	2.48%	2.05%	2.75%	2.91%	2.91%	2.36%	2.51%	2.95%	3.23%	0.91%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	672	38	50	121	61	75	73	49	58	56	60	31					
		5.41%	3.18%	4.78%	6.91%	5.25%	6.63%	5.91%	5.04%	5.20%	5.33%	5.39%	4.71%					
22	"5. ""За Русь Святую"""	49	0	2	9	3	5	6	5	3	7	7	2					
		0.39%	0.0%	0.19%	0.51%	0.25%	0.44%	0.48%	0.51%	0.26%	0.66%	0.62%	0.30%					
23	"6. ""Объединенная Российская партия ""Русь"""	35	4	4	6	4	2	3	1	2	3	3	3					
		0.28%	0.33%	0.38%	0.34%	0.34%	0.17%	0.24%	0.10%	0.17%	0.28%	0.26%	0.45%					
24	"7. ""Новый курс - Автомобильная Россия"""	106	11	7	18	9	10	11	11	8	8	10	3					
		0.85%	0.92%	0.66%	1.02%	0.77%	0.88%	0.89%	1.13%	0.71%	0.76%	0.89%	0.45%					
25	"8. ""Народно-республиканская партия России"""	7	0	0	1	1	0	2	0	0	0	2	1					
		0.05%	0.0%	0.0%	0.05%	0.08%	0.0%	0.16%	0.0%	0.0%	0.0%	0.17%	0.15%					
26	"9. ""Российская экологическая партия ""Зеленые"""	54	2	6	11	5	6	6	3	8	3	2	2					
		0.43%	0.16%	0.57%	0.62%	0.43%	0.53%	0.48%	0.30%	0.71%	0.28%	0.17%	0.30%					
27	"10. ""Аграрная партия России"""	240	18	19	31	30	20	30	16	14	30	25	7					
		1.93%	1.51%	1.81%	1.77%	2.58%	1.76%	2.42%	1.64%	1.25%	2.85%	2.24%	1.06%					
28	"11. ""Истинные патриоты России"""	15	1	0	2	0	0	4	3	0	2	3	0					
		0.12%	0.08%	0.0%	0.11%	0.0%	0.0%	0.32%	0.30%	0.0%	0.19%	0.26%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	84	9	7	12	15	4	5	9	5	12	5	1					
		0.67%	0.75%	0.66%	0.68%	1.29%	0.35%	0.40%	0.92%	0.44%	1.14%	0.44%	0.15%					
30	"13. ""Демократическая партия России"""	29	4	4	2	0	4	2	2	3	1	3	4					
		0.23%	0.33%	0.38%	0.11%	0.0%	0.35%	0.16%	0.20%	0.26%	0.09%	0.26%	0.60%					
31	"14. ""Великая Россия - Евразийский Союз"""	13	0	1	0	1	1	1	2	2	1	2	2					
		0.10%	0.0%	0.09%	0.0%	0.08%	0.08%	0.08%	0.20%	0.17%	0.09%	0.17%	0.30%					
32	"15. ""Партия СЛОН"""	39	4	3	2	3	2	6	6	3	1	4	5					
