Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Устюженская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №817	УИК №818	УИК №819	УИК №820	УИК №823	УИК №824	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852					
1	"Число избирателей, внесенных в список"	15722	1107	1024	644	1784	1493	1249	936	87	320	555	83	147	123	411	252	156	147	948	133	397	322	71	222	246	398	216	252	600	321	479	202	397					
2	Число полученных избирательных бюллетеней	15474	1094	1004	641	1761	1366	1258	935	89	330	566	78	143	120	397	245	147	137	931	129	390	310	74	222	249	401	213	251	605	311	474	202	401					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8108	594	487	262	917	769	718	424	18	157	292	39	77	51	217	107	118	106	596	76	192	148	30	138	118	239	135	116	290	202	199	105	171					
5	"Число избирательных бюллетеней, выданных вне помещения"	2210	35	52	92	19	161	25	96	40	100	106	27	33	34	81	82	18	22	72	25	101	108	33	31	41	87	25	83	156	62	171	58	134					
6	Число погашенных избирательных бюллетеней	5156	465	465	287	825	436	515	415	31	73	168	12	33	35	99	56	11	9	263	28	97	54	11	53	90	75	53	52	159	47	104	39	96					
7	Число избирательных бюллетеней в переносных ящиках	2210	35	52	92	19	161	25	96	40	100	106	27	33	34	81	82	18	22	72	25	101	108	33	31	41	87	25	83	156	62	171	58	134					
8	Число бюллетеней в стационарных ящиках для голосования	8107	594	487	262	917	769	717	424	18	157	292	39	77	51	217	107	118	106	596	76	192	148	30	138	118	239	135	116	290	202	199	105	171					
9	Число недействительных избирательных бюллетеней	88	1	3	0	10	7	5	4	2	1	7	0	2	0	4	1	0	2	8	2	2	1	0	1	1	3	2	4	5	4	3	0	3					
10	Число действительных избирательных бюллетеней	10229	628	536	354	926	923	737	516	56	256	391	66	108	85	294	188	136	126	660	99	291	255	63	168	158	323	158	195	441	260	367	163	302					
11	Число полученных открепительных  удостоверений	330	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	10	10	10	10	10	10	15					
12	Число выданных открепительных удостоверений	119	1	2	2	10	8	7	2	1	7	7	0	1	2	0	5	0	1	3	0	7	7	1	3	2	15	0	2	2	4	5	1	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	95	5	5	1	8	11	6	1	1	1	4	1	1	3	6	3	0	4	8	2	0	1	0	0	0	8	3	5	1	0	1	2	3					
14	Число неиспользованных открепительных удостоверений	211	9	8	8	0	2	3	8	9	3	3	10	9	8	10	5	10	9	7	10	3	3	9	7	8	0	10	8	8	6	5	9	4					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																							
18	. Глазьев Сергей Юрьевич	233	22	20	8	38	25	24	8	0	3	2	2	1	4	5	5	1	2	20	3	5	3	0	4	2	7	1	5	1	3	4	1	4					
		2.26%	3.50%	3.71%	2.26%	4.06%	2.69%	3.23%	1.54%	0.00%	1.17%	0.50%	3.03%	0.91%	4.71%	1.68%	2.65%	0.74%	1.56%	2.99%	2.97%	1.71%	1.17%	0.00%	2.37%	1.26%	2.15%	0.62%	2.51%	0.22%	1.14%	1.08%	0.61%	1.31%					
19	. Малышкин Олег Александрович	182	8	8	4	14	24	13	11	0	7	5	1	5	0	11	2	3	4	14	3	5	6	1	2	2	1	5	1	8	3	4	5	2					
		1.76%	1.27%	1.48%	1.13%	1.50%	2.58%	1.75%	2.12%	0.00%	2.72%	1.26%	1.52%	4.55%	0.00%	3.69%	1.06%	2.21%	3.12%	2.10%	2.97%	1.71%	2.34%	1.59%	1.18%	1.26%	0.31%	3.12%	0.50%	1.79%	1.14%	1.08%	3.07%	0.66%					
20	. Миронов Сергей Михайлович	61	1	2	1	7	10	5	4	4	1	1	0	0	0	2	1	0	0	4	3	0	2	0	0	1	2	0	0	4	1	2	1	2					
		0.59%	0.16%	0.37%	0.28%	0.75%	1.08%	0.67%	0.77%	6.90%	0.39%	0.25%	0.00%	0.00%	0.00%	0.67%	0.53%	0.00%	0.00%	0.60%	2.97%	0.00%	0.78%	0.00%	0.00%	0.63%	0.61%	0.00%	0.00%	0.90%	0.38%	0.54%	0.61%	0.66%					
21	. Путин Владимир Владимирович	8150	480	415	285	691	687	514	410	45	207	342	55	91	65	238	162	125	107	522	72	230	207	56	137	127	284	143	163	387	223	308	121	251					
		79.00%	76.31%	76.99%	80.51%	73.82%	73.87%	69.27%	78.85%	77.59%	80.54%	85.93%	83.33%	82.73%	76.47%	79.87%	85.71%	91.91%	83.59%	78.14%	71.29%	78.50%	80.86%	88.89%	81.07%	79.87%	87.12%	89.38%	81.91%	86.77%	84.47%	83.24%	74.23%	82.30%					
