Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
"Наименование Избирательной комиссии:    г.Ростов-на-Дону, Железнодорожная"																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  1581	УИК  1582	УИК  1583	УИК  1584	УИК  1585	УИК  1586	УИК  1587	УИК  1588	УИК  1589	УИК  1590	УИК  1591	УИК  1592	УИК  1593	УИК  1594	УИК  1595	УИК  1596	УИК  1597	УИК  1598	УИК  1599	УИК  1600	УИК  1601	УИК  1602	УИК  1603	УИК  1604	УИК  1605	УИК  1606	УИК  1607	УИК  1608	УИК  1609	УИК  1610					
1	"Число избирателей, внесенных в списки"	67707	2437	1997	2436	2428	1976	1914	2220	1787	2109	2357	2204	2385	2412	2109	2006	2334	2605	2573	2676	2733	2558	2375	1922	1925	2020	2559	2827	2841	2352	630					
2	"Число бюллетеней, полученных участковыми комиссиями"	60102	2160	1740	2140	2110	1770	1630	1970	1590	1900	2020	1880	2100	2160	2170	1800	2060	2280	2250	2370	2490	2250	2120	1670	1750	1790	2160	2540	2520	2190	522					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	27763	1084	675	992	740	749	735	962	764	627	936	1019	925	1123	1145	628	847	1339	750	1122	1234	1265	1123	757	726	890	806	1162	1110	1101	427					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	4991	71	128	158	130	142	132	225	136	312	219	100	294	147	125	271	143	192	211	266	144	114	107	82	115	197	183	90	101	403	53					
6	Число погашенных бюллетеней	27348	1005	937	990	1240	879	763	783	690	961	865	761	881	890	900	901	1070	749	1289	982	1112	871	890	831	909	703	1171	1288	1309	686	42					
7	Число бюллетеней в переносных ящиках для голосования	4989	71	128	158	130	142	132	225	136	312	219	100	294	147	125	269	143	192	211	266	144	114	107	82	115	197	183	90	101	403	53					
8	Число бюллетеней в стационарных ящиках для голосования	27557	1081	674	992	736	749	733	962	764	623	933	1019	925	1122	1145	626	847	1339	738	1116	1087	1256	1123	757	726	888	797	1162	1109	1101	427					
9	Число недействительных бюллетеней	331	14	10	16	23	12	7	6	15	11	16	0	12	2	6	10	14	11	0	14	11	5	10	25	13	4	15	30	15	4	0					
10	Число действительных бюллетеней	32215	1138	792	1134	843	879	858	1181	885	924	1136	1119	1207	1267	1264	885	976	1520	949	1368	1220	1365	1220	814	828	1081	965	1222	1195	1500	480					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1350	50	50	50	50	40	35	40	35	40	45	40	50	50	50	40	45	50	50	55	55	50	50	40	40	40	50	55	55	50	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	713	26	24	23	19	19	24	25	11	30	41	21	33	32	39	12	21	31	18	32	20	23	25	16	20	19	24	32	31	22	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	774	14	28	9	40	6	65	10	10	10	23	9	12	14	7	19	8	19	28	11	17	10	5	8	10	9	17	7	12	0	337					
14	Число погашенных открепительных удостоверений	637	24	26	27	31	21	11	15	24	10	4	19	17	18	11	28	24	19	32	23	35	27	25	24	20	21	26	23	24	28	0					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	281	11	5	5	9	16	20	10	8	3	2	8	7	20	9	9	7	10	11	18	11	9	4	5	11	11	5	1	13	10	13					
		0.86%	0.95%	0.62%	0.43%	1.03%	1.79%	2.31%	0.84%	0.88%	0.32%	0.17%	0.71%	0.57%	1.57%	0.70%	1.00%	0.70%	0.65%	1.15%	1.30%	0.89%	0.65%	0.32%	0.59%	1.30%	1.01%	0.51%	0.07%	1.07%	0.66%	2.70%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1364	59	28	62	37	34	30	31	24	51	57	45	76	67	44	37	46	46	60	58	65	89	53	33	32	24	29	51	53	27	16					
		4.19%	5.12%	3.49%	5.39%	4.27%	3.81%	3.46%	2.61%	2.66%	5.45%	4.94%	4.02%	6.23%	5.27%	3.46%	4.13%	4.64%	3.00%	6.32%	4.19%	5.28%	6.49%	4.30%	3.93%	3.80%	2.21%	2.95%	4.07%	4.38%	1.79%	3.33%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1426	74	38	47	42	50	41	39	27	37	55	55	33	62	57	64	75	53	51	65	59	59	60	27	40	29	36	52	49	36	14					
		4.38%	6.42%	4.73%	4.08%	4.84%	5.61%	4.73%	3.28%	3.0%	3.95%	4.77%	4.91%	2.70%	4.88%	4.48%	7.15%	7.57%	3.46%	5.37%	4.70%	4.79%	4.30%	4.87%	3.21%	4.75%	2.67%	3.67%	4.15%	4.04%	2.39%	2.91%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2265	93	63	92	70	63	62	52	39	72	90	111	123	122	105	71	68	79	68	100	99	107	92	44	42	29	61	81	73	69	25					
		6.95%	8.07%	7.85%	8.0%	8.08%	7.07%	7.16%	4.38%	4.33%	7.70%	7.81%	9.91%	10.09%	9.61%	8.26%	7.93%	6.86%	5.16%	7.16%	7.23%	8.04%	7.81%	7.47%	5.24%	4.99%	2.67%	6.22%	6.46%	6.03%	4.58%	5.20%					
22	"5. ""За Русь Святую"""	126	6	3	4	7	5	2	2	3	9	2	3	4	5	0	2	6	1	3	5	2	6	2	2	12	4	5	2	11	6	2					
		0.38%	0.52%	0.37%	0.34%	0.80%	0.56%	0.23%	0.16%	0.33%	0.96%	0.17%	0.26%	0.32%	0.39%	0.0%	0.22%	0.60%	0.06%	0.31%	0.36%	0.16%	0.43%	0.16%	0.23%	1.42%	0.36%	0.51%	0.15%	0.90%	0.39%	0.41%					
23	"6. ""Объединенная Российская партия ""Русь"""	78	6	2	4	2	2	5	0	2	2	2	1	3	6	5	5	5	3	3	1	1	4	0	1	0	0	4	2	3	2	2					
		0.23%	0.52%	0.24%	0.34%	0.23%	0.22%	0.57%	0.0%	0.22%	0.21%	0.17%	0.08%	0.24%	0.47%	0.39%	0.55%	0.50%	0.19%	0.31%	0.07%	0.08%	0.29%	0.0%	0.11%	0.0%	0.0%	0.40%	0.15%	0.24%	0.13%	0.41%					
24	"7. ""Новый курс - Автомобильная Россия"""	320	9	7	8	16	5	9	13	12	13	12	8	21	11	11	13	7	14	7	16	12	15	9	11	10	10	7	7	16	8	3					
		0.98%	0.78%	0.87%	0.69%	1.84%	0.56%	1.04%	1.09%	1.33%	1.39%	1.04%	0.71%	1.72%	0.86%	0.86%	1.45%	0.70%	0.91%	0.73%	1.15%	0.97%	1.09%	0.73%	1.31%	1.18%	0.92%	0.71%	0.55%	1.32%	0.53%	0.62%					
25	"8. ""Народно-республиканская партия России"""	37	1	1	1	2	0	3	0	1	8	1	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	5	3	3	1					
		0.11%	0.08%	0.12%	0.08%	0.23%	0.0%	0.34%	0.0%	0.11%	0.85%	0.08%	0.08%	0.08%	0.07%	0.0%	0.11%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.11%	0.0%	0.0%	0.39%	0.24%	0.19%	0.20%					
26	"9. ""Российская экологическая партия ""Зеленые"""	160	9	3	4	3	5	3	4	4	3	10	3	4	7	9	4	8	7	3	10	10	13	5	0	7	2	2	5	5	4	4					
