Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Всеволожская 																																																																																																		
																																																																																																		
Сводная таблица итогов голосования  по федеральному округу																																																																																																		
																																																																																																		
		Сумма	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222					
1	"Число избирателей, внесенных в списки"	133325	1793	1400	2019	2237	2196	2341	2449	2311	2136	2091	1944	1429	2444	2642	1338	1356	1856	1247	2505	457	374	412	698	909	1166	1326	2393	803	1874	1756	1735	2038	1722	1591	1403	1464	457	2438	2285	2499	1301	1522	1028	558	1785	1189	611	1551	1711	1632	1072	1046	567	1719	1158	1819	2496	2184	1360	1412	1390	2045	2153	965	656	1465	1686	710	1115	1574	1641	1478	1129	1225	1493	569	1314	1120	1938	932	1059	958	1281	1413	320	578	1147	733	2069	1630	284					
2	"Число бюллетеней, полученных участковыми комиссиями"	132500	1755	1359	2004	2243	2200	2342	2442	2319	2128	2077	1942	1377	2519	2571	1309	1300	1827	1209	2492	428	366	404	692	743	1160	1314	2411	793	1866	1739	1733	2038	1723	1569	1401	1441	452	2419	2273	2483	1268	1516	1025	543	1770	1178	605	1544	1707	1625	985	1045	567	1719	1093	1813	2475	2183	1358	1391	1367	2069	2153	923	703	1467	1654	707	1100	1513	1623	1457	1082	1551	1378	572	1320	1253	1915	938	1051	972	1275	1421	308	565	1125	753	2064	1667	281					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	52702	581	409	798	892	830	1039	942	909	976	928	835	528	1085	1067	355	382	698	367	1300	161	170	162	212	385	394	463	947	217	803	728	727	805	674	626	515	542	76	758	806	795	385	546	342	163	570	469	207	563	649	621	498	322	198	696	510	692	1003	799	613	669	600	989	1106	320	478	553	771	323	347	723	656	601	434	686	497	222	710	649	759	364	311	271	546	591	220	279	413	269	790	731	91					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1711	29	33	16	14	17	20	11	6	6	9	3	21	19	33	18	57	49	55	0	17	0	1	25	0	13	17	36	100	18	29	18	14	18	24	40	31	54	21	13	110	17	21	15	14	10	4	3	9	9	10	4	20	9	7	12	9	12	7	21	12	18	14	4	8	3	23	27	7	83	21	5	15	0	20	9	0	0	15	26	9	49	13	9	0	0	21	8	28	13	16	7					
6	Число погашенных бюллетеней	78087	1145	917	1190	1337	1353	1283	1489	1404	1146	1140	1104	828	1415	1471	936	861	1080	787	1192	250	196	241	455	358	753	834	1428	476	1045	982	988	1219	1031	919	846	868	322	1640	1454	1578	866	949	668	366	1190	705	395	972	1049	994	483	703	360	1016	571	1112	1460	1377	724	710	749	1066	1043	595	222	891	856	377	670	769	962	841	648	845	872	350	610	589	1130	565	691	688	720	830	88	265	704	456	1261	920	183					
7	Число бюллетеней в переносных ящиках для голосования	1711	29	33	16	14	17	20	11	6	6	9	3	21	19	33	18	57	49	55	0	17	0	1	25	0	13	17	36	100	18	29	18	14	18	24	40	31	54	21	13	110	17	21	15	14	10	4	3	9	9	10	4	20	9	7	12	9	12	7	21	12	18	14	4	8	3	23	27	7	83	21	5	15	0	20	9	0	0	15	26	9	49	13	9	0	0	21	8	28	13	16	7					
8	Число бюллетеней в стационарных ящиках для голосования	52629	581	376	796	891	829	1030	942	908	976	928	833	528	1081	1067	355	382	698	367	1300	161	170	162	212	385	394	463	947	217	803	728	727	785	674	626	515	542	76	758	806	795	385	546	342	163	570	469	207	563	649	621	498	322	198	696	510	691	1003	799	613	668	597	988	1106	320	478	553	771	323	347	723	656	601	434	693	496	222	710	649	759	364	311	271	546	591	220	279	413	269	790	731	91					
9	Число недействительных бюллетеней	594	8	7	8	6	9	0	9	5	5	3	0	2	9	6	11	3	11	1	7	5	2	5	5	3	11	8	10	3	10	10	5	7	9	7	13	15	2	4	11	22	11	7	9	3	9	6	2	5	5	3	4	6	5	4	3	7	13	3	9	7	11	9	11	4	4	9	8	9	8	8	5	8	6	9	4	3	4	6	8	7	2	5	2	5	2	4	12	5	5	9	4					
10	Число действительных бюллетеней	53746	602	402	804	899	837	1050	944	909	977	934	836	547	1091	1094	362	436	736	421	1293	173	168	158	232	382	396	472	973	314	811	747	740	792	683	643	542	558	128	775	808	883	391	560	348	174	571	467	208	567	653	628	498	336	202	699	519	693	1002	803	625	673	604	993	1099	324	477	567	790	321	422	736	656	608	428	704	501	219	706	658	777	366	358	279	553	586	218	296	409	292	798	738	94					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1978	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	20	20	20	20	20	20	20	20	20	25	25	25	25	25	25	24	25	20	20	20	20	20	20	20	20	20	19	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	21	21	21	21	21	21	21	21	21	6	21	21	21	6	51	21	21	21	21	21	21	21	21	21	21	21	21	18					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	440	2	4	10	16	11	17	5	15	11	6	9	7	8	4	2	4	11	4	11	0	0	8	0	5	0	2	2	0	2	6	7	3	5	0	4	3	0	4	8	8	1	4	0	0	0	2	0	4	3	2	5	7	2	9	17	5	4	3	8	0	1	4	2	2	0	6	4	3	4	5	3	7	1	9	5	0	0	22	4	5	3	1	14	13	1	3	3	1	8	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	364	10	3	10	7	1	3	10	5	7	10	6	22	6	3	5	3	8	6	7	4	5	2	5	0	1	4	3	2	4	3	4	4	2	4	1	0	0	3	2	4	5	2	0	3	2	4	1	2	2	3	1	3	0	1	8	2	7	0	5	2	3	5	2	11	4	5	9	3	8	1	0	3	5	2	1	1	4	17	2	1	6	0	5	6	1	3	0	4	8	1	1					
14	Число погашенных открепительных удостоверений	1538	23	21	15	9	14	8	20	10	14	19	16	18	17	21	23	21	14	21	14	20	20	12	20	15	20	18	18	20	23	19	18	22	20	25	20	22	20	16	12	12	19	16	20	20	20	17	20	16	17	18	15	13	18	11	3	15	16	17	12	20	19	16	18	19	21	15	17	18	17	16	18	14	5	12	16	21	6	29	17	16	18	20	7	8	20	18	18	20	13	16	17					
15	Число открепительных удостоверений выданных ТИК	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																		
18	"1. ""ЕДИНЕНИЕ"""	696	9	7	6	3	10	10	6	8	9	8	10	7	9	9	3	4	6	6	8	2	2	2	6	6	6	7	10	4	12	16	2	15	8	6	13	6	2	11	9	19	3	4	12	3	15	6	2	9	7	4	6	4	4	5	1	6	9	9	6	9	7	9	10	4	4	5	9	9	13	22	12	9	5	5	5	5	14	22	11	7	7	10	0	6	7	2	14	4	20	7	6					
		1.28%	1.47%	1.71%	0.73%	0.33%	1.18%	0.95%	0.62%	0.87%	0.91%	0.85%	1.19%	1.27%	0.81%	0.81%	0.80%	0.91%	0.80%	1.42%	0.61%	1.12%	1.17%	1.22%	2.53%	1.55%	1.47%	1.45%	1.01%	1.26%	1.46%	2.11%	0.26%	1.87%	1.15%	0.92%	2.34%	1.04%	1.53%	1.41%	1.09%	2.09%	0.74%	0.70%	3.36%	1.69%	2.58%	1.26%	0.95%	1.57%	1.06%	0.63%	1.19%	1.16%	1.93%	0.71%	0.19%	0.85%	0.88%	1.11%	0.94%	1.32%	1.13%	0.89%	0.90%	1.21%	0.83%	0.86%	1.12%	2.72%	3.02%	2.95%	1.81%	1.46%	1.15%	0.70%	0.99%	2.25%	1.97%	3.31%	1.40%	1.87%	1.94%	3.52%	0.0%	1.01%	3.18%	0.66%	3.32%	1.34%	2.49%	0.93%	6.12%					
