Выборы Президента Российской Федерации																																																																																																																					
Дата голосования: 04.03.2012																																																																																																																					
																																																																																																																					
Наименование Избирательной комиссии:    Якутская городская																																																																																																																					
																																																																																																																					
Сводная таблица итогов голосования																																																																																																																					
																																																																																																																					
	Число участковых избирательных комиссий	106																																																																																																																			
	Число участковых избирательных комиссий, приступивших к передаче сведений	106																																																																																																																			
																																																																																																																					
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №807									
1	Число избирателей, включенных в список избирателей	182672	2025	1798	1906	1054	1298	1725	2332	1878	2269	1729	1950	2889	1509	2743	2024	1917	1864	1728	725	1989	2107	2412	557	2408	1944	2075	1634	3415	2413	1932	998	2030	2137	2628	2026	1658	1740	2561	1406	1516	1340	2391	1683	773	2757	2861	1916	1231	1891	1552	1605	1526	2216	1934	1953	2175	2438	1447	1418	2542	1155	985	2109	741	991	1843	3029	2181	1508	1080	381	1299	1825	1044	2689	1826	1266	2648	1489	1156	1659	1661	1590	1680	498	558	1209	3151	1424	2445	2383	1609	1405	793	1204	2002	1086	1491	1288	967	2053	1916	1021	886	258	592									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	154996	1500	1400	2200	1200	1000	1500	1500	1600	1500	1500	1500	2000	1200	2000	1500	1800	1800	1800	700	1600	1900	2000	700	2000	1700	1700	1350	3050	1746	1700	900	1900	1700	2400	1500	1500	1500	2100	1300	1300	1200	1600	1100	800	1700	2000	1500	1000	1700	1300	1400	1200	2000	1600	1600	2100	2000	1300	1200	1800	1200	1000	1500	1000	1200	1300	2200	1800	1500	1200	400	1000	1800	900	1800	1200	1000	1800	1300	1000	1500	1500	1500	1500	500	300	1000	2300	1000	2000	2500	1500	1200	800	1400	2150	1200	1500	1600	1000	1700	1500	1000	800	400	700									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	123972	1280	1149	1634	889	837	1176	1418	1206	1419	1229	1382	1811	995	1914	1383	1313	1354	1578	555	1384	1619	1830	388	1738	1354	1512	1217	2773	1602	1066	515	1652	1541	2117	1364	1104	1193	1799	1016	1012	991	1030	1004	533	1471	1500	1379	734	1442	1033	1121	950	1590	1275	1246	1591	1777	1086	900	1621	706	621	1448	522	976	1020	1959	1427	1028	691	241	790	1478	667	1379	1017	560	1454	906	827	982	1076	1005	1180	187	142	760	2157	912	1540	1756	1247	992	580	1060	1945	750	933	1260	579	1586	1219	787	611	176	241									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	7092	52	49	7	12	33	12	29	48	43	26	25	43	41	61	71	45	49	0	36	95	53	39	9	45	39	75	63	15	62	529	296	44	35	48	36	51	42	77	49	181	25	492	18	20	218	55	37	13	19	33	74	33	59	40	37	46	36	38	27	71	38	29	37	2	15	90	75	63	49	30	30	66	93	145	64	50	350	53	55	86	104	61	68	93	230	18	77	91	35	93	44	33	39	18	0	2	19	35	28	31	34	45	132	21	82	283									
6	Число погашенных избирательных бюллетеней	23932	168	202	559	299	130	312	53	346	38	245	93	146	164	25	46	442	397	222	109	121	228	131	303	217	307	113	70	262	82	105	89	204	124	235	100	345	265	224	235	107	184	78	78	247	11	445	84	253	239	234	205	217	351	285	317	463	187	176	273	108	456	350	15	476	209	190	166	310	423	479	129	144	229	88	357	133	90	293	339	87	414	363	427	227	83	140	163	52	53	367	700	220	169	202	340	203	431	532	312	390	80	236	81	168	142	176									
