Выборы Президента Российской Федерации																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Якутская городская																																																																																																		
																																																																																																		
Итоги голосования 																																																																																																		
																																																																																																		
		Сумма	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794					
1	"Число избирателей, внесенных в список"	147334	1704	1185	2996	971	1127	1512	1759	1883	1776	1425	2254	2071	1940	2991	2176	1872	1806	2526	2533	1699	1753	1790	596	2229	1719	2031	1619	1515	2132	1618	615	1293	2007	1464	1798	1882	1552	2342	1431	2720	1309	1449	1319	657	2197	1514	1052	1079	1423	1569	1455	1253	2033	1880	2089	2015	2486	1478	1428	1741	1079	780	2200	705	1222	1659	2360	2198	1052	1277	457	1280	2259	626	2454	1208	495	2482	415	1110	1707	1498	1792	1445	459	199	1269	2420	1340	2252	1897					
2	Число полученных избирательных бюллетеней	130370	1400	1000	2500	850	1000	1200	1500	1600	1700	1400	1900	1800	1800	2400	2000	1600	1700	2400	2200	1700	1650	1500	500	1900	1500	1900	1700	1400	1800	1500	600	1300	1750	1550	1600	1900	1400	2100	1300	2300	1200	1170	1100	550	1900	1500	850	900	1100	1400	1300	1200	2100	1600	1900	1800	2100	1300	1200	1500	1000	800	1700	650	1050	1350	2000	1900	900	1150	400	1100	2200	550	1800	1100	500	2120	380	1000	1400	1300	1600	1300	450	200	1100	1900	1200	2000	1800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	116634	1254	852	2319	777	787	1077	1113	1473	1548	1240	1824	1686	1725	2333	1767	1561	1620	2199	1888	1524	1529	1443	447	1804	1361	1659	1395	1283	1610	798	304	1132	1702	1409	1543	1801	1329	2025	1184	2086	1069	1142	1034	508	1528	1202	798	839	1075	1300	1239	1096	1744	1564	1674	1710	2053	1263	1131	1438	910	593	1635	576	949	1293	1907	1778	816	1091	276	1028	1872	475	1727	1013	456	1704	358	822	858	860	1004	1189	191	176	1054	1779	1047	1797	1582					
5	"Число избирательных бюллетеней, выданных вне помещения"	5756	70	110	24	19	25	22	354	51	32	32	39	75	37	63	77	32	40	3	17	102	45	33	5	47	36	56	60	17	35	660	262	33	43	28	34	49	25	54	39	193	36	9	25	8	139	59	11	19	13	23	38	24	78	35	35	58	21	35	39	44	33	103	26	7	28	56	65	54	43	56	23	36	192	18	24	5	22	416	14	44	70	36	35	66	222	3	28	113	102	65	24					
6	Число погашенных избирательных бюллетеней	7980	76	38	157	54	188	101	33	76	120	128	37	39	38	4	156	7	40	198	295	74	76	24	48	49	103	185	245	100	155	42	34	135	5	113	23	50	46	21	77	21	95	19	41	34	233	239	41	42	12	77	23	80	278	1	191	32	26	2	30	18	57	104	39	67	73	1	28	68	41	3	101	36	136	57	49	82	22	0	8	134	472	404	561	45	37	21	18	8	51	138	194					
7	Число избирательных бюллетеней в переносных ящиках	5756	70	110	24	19	25	22	354	51	32	32	39	75	37	63	77	32	40	3	17	102	45	33	5	47	36	56	60	17	35	660	262	33	43	28	34	49	25	54	39	193	36	9	25	8	139	59	11	19	13	23	38	24	78	35	35	58	21	35	39	44	33	103	26	7	28	56	65	54	43	56	23	36	192	18	24	5	22	416	14	44	70	36	35	66	222	3	28	113	102	65	24					
8	Число бюллетеней в стационарных ящиках для голосования	116531	1254	852	2319	777	787	1077	1113	1472	1544	1240	1824	1686	1725	2329	1767	1561	1620	2196	1886	1524	1528	1443	447	1804	1360	1658	1395	1283	1610	797	304	1120	1702	1409	1541	1799	1328	2025	1184	2086	1069	1142	1033	507	1521	1202	797	839	1075	1300	1239	1088	1744	1562	1672	1710	2053	1263	1131	1436	899	593	1635	576	948	1290	1905	1776	805	1091	276	1027	1872	475	1727	1013	456	1704	358	820	858	860	1004	1189	191	176	1054	1779	1047	1786	1582					
9	Число недействительных избирательных бюллетеней	1436	17	12	27	9	16	11	20	11	30	16	27	12	30	23	18	4	29	8	9	14	8	18	4	22	14	17	13	10	9	19	10	12	11	9	15	19	11	19	15	23	12	21	8	10	34	23	12	13	16	15	21	3	11	11	16	18	17	14	20	19	16	4	10	7	8	17	26	17	9	19	7	20	55	15	26	12	6	62	6	9	16	8	4	12	5	6	23	29	19	19	9					
10	Число действительных избирательных бюллетеней	120851	1307	950	2316	787	796	1088	1447	1512	1546	1256	1836	1749	1732	2369	1826	1589	1631	2191	1894	1612	1565	1458	448	1829	1382	1697	1442	1290	1636	1438	556	1141	1734	1428	1560	1829	1342	2060	1208	2256	1093	1130	1050	505	1626	1238	796	845	1072	1308	1256	1109	1811	1586	1691	1750	2057	1284	1150	1461	916	692	1651	576	968	1329	1944	1813	839	1128	292	1043	2009	478	1725	1006	472	2058	366	855	912	888	1035	1243	408	173	1059	1863	1130	1832	1597					
