Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Калининская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  1601	УИК  1602	УИК  1603	УИК  1604	УИК  1605	УИК  1606	УИК  1607	УИК  1608	УИК  1609	УИК  1610	УИК  1611	УИК  1612	УИК  1613	УИК  1614	УИК  1615	УИК  1616	УИК  1617	УИК  1618	УИК  1619	УИК  1620	УИК  1621	УИК  1622	УИК  1623	УИК  1624	УИК  1625					
1	"Число избирателей, внесенных в списки"	38569	2452	2333	2875	2591	370	1193	1804	1337	2008	2823	2710	2824	1147	221	1173	780	518	832	2715	277	1368	1035	1460	1389	334					
2	"Число бюллетеней, полученных участковыми комиссиями"	36510	2310	2200	2720	2410	350	1130	1710	1260	1920	2630	2550	2660	1100	210	1120	740	500	800	2600	270	1300	1000	1400	1300	320					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	21640	1344	1274	1544	1298	213	734	1022	688	1113	1623	1374	1396	735	175	680	509	345	395	1581	179	673	617	918	943	267					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1310	51	58	78	107	47	61	81	44	59	53	70	87	83	19	43	17	18	49	65	30	51	53	40	40	6					
6	Число погашенных бюллетеней	13559	915	868	1098	1005	90	335	607	528	748	954	1105	1177	282	16	397	214	137	356	954	61	576	330	442	317	47					
7	Число бюллетеней в переносных ящиках для голосования	1310	51	58	78	107	47	61	81	44	59	53	70	87	83	19	43	17	18	49	65	30	51	53	40	40	6					
8	Число бюллетеней в стационарных ящиках для голосования	21619	1344	1274	1544	1298	213	734	1022	688	1113	1623	1353	1396	735	175	680	509	345	395	1581	179	673	617	918	943	267					
9	Число недействительных бюллетеней	377	22	17	0	25	8	17	21	23	30	40	27	32	19	2	11	0	3	4	19	7	9	18	2	20	1					
10	Число действительных бюллетеней	22552	1373	1315	1622	1380	252	778	1082	709	1142	1636	1396	1451	799	192	712	526	360	440	1627	202	715	652	956	963	272					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	375	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	68	6	6	7	4	1	4	8	1	5	4	3	2	1	0	5	0	0	2	4	0	1	2	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	91	6	6	11	8	4	5	6	3	4	1	5	2	3	5	2	1	0	1	5	0	3	1	2	4	3					
14	Число погашенных открепительных удостоверений	307	9	9	8	11	14	11	7	14	10	11	12	13	14	15	10	15	15	13	11	15	14	13	14	14	15					
15	Число открепительных удостоверений выданных ТИК	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	362	22	10	18	16	10	12	20	17	32	32	24	25	11	1	15	13	1	3	23	0	14	7	18	10	8					
		1.57%	1.57%	0.75%	1.10%	1.13%	3.84%	1.50%	1.81%	2.32%	2.73%	1.90%	1.68%	1.68%	1.34%	0.51%	2.07%	2.47%	0.27%	0.67%	1.39%	0.0%	1.93%	1.04%	1.87%	1.01%	2.93%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	271	25	19	22	14	1	7	15	4	23	28	19	16	13	1	6	4	0	2	9	2	8	8	18	7	0					
		1.18%	1.79%	1.42%	1.35%	0.99%	0.38%	0.88%	1.35%	0.54%	1.96%	1.67%	1.33%	1.07%	1.58%	0.51%	0.82%	0.76%	0.0%	0.45%	0.54%	0.95%	1.10%	1.19%	1.87%	0.71%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	385	31	19	32	32	6	15	20	14	25	24	15	31	12	1	14	6	2	7	24	3	11	11	15	11	4					
		1.67%	2.22%	1.42%	1.97%	2.27%	2.30%	1.88%	1.81%	1.91%	2.13%	1.43%	1.05%	2.09%	1.46%	0.51%	1.93%	1.14%	0.55%	1.57%	1.45%	1.43%	1.51%	1.64%	1.56%	1.11%	1.46%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	282	17	19	19	25	1	5	26	12	15	26	27	5	4	0	8	0	2	2	19	3	17	6	6	9	9					
		1.22%	1.21%	1.42%	1.17%	1.77%	0.38%	0.62%	2.35%	1.63%	1.27%	1.55%	1.89%	0.33%	0.48%	0.0%	1.10%	0.0%	0.55%	0.45%	1.15%	1.43%	2.34%	0.89%	0.62%	0.91%	3.29%					
22	"5. ""За Русь Святую"""	87	5	12	4	3	0	1	6	3	12	10	6	3	1	0	1	0	1	1	4	0	1	3	6	2	2					
		0.37%	0.35%	0.90%	0.24%	0.21%	0.0%	0.12%	0.54%	0.40%	1.02%	0.59%	0.42%	0.20%	0.12%	0.0%	0.13%	0.0%	0.27%	0.22%	0.24%	0.0%	0.13%	0.44%	0.62%	0.20%	0.73%					
23	"6. ""Объединенная Российская партия ""Русь"""	68	0	6	3	4	1	0	4	1	7	4	7	3	2	0	2	1	3	3	2	0	3	4	4	4	0					
		0.29%	0.0%	0.45%	0.18%	0.28%	0.38%	0.0%	0.36%	0.13%	0.59%	0.23%	0.49%	0.20%	0.24%	0.0%	0.27%	0.19%	0.82%	0.67%	0.12%	0.0%	0.41%	0.59%	0.41%	0.40%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	127	15	13	19	7	2	7	4	4	3	9	7	6	2	0	2	2	2	0	13	0	0	3	5	1	1					
		0.55%	1.07%	0.97%	1.17%	0.49%	0.76%	0.88%	0.36%	0.54%	0.25%	0.53%	0.49%	0.40%	0.24%	0.0%	0.27%	0.38%	0.55%	0.0%	0.78%	0.0%	0.0%	0.44%	0.52%	0.10%	0.36%					
25	"8. ""Народно-республиканская партия России"""	62	4	2	0	2	0	1	4	7	3	1	5	6	3	0	1	1	3	0	8	0	2	2	1	2	4					
		0.27%	0.28%	0.15%	0.0%	0.14%	0.0%	0.12%	0.36%	0.95%	0.25%	0.05%	0.35%	0.40%	0.36%	0.0%	0.13%	0.19%	0.82%	0.0%	0.48%	0.0%	0.27%	0.29%	0.10%	0.20%	1.46%					
26	"9. ""Российская экологическая партия ""Зеленые"""	53	3	5	3	3	0	0	10	0	4	6	2	3	2	0	0	0	1	1	3	0	0	5	2	0	0					
		0.23%	0.21%	0.37%	0.18%	0.21%	0.0%	0.0%	0.90%	0.0%	0.34%	0.35%	0.14%	0.20%	0.24%	0.0%	0.0%	0.0%	0.27%	0.22%	0.18%	0.0%	0.0%	0.74%	0.20%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1416	71	65	95	76	19	91	65	40	56	73	55	67	110	2	38	33	33	25	129	11	108	59	32	53	10					
