Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Свободненская городская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602					
1	"Число избирателей, внесенных в список"	49344	260	398	1845	2337	1635	2726	1698	872	1836	1016	2266	2294	902	1637	2435	2347	2364	1193	1998	1393	2143	2309	1869	1249	2034	1219	2561	2508					
2	Число полученных избирательных бюллетеней	48620	250	360	2000	2300	1700	2710	1700	800	1800	1000	2200	2300	730	1600	2400	2300	2300	1200	1970	1400	2000	2300	1900	1200	2000	1200	2500	2500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24256	167	250	1705	970	750	1300	648	402	943	474	1322	1135	301	847	1244	1234	1153	526	997	546	998	1207	737	431	812	619	1395	1143					
5	"Число избирательных бюллетеней, выданных вне помещения"	1961	33	32	90	110	17	118	77	35	64	37	67	106	203	72	91	75	49	51	94	59	68	56	89	86	61	20	56	45					
6	Число погашенных избирательных бюллетеней	22403	50	78	205	1220	933	1292	975	363	793	489	811	1059	226	681	1065	991	1098	623	879	795	934	1037	1074	683	1127	561	1049	1312					
7	Число избирательных бюллетеней в переносных ящиках	1961	33	32	90	110	17	118	77	35	64	37	67	106	203	72	91	75	49	51	94	59	68	56	89	86	61	20	56	45					
8	Число бюллетеней в стационарных ящиках для голосования	24253	167	250	1704	970	750	1300	648	402	943	474	1322	1135	301	847	1244	1234	1153	526	997	546	998	1207	735	431	812	619	1395	1143					
9	Число недействительных избирательных бюллетеней	140	0	0	5	9	0	9	4	1	0	0	8	8	0	3	5	8	10	6	1	2	5	6	4	6	4	6	14	16					
10	Число действительных избирательных бюллетеней	26074	200	282	1789	1071	767	1409	721	436	1007	511	1381	1233	504	916	1330	1301	1192	571	1090	603	1061	1257	820	511	869	633	1437	1172					
11	Число полученных открепительных  удостоверений	495	5	5	120	10	10	11	9	10	15	9	25	20	10	11	20	20	35	10	20	30	10	10	10	10	10	10	13	17					
