Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																				
Дата голосования: 04.12.2011																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №22																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238					
1	"Число избирателей, внесенных в список избирателей"	160386	1950	2994	241	1589	1444	1968	171	2524	1559	2035	2603	2180	2558	2377	2135	2143	1797	2055	2207	2681	1862	2383	2243	2172	2686	2340	2688	2673	2004	1903	2559	1935	3402	1844	2002	308	368	532	2192	1994	1686	2353	2084	1556	1823	2573	2294	2602	2867	2439	2643	2871	1338	433	2546	2093	2538	2673	2666	3024	2174	3002	2828	2856	3125	2543	2892	2146	2234	1710	1868	2322	1871	1907	1957	412	136					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	110099	1400	2800	300	1100	1000	1600	200	1500	950	1200	1600	1200	1500	1400	1200	1200	1100	1200	1300	1600	1700	1500	2000	1300	1600	1500	1650	1800	1200	1100	1599	1300	2200	1300	1200	500	350	500	1500	1300	1300	1600	1400	1000	1200	1700	1600	1900	2000	1700	1800	2000	800	400	1700	1500	1800	1900	2000	2100	1800	2100	2000	2500	1900	1700	1800	1500	1500	1100	1400	1800	1500	1500	1500	500	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	87306	1067	2795	241	895	857	1238	125	1326	895	966	1199	1089	1280	1259	906	1010	827	1124	1058	1333	761	1365	1552	1161	1468	1347	1568	1659	1110	1009	1520	1040	1432	1070	1127	191	40	464	1275	1152	995	1344	1048	887	992	1374	1148	1387	1489	1325	1509	1423	677	214	1537	1074	1392	1325	1469	1537	1360	1692	1430	1517	1730	1306	1365	1127	1149	928	1091	1244	1023	1073	952	274	98					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4735	0	0	0	28	54	0	37	51	16	13	21	11	73	34	23	34	27	40	64	41	939	92	80	90	35	71	40	56	78	74	72	65	54	74	43	117	44	0	74	57	72	119	78	16	83	63	76	88	65	24	93	80	54	139	13	34	65	41	65	51	32	42	61	60	57	39	47	21	37	26	38	15	10	25	17	138	29					
6	Число погашенных избирательных бюллетеней	18029	332	5	58	177	89	362	38	120	39	221	380	100	147	107	271	156	246	36	178	226	0	43	368	49	97	82	40	71	12	17	7	195	714	156	30	192	266	36	151	91	233	137	274	97	125	262	376	425	446	351	198	497	69	47	150	392	343	534	466	512	408	366	509	923	107	355	388	352	314	146	271	541	467	402	530	88	23					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4723	0	0	0	28	54	0	37	51	16	13	21	11	73	34	23	34	27	40	64	41	932	92	80	90	35	71	40	56	77	74	72	65	54	74	43	117	44	0	74	57	72	119	78	16	83	63	75	88	65	24	93	80	54	139	13	34	65	41	65	51	32	42	58	60	57	39	47	21	37	26	38	15	10	25	17	138	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	86916	1066	2795	241	894	855	1233	125	1323	893	966	1199	1086	1233	1259	906	1010	821	1122	1055	1330	761	1361	1549	1160	1458	1347	1562	1657	1108	1009	1518	1032	1428	1070	1122	191	40	464	1267	1099	993	1326	1048	887	992	1373	1148	1363	1485	1323	1506	1421	677	214	1533	1070	1383	1321	1404	1532	1353	1689	1430	1512	1730	1296	1365	1127	1144	925	1081	1242	1023	1073	941	273	98					
9	Число недействительных избирательных бюллетеней	1220	13	0	1	14	15	12	3	27	9	12	12	10	16	17	9	13	5	27	11	10	8	27	20	11	30	24	32	20	11	12	12	10	12	10	18	3	3	7	18	69	14	11	13	16	21	24	17	19	17	14	30	20	0	4	24	16	19	27	21	28	15	22	17	17	28	16	30	20	18	13	12	19	13	15	12	5	0					
10	Число действительных избирательных бюллетеней	90419	1053	2795	240	908	894	1221	159	1347	900	967	1208	1087	1290	1276	920	1031	843	1135	1108	1361	1685	1426	1609	1239	1463	1394	1570	1693	1174	1071	1578	1087	1470	1134	1147	305	81	457	1323	1087	1051	1434	1113	887	1054	1412	1206	1432	1533	1333	1569	1481	731	349	1522	1088	1429	1335	1448	1555	1370	1709	1471	1555	1759	1319	1382	1128	1163	938	1107	1238	1020	1083	946	406	127					
