Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Муезерская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №333	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359					
1	"Число избирателей, внесенных в списки избирателей"	11463	157	1309	1568	1091	657	803	314	263	184	178	1148	110	861	395	1808	617					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10650	150	1200	1400	1000	600	800	300	250	180	200	1000	120	850	350	1700	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	27	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6563	130	775	884	598	401	441	186	156	113	135	644	65	485	231	969	350					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	401	8	47	57	44	12	14	7	11	22	16	45	3	19	9	40	47					
6	Число погашенных избирательных бюллетеней	3659	12	378	459	358	187	345	107	83	45	49	284	52	346	110	691	153					
7	Число избирательных бюллетеней в переносных ящиках для голосования	428	8	47	57	44	12	14	7	11	22	16	72	3	19	9	40	47					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6563	130	775	884	598	401	441	186	156	113	135	644	65	485	231	969	350					
9	Число недействительных избирательных бюллетеней	61	0	8	14	5	4	4	2	2	1	0	3	0	2	2	14	0					
10	Число действительных избирательных бюллетеней	6930	138	814	927	637	409	451	191	165	134	151	713	68	502	238	995	397					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	220	10	30	30	20	10	10	10	10	10	10	10	10	10	10	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	99	2	21	23	12	4	7	0	0	2	2	6	0	5	0	13	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	67	2	5	8	4	3	3	1	3	1	4	8	2	2	8	8	5					
