Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																
Дата голосования: 02.12.2007																																
																																
Наименование Избирательной комиссии:    Калининская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625					
1	"Число избирателей, внесенных в списки избирателей"	37811	2491	2299	2827	2558	383	1178	1777	1290	2079	2704	2740	2782	1098	205	1146	764	466	810	2629	255	1293	1007	1344	1359	327					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	37686	2450	2300	2800	2500	385	1200	1850	1300	2100	2700	2700	2700	1120	205	1150	780	470	800	2650	252	1290	1000	1330	1330	324					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	23035	1536	1431	1763	1512	184	684	1056	714	1265	1705	1553	1421	722	167	688	443	352	497	1761	177	693	570	910	959	272					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3924	173	104	263	160	110	197	281	182	191	220	282	327	176	25	186	122	54	56	172	58	267	133	78	86	21					
6	Число погашенных избирательных бюллетеней	10727	741	765	774	828	91	319	513	404	644	775	865	952	222	13	276	215	64	247	717	17	330	297	342	285	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3924	173	104	263	160	110	197	281	182	191	220	282	327	176	25	186	122	54	56	172	58	267	133	78	86	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23035	1536	1431	1763	1512	184	684	1056	714	1265	1705	1553	1421	722	167	688	443	352	497	1761	177	693	570	910	959	272					
9	Число недействительных избирательных бюллетеней	714	34	81	49	51	2	21	21	36	73	16	54	76	19	1	15	11	0	14	36	4	5	17	18	56	4					
10	Число действительных избирательных бюллетеней	26245	1675	1454	1977	1621	292	860	1316	860	1383	1909	1781	1672	879	191	859	554	406	539	1897	231	955	686	970	989	289					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	633	12	28	36	24	5	45	83	27	40	24	42	19	35	5	26	20	12	10	70	5	20	22	9	11	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	627	11	28	36	24	5	45	83	27	40	22	39	19	35	5	26	20	12	10	70	5	20	22	9	11	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	120	26	10	6	10	0	1	4	5	7	10	12	4	2	1	1	0	0	1	8	0	6	0	1	2	3					
14	Число погашенных неиспользованных открепительных удостоверений	6	1	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	66	4	10	15	4	0	3	2	0	4	4	7	4	1	0	4	0	0	0	1	0	0	0	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
