Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
Наименование Избирательной комиссии:    Колпашевская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352					
1	"Число избирателей, внесенных в список избирателей"	35562	910	1572	718	1156	65	1133	147	1328	926	1182	1143	888	996	506	949	1172	921	1235	1025	750	676	1000	741	823	1178	1145	454	183	1489	1139	182	111	1014	320	669	249	591	78	131	385	85	680	147	249	143	734	454	146	235	189	152	624	64	380					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36145	895	1570	725	1155	150	1145	150	1325	930	1205	1140	910	1015	503	970	1160	920	1255	1040	750	685	1000	760	835	1205	1160	465	190	1520	1145	181	111	1055	330	690	250	565	79	135	425	92	695	160	267	152	745	485	155	238	192	153	660	65	387					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15429	308	634	287	498	65	536	147	492	431	625	543	395	464	222	423	557	323	466	310	259	266	406	318	353	500	479	130	80	533	254	75	61	473	154	319	140	259	60	65	230	51	336	100	155	79	303	247	95	127	107	84	403	36	166					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1510	41	19	18	46	0	17	0	34	37	54	27	30	31	11	36	21	35	28	34	25	24	35	41	46	50	54	34	6	82	86	16	11	35	49	60	13	22	0	9	41	16	57	9	9	7	29	36	10	11	6	1	20	3	38					
6	Число погашенных избирательных бюллетеней	19206	546	917	420	611	85	592	3	799	462	526	570	485	520	270	511	582	562	761	696	466	395	559	401	436	655	627	301	104	905	805	90	39	547	127	311	97	284	19	61	154	25	302	51	103	66	413	202	50	100	79	68	237	26	183					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1510	41	19	18	46	0	17	0	34	37	54	27	30	31	11	36	21	35	28	34	25	24	35	41	46	50	54	34	6	82	86	16	11	35	49	60	13	22	0	9	41	16	57	9	9	7	29	36	10	11	6	1	20	3	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15426	308	634	287	498	65	536	147	492	431	625	543	395	464	222	423	557	323	466	310	259	266	406	318	353	500	479	130	80	532	254	75	61	473	154	319	140	259	60	65	230	51	336	100	155	79	303	247	95	127	107	84	401	36	166					
9	Число недействительных избирательных бюллетеней	316	8	15	7	6	2	7	2	12	7	6	24	4	8	3	8	15	18	7	9	5	22	4	0	11	12	13	6	1	8	4	3	2	6	3	2	1	0	0	1	3	2	6	0	4	0	7	0	1	7	1	1	11	0	1					
10	Число действительных избирательных бюллетеней	16620	341	638	298	538	63	546	145	514	461	673	546	421	487	230	451	563	340	487	335	279	268	437	359	388	538	520	158	85	606	336	88	70	502	200	377	152	281	60	73	268	65	387	109	160	86	325	283	104	131	112	84	410	39	203					
