Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    Колпашевская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355					
1	"Число избирателей, внесенных в списки избирателей"	37077	1006	1798	773	1119	116	1263	154	1286	1018	1244	1242	921	1026	544	1000	1232	971	1321	1054	802	762	1015	746	860	1254	1170	560	192	1440	1104	183	115	1567	312	710	216	27	84	146	486	348	401	465	161	230	463	207	152	247	154	184	142	606	61	417					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30716	820	1389	618	892	150	982	180	1032	818	1020	977	749	824	424	807	978	774	1058	842	638	602	806	611	703	1011	938	447	150	1153	885	186	128	1300	300	600	200	30	83	150	500	300	350	400	170	200	376	165	162	220	150	196	170	640	62	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19760	483	1023	395	583	116	679	120	573	544	743	687	436	550	283	517	670	420	633	472	385	380	534	401	406	661	576	206	93	641	402	87	75	919	208	424	158	14	63	100	260	240	207	299	104	151	292	139	97	154	100	150	99	473	48	287					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1714	30	20	22	58	0	13	0	23	39	60	43	51	23	20	34	29	26	40	39	23	21	29	45	60	50	57	115	7	46	61	13	12	72	59	39	6	2	0	9	86	9	33	29	22	17	45	23	20	9	13	9	9	48	2	44					
6	Число погашенных избирательных бюллетеней	9242	307	346	201	251	34	290	60	436	235	217	247	262	251	121	256	279	328	385	331	230	201	243	165	237	300	305	126	50	466	422	86	41	309	33	137	36	14	20	41	154	51	110	72	44	32	39	3	45	57	37	37	62	119	12	69					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1712	30	20	22	58	0	13	0	23	39	60	43	51	23	20	34	29	26	40	39	23	21	29	45	60	50	55	115	7	46	61	13	12	72	59	39	6	2	0	9	86	9	33	29	22	17	45	23	20	9	13	9	9	48	2	44					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19755	483	1022	395	581	116	679	120	573	543	743	687	436	550	283	517	670	420	633	472	385	380	533	401	406	661	576	206	93	641	402	87	75	919	208	424	158	14	63	100	260	240	207	299	104	151	292	139	97	154	100	150	99	473	48	287					
9	Число недействительных избирательных бюллетеней	295	12	17	4	10	5	10	1	8	9	6	5	5	13	3	6	11	4	10	9	9	4	8	6	10	7	15	4	2	2	10	0	1	17	3	4	0	0	0	2	9	1	3	3	2	2	6	0	0	2	1	1	1	9	1	2					
10	Число действительных избирательных бюллетеней	21172	501	1025	413	629	111	682	119	588	573	797	725	482	560	300	545	688	442	663	502	399	397	554	440	456	704	616	317	98	685	453	100	86	974	264	459	164	16	63	107	337	248	237	325	124	166	331	162	117	161	112	158	107	512	49	329					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	912	15	25	15	15	0	15	0	15	15	22	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	10	15	25	27	20	15	15	15	15	15	15	15	18	15	15	15	15	25	15	15	25	25	50	15	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	493	7	20	8	7	0	7	0	13	12	19	13	11	10	4	5	7	11	9	3	4	3	1	12	6	12	8	3	0	7	1	0	11	24	22	15	5	1	0	6	2	4	3	18	14	9	12	4	14	5	0	25	25	49	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	315	6	10	3	2	82	6	5	5	6	6	5	2	3	3	1	0	5	13	3	2	8	3	5	3	1	4	7	4	3	2	0	2	33	1	4	3	0	2	2	0	1	1	7	2	7	6	2	4	2	3	10	5	6	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	419	8	5	7	8	0	8	0	2	3	3	2	4	5	11	10	8	4	6	12	11	12	14	3	9	3	7	12	15	8	14	10	4	1	5	5	10	14	15	9	13	11	12	0	1	6	3	11	11	10	15	0	0	1	14	24					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	132	3	7	1	4	0	3	0	4	2	3	1	4	1	0	1	1	0	7	1	1	1	0	2	6	1	3	0	1	7	3	0	0	2	2	1	2	0	0	0	32	0	0	1	0	0	3	0	6	0	0	2	6	5	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
18	1.Политическая партия «Аграрная партия России»	302	11	13	7	6	1	11	2	7	16	12	10	5	0	3	7	11	5	7	4	2	10	4	13	8	19	9	4	0	11	6	0	0	17	2	6	4	1	0	0	5	2	2	6	1	2	6	3	0	1	3	0	3	7	0	7					
		1.41%	2.14%	1.25%	1.68%	0.94%	0.86%	1.59%	1.67%	1.17%	2.75%	1.49%	1.37%	1.03%	0.00%	0.99%	1.27%	1.57%	1.12%	1.04%	0.78%	0.49%	2.49%	0.71%	2.91%	1.72%	2.67%	1.43%	1.25%	0.00%	1.60%	1.30%	0.00%	0.00%	1.72%	0.75%	1.30%	2.44%	6.25%	0.00%	0.00%	1.45%	0.80%	0.83%	1.83%	0.79%	1.19%	1.78%	1.85%	0.00%	0.61%	2.65%	0.00%	2.78%	1.34%	0.00%	2.11%					
19	2.Всероссийская политическая партия «Гражданская Сила»	107	3	9	3	6	1	2	0	6	1	10	7	4	4	1	3	5	3	5	5	0	0	5	1	1	8	1	0	0	1	2	0	0	1	1	0	0	0	0	0	1	0	0	1	2	1	0	0	0	1	0	0	0	0	1	1					
		0.50%	0.58%	0.86%	0.72%	0.94%	0.86%	0.29%	0.00%	1.01%	0.17%	1.25%	0.96%	0.82%	0.70%	0.33%	0.54%	0.72%	0.67%	0.74%	0.98%	0.00%	0.00%	0.89%	0.22%	0.21%	1.13%	0.16%	0.00%	0.00%	0.15%	0.43%	0.00%	0.00%	0.10%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.30%	1.59%	0.60%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	2.00%	0.30%					
20	3.Политическая партия «Демократическая партия России»	27	0	0	1	0	0	0	1	2	0	2	2	0	3	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2					
		0.13%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.83%	0.34%	0.00%	0.25%	0.27%	0.00%	0.52%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.20%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	1.26%	0.00%	0.00%	0.00%	0.60%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2364	48	101	50	98	1	81	20	36	65	111	125	85	57	36	72	86	33	85	61	45	46	60	59	65	76	73	23	11	61	35	11	2	66	36	45	15	1	1	19	27	31	15	27	14	25	45	13	7	28	24	5	6	59	3	34					
		11.01%	9.36%	9.69%	11.99%	15.34%	0.86%	11.71%	16.67%	6.04%	11.17%	13.82%	17.12%	17.45%	9.95%	11.88%	13.07%	12.30%	7.40%	12.63%	11.94%	11.03%	11.47%	10.68%	13.23%	13.95%	10.69%	11.57%	7.17%	11.00%	8.88%	7.56%	11.00%	2.30%	6.66%	13.48%	9.72%	9.15%	6.25%	1.59%	17.43%	7.80%	12.45%	6.25%	8.23%	11.11%	14.88%	13.35%	8.02%	5.98%	17.18%	21.24%	3.14%	5.56%	11.32%	6.00%	10.27%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	234	9	12	9	4	0	11	0	6	5	11	5	8	5	5	4	10	10	4	4	6	3	4	4	6	12	11	6	1	21	13	0	0	5	0	2	1	0	0	1	1	4	1	2	0	1	3	1	0	0	0	1	0	2	0	0					
		1.09%	1.75%	1.15%	2.16%	0.63%	0.00%	1.59%	0.00%	1.01%	0.86%	1.37%	0.68%	1.64%	0.87%	1.65%	0.73%	1.43%	2.24%	0.59%	0.78%	1.47%	0.75%	0.71%	0.90%	1.29%	1.69%	1.74%	1.87%	1.00%	3.06%	2.81%	0.00%	0.00%	0.50%	0.00%	0.43%	0.61%	0.00%	0.00%	0.92%	0.29%	1.61%	0.42%	0.61%	0.00%	0.60%	0.89%	0.62%	0.00%	0.00%	0.00%	0.63%	0.00%	0.38%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	40	0	1	3	3	1	0	0	0	2	3	2	0	0	0	0	1	2	0	0	0	0	1	0	2	1	1	1	0	2	1	0	0	3	2	0	1	0	1	0	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	1					
		0.19%	0.00%	0.10%	0.72%	0.47%	0.86%	0.00%	0.00%	0.00%	0.34%	0.37%	0.27%	0.00%	0.00%	0.00%	0.00%	0.14%	0.45%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.43%	0.14%	0.16%	0.31%	0.00%	0.29%	0.22%	0.00%	0.00%	0.30%	0.75%	0.00%	0.61%	0.00%	1.59%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	1.19%	0.00%	0.62%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%					
24	7.Политическая партия «Либерально-демократическая партия России»	2483	45	139	56	76	49	92	10	75	61	61	72	50	74	27	66	63	46	76	73	39	40	50	60	49	81	60	35	13	78	65	13	13	160	24	65	25	2	10	6	33	39	22	50	15	23	54	29	5	11	15	25	7	25	2	29					
		11.57%	8.77%	13.34%	13.43%	11.89%	42.24%	13.29%	8.33%	12.58%	10.48%	7.60%	9.86%	10.27%	12.91%	8.91%	11.98%	9.01%	10.31%	11.29%	14.29%	9.56%	9.98%	8.90%	13.45%	10.52%	11.39%	9.51%	10.90%	13.00%	11.35%	14.04%	13.00%	14.94%	16.15%	8.99%	14.04%	15.24%	12.50%	15.87%	5.50%	9.54%	15.66%	9.17%	15.24%	11.90%	13.69%	16.02%	17.90%	4.27%	6.75%	13.27%	15.72%	6.48%	4.80%	4.00%	8.76%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1376	41	63	34	49	0	47	7	42	61	67	51	32	42	23	36	63	34	38	33	24	34	44	28	36	42	59	13	6	60	19	3	3	48	7	22	1	1	2	2	18	7	11	17	4	9	13	12	6	2	1	7	5	26	0	21					
		6.41%	7.99%	6.05%	8.15%	7.67%	0.00%	6.79%	5.83%	7.05%	10.48%	8.34%	6.99%	6.57%	7.33%	7.59%	6.53%	9.01%	7.62%	5.65%	6.46%	5.88%	8.48%	7.83%	6.28%	7.73%	5.91%	9.35%	4.05%	6.00%	8.73%	4.10%	3.00%	3.45%	4.84%	2.62%	4.75%	0.61%	6.25%	3.17%	1.83%	5.20%	2.81%	4.58%	5.18%	3.17%	5.36%	3.86%	7.41%	5.13%	1.23%	0.88%	4.40%	4.63%	4.99%	0.00%	6.34%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	138	7	9	4	3	2	4	1	2	3	8	6	1	5	2	5	6	0	1	4	1	1	3	3	4	5	2	0	0	5	3	3	0	19	1	4	1	0	0	1	0	0	0	2	0	1	1	1	0	0	2	1	0	0	0	1					
		0.64%	1.36%	0.86%	0.96%	0.47%	1.72%	0.58%	0.83%	0.34%	0.52%	0.99%	0.82%	0.21%	0.87%	0.66%	0.91%	0.86%	0.00%	0.15%	0.78%	0.25%	0.25%	0.53%	0.67%	0.86%	0.70%	0.32%	0.00%	0.00%	0.73%	0.65%	3.00%	0.00%	1.92%	0.37%	0.86%	0.61%	0.00%	0.00%	0.92%	0.00%	0.00%	0.00%	0.61%	0.00%	0.60%	0.30%	0.62%	0.00%	0.00%	1.77%	0.63%	0.00%	0.00%	0.00%	0.30%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	13822	332	658	240	379	54	414	77	411	349	494	430	282	366	192	346	430	302	442	314	275	262	380	267	279	447	390	205	67	436	306	67	68	647	191	311	116	11	49	78	250	164	180	220	88	99	208	101	99	117	67	116	85	392	43	229					
		64.39%	64.72%	63.15%	57.55%	59.31%	46.55%	59.83%	64.17%	68.96%	59.97%	61.52%	58.90%	57.91%	63.87%	63.37%	62.79%	61.52%	67.71%	65.68%	61.45%	67.40%	65.34%	67.62%	59.87%	59.87%	62.87%	61.81%	63.86%	67.00%	63.46%	66.09%	67.00%	78.16%	65.29%	71.54%	67.17%	70.73%	68.75%	77.78%	71.56%	72.25%	65.86%	75.00%	67.07%	69.84%	58.93%	61.72%	62.35%	84.62%	71.78%	59.29%	72.96%	78.70%	75.24%	86.00%	69.18%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	279	5	20	6	5	2	20	1	1	10	18	15	15	4	11	6	10	7	5	4	7	1	3	3	6	13	10	30	0	10	3	2	0	6	0	2	0	0	0	0	1	1	5	0	0	2	1	1	0	0	0	1	1	1	0	4					
		1.30%	0.97%	1.92%	1.44%	0.78%	1.72%	2.89%	0.83%	0.17%	1.72%	2.24%	2.05%	3.08%	0.70%	3.63%	1.09%	1.43%	1.57%	0.74%	0.78%	1.72%	0.25%	0.53%	0.67%	1.29%	1.83%	1.58%	9.35%	0.00%	1.46%	0.65%	2.00%	0.00%	0.61%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.29%	0.40%	2.08%	0.00%	0.00%	1.19%	0.30%	0.62%	0.00%	0.00%	0.00%	0.63%	0.93%	0.19%	0.00%	1.21%					
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
