Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Салаватская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №3497									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20313	380	131	297	93	204	1198	144	142	292	198	303	666	276	171	771	343	281	500	495	144	524	198	401	162	308	331	196	1213	697	238	206	1484	1015	1429	344	475	498	604	130	681	320	337	785	708									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20660	383	133	298	98	210	1207	145	141	299	210	307	677	283	176	792	347	301	511	503	147	522	204	409	168	311	335	199	1234	705	234	207	1450	1018	1490	358	488	509	631	138	722	326	339	776	719									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16187	307	109	190	84	181	1111	130	125	253	195	250	444	205	139	435	266	187	437	416	129	453	183	350	146	287	252	176	795	565	211	193	650	902	1259	333	446	397	527	122	614	282	302	643	506									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	738	9	8	11	4	9	39	9	8	9	3	32	23	30	4	46	25	30	21	11	3	17	12	25	10	12	11	10	40	37	14	5	20	14	20	5	8	26	34	6	33	6	10	12	17									
6	Число погашенных избирательных бюллетеней	3735	67	16	97	10	20	57	6	8	37	12	25	210	48	33	311	56	84	53	76	15	52	9	34	12	12	72	13	399	103	9	9	780	102	211	20	34	86	70	10	75	38	27	121	196									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	738	9	8	11	4	9	39	9	8	9	3	32	23	30	4	46	25	30	21	11	3	17	12	25	10	12	11	10	40	37	14	5	20	14	20	5	8	26	34	6	33	6	10	12	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16186	307	109	190	84	181	1111	130	125	253	195	250	444	205	139	435	266	187	437	416	129	453	183	350	146	287	252	176	795	565	211	193	650	901	1259	333	446	397	527	122	614	282	302	643	506									
9	Число недействительных избирательных бюллетеней	178	1	0	7	0	0	0	2	1	1	4	0	22	0	9	14	0	0	11	0	0	0	0	5	0	1	0	0	0	8	3	7	17	28	6	3	8	3	0	0	0	2	0	8	7									
10	Число действительных избирательных бюллетеней	16746	315	117	194	88	190	1150	137	132	261	194	282	445	235	134	467	291	217	447	427	132	470	195	370	156	298	263	186	835	594	222	191	653	887	1273	335	446	420	561	128	647	286	312	647	516									
