Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Бикинская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461					
1	"Число избирателей, внесенных в списки избирателей"	19509	809	688	1176	778	823	1928	1163	828	773	674	1407	1286	1112	659	267	667	107	410	456	133	1129	875	831	530					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14034	545	475	850	530	560	1625	995	570	525	450	980	930	760	470	185	455	99	290	325	140	745	590	575	365					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	74	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11230	371	333	734	356	486	1497	798	373	374	398	839	857	600	336	156	378	39	192	269	107	683	438	388	228					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	860	41	53	30	64	28	14	43	55	37	31	34	21	62	26	5	73	18	61	14	2	28	55	27	38					
6	Число погашенных избирательных бюллетеней	1870	88	89	86	110	46	114	154	142	114	21	107	52	98	108	24	4	13	37	42	31	34	97	160	99					
7	Число избирательных бюллетеней в переносных ящиках для голосования	934	86	53	30	64	28	14	43	55	37	31	34	21	62	26	5	73	47	61	14	2	28	55	27	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11220	371	333	734	356	486	1487	798	373	374	398	839	857	600	336	156	378	39	192	269	107	683	438	388	228					
9	Число недействительных избирательных бюллетеней	166	4	3	9	6	4	56	6	2	1	5	10	9	8	4	4	4	0	1	5	0	13	3	5	4					
10	Число действительных избирательных бюллетеней	11988	453	383	755	414	510	1445	835	426	410	424	863	869	654	358	157	447	86	252	278	109	698	490	410	262					
