Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																											
Дата голосования: 18.09.2016																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Баймакская																																																																																											
																																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																											
																																																																																											
		Сумма	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41990	2629	915	1553	1915	1837	926	2410	840	449	142	1042	169	394	116	436	791	356	462	85	88	174	413	241	126	622	218	137	648	422	300	518	686	627	355	668	259	137	312	320	263	336	1075	1095	293	315	472	227	217	642	271	392	834	570	348	199	132	694	103	420	235	119	2057	217	234	307	168	318	672	199	282	1535	107	160	269	154	148	326	395	82	370									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42508	2600	930	1600	1900	1840	915	2500	850	450	140	1050	170	390	120	465	800	345	450	85	90	175	410	240	130	650	220	145	650	427	295	515	690	630	350	710	265	130	305	325	260	330	1140	1100	290	320	470	225	240	665	320	400	880	630	350	210	135	700	100	460	225	115	2050	220	235	310	165	305	690	210	280	1520	106	160	270	155	145	330	395	80	365									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28229	942	760	924	1494	1526	483	840	302	329	113	507	163	352	95	289	631	291	338	70	76	130	367	199	95	476	174	132	566	361	188	337	391	477	252	539	235	100	215	273	185	241	571	538	221	255	340	168	211	491	255	314	450	395	298	170	115	564	92	337	178	111	1155	166	182	170	154	191	589	139	235	1234	74	125	197	135	115	161	294	66	315									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2274	29	21	158	170	48	27	219	50	29	8	95	3	12	3	17	41	11	16	5	3	6	9	36	8	33	5	5	32	11	10	100	45	33	22	38	9	6	22	5	14	19	47	42	19	21	18	18	6	20	16	40	204	28	14	0	0	21	0	0	17	0	53	22	5	4	2	28	19	29	9	43	6	10	30	2	11	10	13	5	9									
6	Число погашенных избирательных бюллетеней	12005	1629	149	518	236	266	405	1441	498	92	19	448	4	26	22	159	128	43	96	10	11	39	34	5	27	141	41	8	52	55	97	78	254	120	76	133	21	24	68	47	61	70	522	520	50	44	112	39	23	154	49	46	226	207	38	40	20	115	8	123	30	4	842	32	48	136	9	86	82	42	36	243	26	25	43	18	19	159	88	9	41									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2274	29	21	158	170	48	27	219	50	29	8	95	3	12	3	17	41	11	16	5	3	6	9	36	8	33	5	5	32	11	10	100	45	33	22	38	9	6	22	5	14	19	47	42	19	21	18	18	6	20	16	40	204	28	14	0	0	21	0	0	17	0	53	22	5	4	2	28	19	29	9	43	6	10	30	2	11	10	13	5	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28229	942	760	924	1494	1526	483	840	302	329	113	507	163	352	95	289	631	291	338	70	76	130	367	199	95	476	174	132	566	361	188	337	391	477	252	539	235	100	215	273	185	241	571	538	221	255	340	168	211	491	255	314	450	395	298	170	115	564	92	337	178	111	1155	166	182	170	154	191	589	139	235	1234	74	125	197	135	115	161	294	66	315									
9	Число недействительных избирательных бюллетеней	339	9	0	7	2	15	9	12	0	0	1	11	0	9	0	17	16	6	7	0	1	1	0	0	0	0	2	3	0	3	12	3	7	9	0	20	0	8	2	0	11	4	0	0	0	5	2	6	0	0	2	0	16	14	4	0	0	9	0	1	0	0	0	3	4	2	0	11	4	0	0	25	0	5	9	0	1	9	0	0	0									
10	Число действительных избирательных бюллетеней	30164	962	781	1075	1662	1559	501	1047	352	358	120	591	166	355	98	289	656	296	347	75	78	135	376	235	103	509	177	134	598	369	186	434	429	501	274	557	244	98	235	278	188	256	618	580	240	271	356	180	217	511	269	354	638	409	308	170	115	576	92	336	195	111	1208	185	183	172	156	208	604	168	244	1252	80	130	218	137	125	162	307	71	324									
