Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Тогульская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563					
1	"Число избирателей, внесенных в списки"	7809	1303	721	1163	674	112	129	119	482	165	134	256	997	1135	248	171					
2	"Число бюллетеней, полученных участковыми комиссиями"	8018	1250	708	1120	710	160	150	120	510	230	160	260	990	1180	270	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4714	764	345	741	395	96	106	85	279	154	93	183	599	584	164	126					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	354	71	33	38	29	16	3	15	20	11	8	19	42	37	7	5					
6	Число погашенных бюллетеней	2951	415	330	341	286	48	41	20	211	65	59	58	349	559	100	69					
7	Число бюллетеней в переносных ящиках для голосования	354	71	33	38	29	16	3	15	20	11	8	19	42	37	7	5					
8	Число бюллетеней в стационарных ящиках для голосования	4714	764	345	741	395	96	106	85	279	154	93	183	599	584	164	126					
9	Число недействительных бюллетеней	93	10	6	9	3	0	1	1	13	14	2	1	18	12	2	1					
10	Число действительных бюллетеней	4975	825	372	770	421	112	108	99	286	151	99	201	623	609	169	130					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	97	11	7	11	7	3	3	4	7	5	4	6	9	11	5	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	35	10	0	7	3	0	0	0	0	1	0	4	4	6	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	8	1	0	1	1	0	1	1	1	3	2	5	2	4	5					
14	Число погашенных открепительных удостоверений	62	1	7	4	4	3	3	4	7	4	4	2	5	5	5	4					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	67	6	2	7	2	3	2	2	11	2	4	2	7	10	6	1					
		1.32%	0.71%	0.52%	0.89%	0.47%	2.67%	1.83%	2.0%	3.67%	1.21%	3.96%	0.99%	1.09%	1.61%	3.50%	0.76%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	132	19	1	38	11	0	0	1	7	3	6	4	14	19	1	8					
		2.60%	2.27%	0.26%	4.87%	2.59%	0.0%	0.0%	1.0%	2.34%	1.81%	5.94%	1.98%	2.18%	3.05%	0.58%	6.10%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	104	18	6	8	11	3	2	2	11	5	2	4	16	9	2	5					
		2.05%	2.15%	1.58%	1.02%	2.59%	2.67%	1.83%	2.0%	3.67%	3.03%	1.98%	1.98%	2.49%	1.44%	1.16%	3.81%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	71	10	2	19	4	1	1	0	1	2	1	2	7	15	0	6					
		1.40%	1.19%	0.52%	2.43%	0.94%	0.89%	0.91%	0.0%	0.33%	1.21%	0.99%	0.99%	1.09%	2.41%	0.0%	4.58%					
22	"5. ""За Русь Святую"""	7	1	1	2	0	0	0	0	1	0	0	0	1	0	1	0					
