Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Бековская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13067	937	958	1751	1739	513	314	321	519	250	234	696	386	229	196	228	442	301	316	1262	1475									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13230	955	970	1750	1780	515	325	330	530	250	230	700	385	230	200	230	450	310	320	1280	1490									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7659	642	644	891	1062	341	210	235	324	202	163	398	281	121	94	159	113	131	101	662	885									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1506	64	50	147	111	56	70	37	96	6	33	189	31	67	42	27	137	54	74	139	76									
6	Число погашенных избирательных бюллетеней	4065	249	276	712	607	118	45	58	110	42	34	113	73	42	64	44	200	125	145	479	529									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1506	64	50	147	111	56	70	37	96	6	33	189	31	67	42	27	137	54	74	139	76									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7658	642	644	891	1061	341	210	235	324	202	163	398	281	121	94	159	113	131	101	662	885									
9	Число недействительных избирательных бюллетеней	186	49	13	11	27	26	10	1	1	1	12	2	10	0	0	0	2	11	1	5	4									
10	Число действительных избирательных бюллетеней	8978	657	681	1027	1145	371	270	271	419	207	184	585	302	188	136	186	248	174	174	796	957									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	254	20	20	25	32	8	9	8	10	8	8	10	8	8	8	8	8	8	8	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	159	14	10	14	29	4	9	6	10	1	0	4	3	1	8	1	5	8	6	11	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	57	1	2	23	5	4	0	1	0	2	2	2	2	0	3	2	1	0	4	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	95	6	10	11	3	4	0	2	0	7	8	6	5	7	0	7	3	0	2	9	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	2	2	2	7	4	0	3	0	0	0	0	1	2	0	2	0	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
