Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Бодайбинская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №1899	УИК №1900									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17321	641	1548	1357	1405	1415	1016	653	1280	969	625	209	156	73	1485	129	579	431	741	422	230	907	715	115	220									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17615	600	1550	1350	1400	1400	1400	600	1300	900	600	200	150	75	1500	140	600	400	700	400	200	1000	750	150	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	17	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4122	103	333	342	380	344	166	125	260	208	162	58	52	56	407	31	141	123	154	51	72	238	91	102	123									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	312	4	16	11	45	5	5	3	12	15	3	7	3	17	45	15	14	6	19	10	7	19	23	0	8									
6	Число погашенных избирательных бюллетеней	13157	493	1201	997	975	1051	1229	472	1028	677	435	135	95	2	1048	94	445	271	527	339	121	736	619	48	119									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	336	4	16	11	45	5	5	3	12	15	3	7	3	17	45	15	14	6	19	10	7	26	40	0	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4119	103	332	342	380	344	166	125	260	208	162	58	52	56	407	31	141	121	154	51	72	238	91	102	123									
9	Число недействительных избирательных бюллетеней	64	3	7	7	6	5	2	0	4	5	3	1	0	0	8	0	1	1	2	1	0	2	2	4	0									
10	Число действительных избирательных бюллетеней	4391	104	341	346	419	344	169	128	268	218	162	64	55	73	444	46	154	126	171	60	79	262	129	98	131									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	570	20	30	30	30	30	30	20	20	20	20	10	10	5	30	15	20	20	30	30	20	70	60	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	203	0	1	6	4	6	2	2	0	1	4	1	10	0	2	4	3	0	3	24	0	70	60	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	34	1	2	5	1	2	0	0	0	0	0	1	1	0	8	2	0	0	0	3	1	5	2	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	367	20	29	24	26	24	28	18	20	19	16	9	0	5	28	11	17	20	27	6	20	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	67	1	9	11	12	5	0	2	3	1	0	0	1	0	1	0	3	0	3	2	0	13	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	63	2	6	8	8	7	4	1	1	1	2	0	0	2	3	1	7	1	1	0	0	3	3	1	1									
		1.41%	1.87%	1.72%	2.27%	1.88%	2.01%	2.34%	0.78%	0.37%	0.45%	1.21%	0.00%	0.00%	2.74%	0.66%	2.17%	4.52%	0.79%	0.58%	0.00%	0.00%	1.14%	2.29%	0.98%	0.76%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	207	4	16	23	15	16	12	5	13	9	6	1	2	1	23	4	9	4	4	3	2	19	10	4	2									
		4.65%	3.74%	4.60%	6.52%	3.53%	4.58%	7.02%	3.91%	4.78%	4.04%	3.64%	1.54%	3.64%	1.37%	5.09%	8.70%	5.81%	3.15%	2.31%	4.92%	2.53%	7.20%	7.63%	3.92%	1.53%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	148	1	9	12	12	13	3	4	13	8	1	1	0	12	11	3	4	4	10	2	3	14	5	2	1									
		3.32%	0.93%	2.59%	3.40%	2.82%	3.72%	1.75%	3.13%	4.78%	3.59%	0.61%	1.54%	0.00%	16.44%	2.43%	6.52%	2.58%	3.15%	5.78%	3.28%	3.80%	5.30%	3.82%	1.96%	0.76%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1576	41	119	102	170	98	61	42	85	74	64	34	24	33	147	19	65	53	62	26	41	92	35	41	48									
		35.38%	38.32%	34.20%	28.90%	40.00%	28.08%	35.67%	32.81%	31.25%	33.18%	38.79%	52.31%	43.64%	45.21%	32.52%	41.30%	41.94%	41.73%	35.84%	42.62%	51.90%	34.85%	26.72%	40.20%	36.64%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	0	2	0	2	0	0	2	2	1	1	1	0	0	3	0	2	0	0	1	0	1	2	0	1									
		0.47%	0.00%	0.57%	0.00%	0.47%	0.00%	0.00%	1.56%	0.74%	0.45%	0.61%	1.54%	0.00%	0.00%	0.66%	0.00%	1.29%	0.00%	0.00%	1.64%	0.00%	0.38%	1.53%	0.00%	0.76%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	0	1	3	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0									
		0.22%	0.00%	0.29%	0.85%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.61%	0.00%	1.82%	1.37%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%									
