Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Урюпинская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №4501	УИК №4502	УИК №4503	УИК №4504	УИК №4505	УИК №4506	УИК №4507	УИК №4508	УИК №4509	УИК №4510	УИК №4511	УИК №4512	УИК №4513	УИК №4514	УИК №4515	УИК №4516	УИК №4517	УИК №4518	УИК №4519	УИК №4520	УИК №4521	УИК №4522	УИК №4523	УИК №4524	УИК №4525	УИК №4526	УИК №4527	УИК №4528	УИК №4529									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20557	938	412	280	439	932	495	287	184	382	1373	391	1255	802	391	813	709	509	779	356	1135	267	406	1187	679	2212	874	550	860	660									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19900	900	400	280	420	900	470	280	180	380	1300	370	1200	770	380	800	700	500	770	350	1100	260	400	1150	650	2150	850	520	820	650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8264	404	225	118	154	434	206	159	74	160	571	175	306	409	225	341	282	202	315	137	393	101	178	501	262	845	341	219	244	283									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3044	110	55	39	152	152	102	68	65	100	171	82	168	75	70	96	123	43	100	59	184	35	31	133	90	106	186	74	275	100									
6	Число погашенных избирательных бюллетеней	8592	386	120	123	114	314	162	53	41	120	558	113	726	286	85	363	295	255	355	154	523	124	191	516	298	1199	323	227	301	267									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3044	110	55	39	152	152	102	68	65	100	171	82	168	75	70	96	123	43	100	59	184	35	31	133	90	106	186	74	275	100									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8264	404	225	118	154	434	206	159	74	160	571	175	306	409	225	341	282	202	315	137	393	101	178	501	262	845	341	219	244	283									
9	Число недействительных избирательных бюллетеней	179	7	4	2	6	10	3	2	4	5	11	3	6	4	0	7	3	2	3	3	11	3	8	12	9	29	5	4	4	9									
10	Число действительных избирательных бюллетеней	11129	507	276	155	300	576	305	225	135	255	731	254	468	480	295	430	402	243	412	193	566	133	201	622	343	922	522	289	515	374									
