Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Новосибирская - 138																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №819	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20481	2416	2875	413	2008	521	697	2945	1143	1648	275	313	1096	1752	964	731	232	452									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18400	2000	2500	400	2000	500	650	2500	1000	1500	250	300	1000	1500	1000	700	200	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6443	794	844	157	627	101	451	892	361	334	103	124	308	423	510	215	75	124									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	285	22	28	21	12	5	0	26	12	8	4	5	8	54	0	47	13	20									
6	Число погашенных избирательных бюллетеней	11672	1184	1628	222	1361	394	199	1582	627	1158	143	171	684	1023	490	438	112	256									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	285	22	28	21	12	5	0	26	12	8	4	5	8	54	0	47	13	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6443	794	844	157	627	101	451	892	361	334	103	124	308	423	510	215	75	124									
9	Число недействительных избирательных бюллетеней	195	32	15	1	17	2	8	26	14	15	5	6	11	19	12	5	0	7									
10	Число действительных избирательных бюллетеней	6533	784	857	177	622	104	443	892	359	327	102	123	305	458	498	257	88	137									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	423	50	50	10	40	12	15	50	25	35	8	9	25	35	25	17	7	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	121	20	11	10	23	2	12	13	4	0	0	2	12	5	2	3	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	9	2	1	3	7	5	3	4	1	3	1	8	8	9	2	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	302	30	39	0	17	10	3	37	21	35	8	7	13	30	23	14	5	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	0	0	0	0	0	1	0	2	1	0	1	1	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
