Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																					
Дата голосования: 18.09.2016																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Новосибирск, Дзержинская"																																																																																					
																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																					
																																																																																					
		Сумма	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №2021	УИК №2022	УИК №2023	УИК №2024									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	120970	1518	2188	2531	2208	2750	1734	1406	2090	2563	2194	1857	1278	1643	1638	1868	1406	1427	914	1180	1966	1871	1278	2244	1389	940	1290	1623	1214	1395	2255	2311	1415	1094	1064	512	1239	1156	1399	1725	1714	1373	1246	1514	1793	1812	1428	1731	2603	2052	2150	1474	1511	1725	1433	2155	2003	2146	2169	1628	2396	1695	1949	1483	1538	1561	2186	2029	1645	1270	1921	1538	211	56	59									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	118176	1400	2200	2500	2200	2700	1700	1400	2100	2500	2100	1800	1200	1600	1600	1700	1300	1400	900	1100	2000	1800	1200	2200	1400	900	1200	1600	1200	1300	2300	2300	1300	1100	1000	500	1200	1100	1300	1700	1700	1300	1200	1500	1800	1800	1400	1700	2600	2000	2100	1400	1500	1700	1400	2100	2000	2100	2100	1600	2400	1700	1900	1400	1500	1500	2200	2000	1600	1200	1900	1545	214	56	61									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	36154	297	571	671	677	755	585	355	673	757	743	621	260	352	350	580	366	345	225	357	508	486	302	599	481	318	425	519	355	428	791	794	478	312	316	102	451	321	499	575	248	323	397	507	343	444	330	573	764	711	705	448	397	473	372	581	604	559	633	557	808	491	666	492	480	452	585	457	384	339	580	1538	203	54	56									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	723	67	4	9	10	4	11	4	14	12	11	13	15	13	7	11	5	1	5	2	10	6	8	7	6	4	12	8	14	11	11	8	8	26	11	3	10	8	9	12	15	34	6	10	11	8	8	6	11	6	6	6	5	9	16	6	5	7	14	6	10	15	5	2	9	11	8	16	17	4	10	0	8	0	3									
6	Число погашенных избирательных бюллетеней	81299	1036	1625	1820	1513	1941	1104	1041	1413	1731	1346	1166	925	1235	1243	1109	929	1054	670	741	1482	1308	890	1594	913	578	763	1073	831	861	1498	1498	814	762	673	395	739	771	792	1113	1437	943	797	983	1446	1348	1062	1121	1825	1283	1389	946	1098	1218	1012	1513	1391	1534	1453	1037	1582	1194	1229	906	1011	1037	1607	1527	1199	857	1310	7	3	2	2									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	723	67	4	9	10	4	11	4	14	12	11	13	15	13	7	11	5	1	5	2	10	6	8	7	6	4	12	8	14	11	11	8	8	26	11	3	10	8	9	12	15	34	6	10	11	8	8	6	11	6	6	6	5	9	16	6	5	7	14	6	10	15	5	2	9	11	8	16	17	4	10	0	8	0	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	36125	297	571	671	677	754	585	355	673	757	732	621	260	352	350	580	366	345	225	357	508	486	301	592	481	318	425	519	355	428	791	794	478	312	316	102	451	321	499	575	248	323	397	507	343	436	330	573	764	711	705	448	397	473	372	581	604	559	633	557	808	491	666	492	479	452	585	457	384	339	580	1538	203	54	56									
9	Число недействительных избирательных бюллетеней	1003	5	12	19	18	9	23	8	18	15	14	9	4	10	7	11	7	15	9	5	12	13	9	0	12	3	8	10	17	11	26	20	8	8	6	1	12	9	19	12	8	13	9	19	8	15	9	15	29	22	12	15	13	9	4	12	21	23	11	11	16	12	8	13	6	9	21	20	12	6	18	146	2	1	1									
10	Число действительных избирательных бюллетеней	35845	359	563	661	669	749	573	351	669	754	729	625	271	355	350	580	364	331	221	354	506	479	300	599	475	319	429	517	352	428	776	782	478	330	321	104	449	320	489	575	255	344	394	498	346	429	329	564	746	695	699	439	389	473	384	575	588	543	636	552	802	494	663	481	482	454	572	453	389	337	572	1392	209	53	58									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2400	30	40	40	40	40	40	30	40	60	40	40	30	30	30	40	30	30	30	30	40	40	30	40	30	30	30	30	30	30	40	40	30	30	30	10	30	30	30	30	30	30	30	30	40	40	30	40	40	40	40	30	30	30	30	40	40	40	40	30	40	30	40	30	30	30	40	40	30	30	40	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1110	14	20	17	26	17	15	15	23	42	20	23	12	8	7	10	10	13	8	21	28	19	8	26	14	7	12	18	8	9	23	19	13	18	6	1	17	10	5	24	13	10	12	19	10	13	6	31	29	23	28	20	17	13	15	19	22	12	14	12	20	11	8	8	11	18	23	17	14	14	22	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1513	21	6	11	5	21	14	21	21	37	56	47	12	9	18	141	50	21	11	21	9	10	11	14	11	22	15	17	17	87	19	15	63	10	10	13	17	12	37	37	19	20	18	25	13	12	15	43	16	24	25	21	12	16	13	13	7	10	16	11	9	19	37	17	21	16	12	17	5	8	12	0	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	1290	16	20	23	14	23	25	15	17	18	20	17	18	22	23	30	20	17	22	9	12	21	22	14	16	23	18	12	22	21	17	21	17	12	24	9	13	20	25	6	17	20	18	11	30	27	24	9	11	17	12	10	13	17	15	21	18	28	26	18	20	19	32	22	19	12	17	23	16	16	18	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	125	2	2	1	1	2	3	0	4	3	0	3	1	0	0	4	0	2	0	3	1	9	4	4	0	2	1	1	0	0	3	2	2	1	7	0	3	3	1	3	1	3	3	0	3	1	1	1	0	0	3	1	0	0	1	2	2	3	1	0	3	3	2	3	1	1	2	1	1	1	3	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1481	17	22	17	29	30	45	12	32	35	35	28	11	4	16	14	13	6	9	10	9	33	22	22	18	12	24	24	9	11	25	29	10	14	14	2	14	7	9	21	18	25	18	18	7	36	53	25	39	21	37	31	19	12	11	18	25	23	25	25	35	20	48	23	33	15	19	20	13	11	14	26	2	1	1									
		4.02%	4.67%	3.83%	2.50%	4.22%	3.96%	7.55%	3.34%	4.66%	4.55%	4.71%	4.42%	4.00%	1.10%	4.48%	2.37%	3.50%	1.73%	3.91%	2.79%	1.74%	6.71%	7.12%	3.67%	3.70%	3.73%	5.49%	4.55%	2.44%	2.51%	3.12%	3.62%	2.06%	4.14%	4.28%	1.90%	3.04%	2.13%	1.77%	3.58%	6.84%	7.00%	4.47%	3.48%	1.98%	8.11%	15.68%	4.32%	5.03%	2.93%	5.20%	6.83%	4.73%	2.49%	2.84%	3.07%	4.11%	4.06%	3.86%	4.44%	4.28%	3.95%	7.15%	4.66%	6.76%	3.24%	3.20%	4.23%	3.24%	3.21%	2.37%	1.69%	0.95%	1.85%	1.69%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1180	15	12	34	29	19	19	15	27	26	18	19	12	13	9	20	10	7	6	5	17	17	14	15	23	10	15	20	14	10	20	24	16	9	11	7	16	10	16	30	14	7	11	20	15	15	9	20	31	26	26	19	0	17	15	21	20	18	23	17	24	20	24	9	14	12	9	12	16	16	16	23	7	0	5									
		3.20%	4.12%	2.09%	5.00%	4.22%	2.51%	3.19%	4.18%	3.93%	3.38%	2.42%	2.99%	4.36%	3.56%	2.52%	3.38%	2.70%	2.02%	2.61%	1.39%	3.28%	3.46%	4.53%	2.50%	4.72%	3.11%	3.43%	3.80%	3.79%	2.28%	2.49%	2.99%	3.29%	2.66%	3.36%	6.67%	3.47%	3.04%	3.15%	5.11%	5.32%	1.96%	2.73%	3.87%	4.24%	3.38%	2.66%	3.45%	4.00%	3.63%	3.66%	4.19%	0.00%	3.53%	3.87%	3.58%	3.28%	3.18%	3.55%	3.02%	2.93%	3.95%	3.58%	1.82%	2.87%	2.59%	1.52%	2.54%	3.99%	4.66%	2.71%	1.50%	3.32%	0.00%	8.47%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	599	7	10	13	10	13	9	3	16	7	16	11	1	6	6	8	6	10	3	6	17	13	4	12	5	5	4	9	5	4	10	19	4	3	5	0	10	3	9	10	1	6	4	4	3	7	4	5	13	15	20	8	7	2	5	12	6	11	6	7	14	5	14	11	17	9	13	4	8	6	11	23	4	1	1									
		1.63%	1.92%	1.74%	1.91%	1.46%	1.72%	1.51%	0.84%	2.33%	0.91%	2.15%	1.74%	0.36%	1.64%	1.68%	1.35%	1.62%	2.89%	1.30%	1.67%	3.28%	2.64%	1.29%	2.00%	1.03%	1.55%	0.92%	1.71%	1.36%	0.91%	1.25%	2.37%	0.82%	0.89%	1.53%	0.00%	2.17%	0.91%	1.77%	1.70%	0.38%	1.68%	0.99%	0.77%	0.85%	1.58%	1.18%	0.86%	1.68%	2.09%	2.81%	1.76%	1.74%	0.41%	1.29%	2.04%	0.99%	1.94%	0.93%	1.24%	1.71%	0.99%	2.09%	2.23%	3.48%	1.94%	2.19%	0.85%	1.99%	1.75%	1.86%	1.50%	1.90%	1.85%	1.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12843	149	191	234	220	255	207	140	213	248	289	238	124	129	161	266	154	151	84	135	164	178	86	216	174	112	162	174	113	144	271	256	196	131	122	51	193	119	203	238	92	143	129	191	142	176	107	210	233	225	205	139	139	164	116	185	192	202	212	165	278	169	213	160	148	142	192	180	152	108	188	470	130	28	27									
		34.85%	40.93%	33.22%	34.41%	32.02%	33.64%	34.73%	38.99%	31.00%	32.25%	38.90%	37.54%	45.09%	35.34%	45.10%	45.01%	41.51%	43.64%	36.52%	37.60%	31.66%	36.18%	27.83%	36.06%	35.73%	34.78%	37.07%	33.02%	30.62%	32.80%	33.79%	31.92%	40.33%	38.76%	37.31%	48.57%	41.87%	36.17%	39.96%	40.55%	34.98%	40.06%	32.01%	36.94%	40.11%	39.64%	31.66%	36.27%	30.06%	31.38%	28.83%	30.62%	34.58%	34.02%	29.90%	31.52%	31.53%	35.69%	32.77%	29.31%	33.99%	33.40%	31.74%	32.39%	30.33%	30.67%	32.38%	38.05%	37.91%	31.49%	31.86%	30.56%	61.61%	51.85%	45.76%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	416	3	7	11	8	10	5	2	1	9	6	8	4	8	0	7	5	4	0	4	7	2	3	11	3	7	8	13	8	5	10	9	6	2	1	0	7	3	5	5	1	4	1	5	3	11	2	7	15	5	7	0	8	3	2	7	8	3	15	8	6	9	4	10	7	5	8	4	4	5	3	19	0	0	0									
		1.13%	0.82%	1.22%	1.62%	1.16%	1.32%	0.84%	0.56%	0.15%	1.17%	0.81%	1.26%	1.45%	2.19%	0.00%	1.18%	1.35%	1.16%	0.00%	1.11%	1.35%	0.41%	0.97%	1.84%	0.62%	2.17%	1.83%	2.47%	2.17%	1.14%	1.25%	1.12%	1.23%	0.59%	0.31%	0.00%	1.52%	0.91%	0.98%	0.85%	0.38%	1.12%	0.25%	0.97%	0.85%	2.48%	0.59%	1.21%	1.94%	0.70%	0.98%	0.00%	1.99%	0.62%	0.52%	1.19%	1.31%	0.53%	2.32%	1.42%	0.73%	1.78%	0.60%	2.02%	1.43%	1.08%	1.35%	0.85%	0.99%	1.46%	0.51%	1.24%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	90	1	3	1	2	2	1	4	1	2	1	1	0	1	0	0	0	1	1	2	3	3	2	0	2	1	1	0	2	1	2	2	0	1	0	0	0	0	0	1	1	0	1	1	2	1	0	0	3	2	3	0	0	0	2	1	2	0	1	3	0	0	4	0	0	0	1	0	1	4	1	7	2	0	2									
