Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																		
Дата голосования: 02.12.2007																		
																		
Наименование Избирательной комиссии:    Петропавловская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263					
1	"Число избирателей, внесенных в списки избирателей"	10779	1178	1316	1382	1363	766	877	778	1317	1047	119	636					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9118	950	1100	1200	1150	700	750	650	1100	850	118	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6179	689	764	754	785	457	434	486	783	621	79	327					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	413	30	26	57	51	16	70	28	68	20	18	29					
6	Число погашенных избирательных бюллетеней	2526	231	310	389	314	227	246	136	249	209	21	194					
7	Число избирательных бюллетеней в переносных ящиках для голосования	413	30	26	57	51	16	70	28	68	20	18	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6179	689	764	754	785	457	434	486	783	621	79	327					
9	Число недействительных избирательных бюллетеней	53	7	11	3	7	5	5	3	6	3	0	3					
10	Число действительных избирательных бюллетеней	6539	712	779	808	829	468	499	511	845	638	97	353					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	98	10	10	10	10	10	10	9	9	9	3	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	28	0	4	4	2	5	2	4	5	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	21	0	1	5	2	0	2	2	8	0	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	70	10	6	6	8	5	8	5	4	8	3	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	1.Политическая партия «Аграрная партия России»	333	27	45	16	98	28	24	35	13	15	1	31					
		5.05%	3.76%	5.70%	1.97%	11.72%	5.92%	4.76%	6.81%	1.53%	2.34%	1.03%	8.71%					
19	2.Всероссийская политическая партия «Гражданская Сила»	12	2	0	0	1	3	0	0	3	2	0	1					
		0.18%	0.28%	0.00%	0.00%	0.12%	0.63%	0.00%	0.00%	0.35%	0.31%	0.00%	0.28%					
20	3.Политическая партия «Демократическая партия России»	5	2	0	0	0	1	1	0	0	1	0	0					
		0.08%	0.28%	0.00%	0.00%	0.00%	0.21%	0.20%	0.00%	0.00%	0.16%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	992	83	84	90	168	56	119	73	117	108	20	74					
		15.05%	11.54%	10.63%	11.10%	20.10%	11.84%	23.61%	14.20%	13.75%	16.85%	20.62%	20.79%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	36	1	0	1	4	7	6	2	8	7	0	0					
		0.55%	0.14%	0.00%	0.12%	0.48%	1.48%	1.19%	0.39%	0.94%	1.09%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	15	3	0	2	3	2	0	1	2	1	0	1					
		0.23%	0.42%	0.00%	0.25%	0.36%	0.42%	0.00%	0.19%	0.24%	0.16%	0.00%	0.28%					
24	7.Политическая партия «Либерально-демократическая партия России»	634	81	81	88	55	62	56	68	54	48	7	34					
		9.62%	11.27%	10.25%	10.85%	6.58%	13.11%	11.11%	13.23%	6.35%	7.49%	7.22%	9.55%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	514	67	38	70	40	32	36	21	115	74	4	17					
		7.80%	9.32%	4.81%	8.63%	4.78%	6.77%	7.14%	4.09%	13.51%	11.54%	4.12%	4.78%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	41	7	11	4	7	1	0	3	5	3	0	0					
		0.62%	0.97%	1.39%	0.49%	0.84%	0.21%	0.00%	0.58%	0.59%	0.47%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3937	439	519	533	451	276	255	306	524	374	65	195					
		59.72%	61.06%	65.70%	65.72%	53.95%	58.35%	50.60%	59.53%	61.57%	58.35%	67.01%	54.78%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	20	0	1	4	2	0	2	2	4	5	0	0					
		0.30%	0.00%	0.13%	0.49%	0.24%	0.00%	0.40%	0.39%	0.47%	0.78%	0.00%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
