Выборы Президента Российской Федерации																
																
Наименование Избирательной комиссии:    Лосино-Петровская городская																
																
Итоги голосования 																
																
		Сумма	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190					
1	"Число избирателей, внесенных в список"	16993	1797	1708	2048	1874	1796	2033	2024	1760	1953					
2	Число полученных избирательных бюллетеней	16936	1752	1721	2046	1866	1777	2037	2026	1754	1957					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8587	966	854	1064	922	849	1018	1030	872	1012					
5	"Число избирательных бюллетеней, выданных вне помещения"	384	92	29	33	21	41	36	59	38	35					
6	Число погашенных избирательных бюллетеней	7965	694	838	949	923	887	983	937	844	910					
7	Число избирательных бюллетеней в переносных ящиках	384	92	29	33	21	41	36	59	38	35					
8	Число бюллетеней в стационарных ящиках для голосования	8587	966	854	1064	922	849	1018	1030	872	1012					
9	Число недействительных избирательных бюллетеней	149	8	12	9	12	66	13	12	7	10					
10	Число действительных избирательных бюллетеней	8822	1050	871	1088	931	824	1041	1077	903	1037					
11	Число полученных открепительных  удостоверений	225	25	25	25	25	25	25	25	25	25					
12	Число выданных открепительных удостоверений	86	12	7	10	10	8	15	5	6	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	9	3	6	14	5	6	4	5	16					
14	Число неиспользованных открепительных удостоверений	139	13	18	15	15	17	10	20	19	12					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	1	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																
18	. Глазьев Сергей Юрьевич	375	47	44	37	41	31	34	38	41	62					
		4.18%	4.44%	4.98%	3.37%	4.35%	3.48%	3.23%	3.49%	4.51%	5.92%					
19	. Малышкин Олег Александрович	166	11	18	14	16	15	36	16	19	21					
		1.85%	1.04%	2.04%	1.28%	1.70%	1.69%	3.42%	1.47%	2.09%	2.01%					
20	. Миронов Сергей Михайлович	45	8	2	5	3	4	6	5	8	4					
		0.50%	0.76%	0.23%	0.46%	0.32%	0.45%	0.57%	0.46%	0.88%	0.38%					
21	. Путин Владимир Владимирович	6467	770	640	782	698	617	760	804	625	771					
		72.09%	72.78%	72.48%	71.29%	74.02%	69.33%	72.11%	73.83%	68.68%	73.64%					
22	. Хакамада Ирина Муцуовна	255	21	23	30	28	36	27	32	31	27					
		2.84%	1.98%	2.60%	2.73%	2.97%	4.04%	2.56%	2.94%	3.41%	2.58%					
23	. Харитонов Николай Михайлович	1131	137	96	173	98	103	137	135	145	107					
		12.61%	12.95%	10.87%	15.77%	10.39%	11.57%	13.00%	12.40%	15.93%	10.22%					
																
24	Против всех	383	56	48	47	47	18	41	47	34	45					
		4.27%	5.29%	5.44%	4.28%	4.98%	2.02%	3.89%	4.32%	3.74%	4.30%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
