Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																			
Дата голосования: 02.12.2007																																																																																			
																																																																																			
"Наименование Избирательной комиссии:    Курган, Восточная"																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №74	УИК №75	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №131	УИК №132	УИК №134	УИК №137	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185					
1	"Число избирателей, внесенных в списки избирателей"	139850	1169	1234	1803	1442	1394	1585	1786	2114	2248	1474	2165	2201	2386	2711	2019	2236	1999	2659	2118	2514	1672	1896	2050	2390	1813	1441	1488	1910	1849	2302	2248	2005	1988	2340	1826	810	406	1788	2352	1561	2105	1657	2708	2178	2636	2527	2585	2380	2485	1810	2629	2495	2064	1668	1711	2341	2804	2297	1925	1696	1377	2367	2247	1551	2692	1161	730	1949	1290	1547	1532	390	255	187	269	213					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	127445	1100	1200	1600	1300	1300	1400	1600	1900	2100	1400	2000	2000	2200	2500	1900	2100	1900	2400	1900	2300	1500	1700	1900	2200	1700	1300	1400	1800	1700	2100	2000	1800	1800	2100	1700	700	350	1700	2100	1400	1900	1500	2500	2000	2400	2300	2400	2100	2300	1700	2400	2300	1900	1500	1500	2000	2600	2100	1800	1500	1300	2200	2100	1300	2100	1100	650	1800	1200	1200	1400	385	260	190	270	240					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	79921	603	589	848	629	736	610	1012	819	1027	729	1338	1366	1230	1649	1172	1455	1257	1753	1306	1597	1105	1252	1207	1518	1129	917	917	1274	1116	1395	1368	1002	1099	1108	962	167	230	1029	1073	800	1247	957	1595	992	1030	1422	1538	1429	1390	863	1607	1307	1040	1013	1164	1455	1750	1431	1301	1115	973	1465	1330	900	1780	739	355	1055	798	730	860	267	196	158	159	117					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3353	22	23	42	16	33	27	21	35	27	19	26	47	39	27	32	29	54	23	23	30	50	38	35	35	42	45	41	42	37	54	53	34	50	30	35	138	4	18	114	29	34	28	25	36	65	36	61	101	28	38	39	30	28	43	38	68	77	77	41	46	30	55	46	149	68	16	29	35	49	24	25	111	59	25	87	87					
6	Число погашенных избирательных бюллетеней	44171	475	588	710	655	531	763	567	1046	1046	652	636	587	931	824	696	616	589	624	571	673	345	410	658	647	529	338	442	484	547	651	579	764	651	962	703	395	116	653	913	571	619	515	880	972	1305	842	801	570	882	799	754	963	832	444	298	477	773	592	458	339	297	680	724	251	252	345	266	710	353	446	515	7	5	7	24	36					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3353	22	23	42	16	33	27	21	35	27	19	26	47	39	27	32	29	54	23	23	30	50	38	35	35	42	45	41	42	37	54	53	34	50	30	35	138	4	18	114	29	34	28	25	36	65	36	61	101	28	38	39	30	28	43	38	68	77	77	41	46	30	55	46	149	68	16	29	35	49	24	25	111	59	25	87	87					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	79878	603	589	848	629	736	610	1008	818	1027	729	1335	1366	1230	1648	1172	1455	1256	1753	1304	1597	1105	1250	1207	1515	1129	916	917	1274	1115	1394	1368	998	1099	1107	960	167	230	1028	1072	799	1246	957	1595	992	1030	1422	1538	1428	1389	860	1607	1307	1040	1013	1163	1455	1748	1431	1301	1115	973	1464	1329	900	1780	739	355	1054	798	730	860	267	196	158	159	116					
9	Число недействительных избирательных бюллетеней	634	8	5	4	2	3	9	4	7	14	4	2	8	12	8	3	12	8	11	16	13	5	11	11	13	3	9	7	17	14	8	9	12	18	8	7	0	1	12	8	3	3	12	11	4	9	8	15	12	14	2	13	11	8	13	8	13	8	5	17	8	11	14	10	13	15	10	0	5	4	7	9	2	1	7	3	0					
10	Число действительных избирательных бюллетеней	82597	617	607	886	643	766	628	1025	846	1040	744	1359	1405	1257	1667	1201	1472	1302	1765	1311	1614	1150	1277	1231	1537	1168	952	951	1299	1138	1440	1412	1020	1131	1129	988	305	233	1034	1178	825	1277	973	1609	1024	1086	1450	1584	1517	1403	896	1633	1326	1060	1043	1193	1510	1817	1503	1325	1153	992	1505	1365	1036	1833	745	384	1084	843	747	876	376	254	176	243	203					
