Выборы Президента Российской Федерации																																							
																																							
"Наименование Избирательной комиссии:    Самара, Куйбышевская"																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858					
1	"Число избирателей, внесенных в список"	59782	2257	2487	1969	2320	1816	1742	1681	140	2220	2243	944	410	1808	1861	2408	1585	1060	1312	2107	2479	2312	1790	2556	2718	2229	2572	2801	1716	2354	1840	412	1633					
2	Число полученных избирательных бюллетеней	57500	2045	2307	1811	2200	1700	1600	1650	135	2150	2050	950	418	1800	1800	2280	1500	1000	1300	2000	2500	2100	1835	2600	2600	2270	2500	2476	1700	2400	1800	423	1600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30625	1155	1359	894	1404	855	936	818	80	1108	1016	320	204	850	902	1157	812	446	632	1085	1357	1139	935	1589	1737	1156	1767	1598	585	914	856	183	776					
5	"Число избирательных бюллетеней, выданных вне помещения"	1505	69	23	32	37	44	31	37	13	48	47	45	97	18	26	41	95	63	52	38	41	27	32	35	40	26	108	75	47	93	28	26	71					
6	Число погашенных избирательных бюллетеней	25370	821	925	885	759	801	633	795	42	994	987	585	117	932	872	1082	593	491	616	877	1102	934	868	976	823	1088	625	803	1068	1393	916	214	753					
7	Число избирательных бюллетеней в переносных ящиках	1504	69	23	32	37	44	31	37	13	48	46	45	97	18	26	41	95	63	52	38	41	27	32	35	40	26	108	75	47	93	28	26	71					
8	Число бюллетеней в стационарных ящиках для голосования	30592	1155	1359	894	1404	855	936	818	80	1108	1016	320	204	850	902	1147	812	446	632	1085	1357	1139	923	1586	1732	1153	1767	1598	585	914	856	183	776					
9	Число недействительных избирательных бюллетеней	359	23	8	10	12	16	8	11	0	15	16	9	3	4	9	12	7	7	11	16	20	17	1	11	8	17	8	8	7	21	29	3	12					
10	Число действительных избирательных бюллетеней	31737	1201	1374	916	1429	883	959	844	93	1141	1046	356	298	864	919	1176	900	502	673	1107	1378	1149	954	1610	1764	1162	1867	1665	625	986	855	206	835					
11	Число полученных открепительных  удостоверений	1750	30	34	20	145	20	35	20	10	26	20	10	10	20	20	20	20	0	20	40	30	20	140	490	90	20	145	205	20	20	20	10	20					
12	Число выданных открепительных удостоверений	1329	25	34	17	131	14	30	14	0	26	9	4	0	9	10	16	14	0	10	17	25	20	130	402	68	18	135	123	3	12	3	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	580	30	12	6	32	11	7	6	5	7	11	10	6	14	8	13	11	19	10	11	11	14	10	151	46	13	32	39	2	10	10	8	5					
14	Число неиспользованных открепительных удостоверений	421	5	0	3	14	6	5	6	10	0	11	6	10	11	10	4	6	0	10	23	5	0	10	88	22	2	10	82	17	8	17	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																							
18	. Глазьев Сергей Юрьевич	1259	61	54	31	33	49	51	39	1	65	26	14	15	59	48	66	38	19	43	33	62	55	37	53	51	49	35	37	26	32	35	4	38					
		3.92%	4.98%	3.91%	3.35%	2.29%	5.45%	5.27%	4.56%	1.08%	5.62%	2.45%	3.84%	4.98%	6.80%	5.17%	5.56%	4.19%	3.73%	6.29%	2.94%	4.43%	4.72%	3.87%	3.27%	2.88%	4.16%	1.87%	2.21%	4.11%	3.18%	3.96%	1.91%	4.49%					
19	. Малышкин Олег Александрович	625	20	28	15	27	14	25	18	2	18	38	6	9	18	16	26	22	11	8	38	32	26	18	27	27	25	36	20	4	17	17	6	11					
		1.95%	1.63%	2.03%	1.62%	1.87%	1.56%	2.59%	2.11%	2.15%	1.56%	3.58%	1.64%	2.99%	2.07%	1.72%	2.19%	2.43%	2.16%	1.17%	3.38%	2.29%	2.23%	1.88%	1.67%	1.52%	2.12%	1.92%	1.20%	0.63%	1.69%	1.92%	2.87%	1.30%					
20	. Миронов Сергей Михайлович	346	10	14	8	13	9	14	12	3	16	12	5	1	9	22	10	14	4	9	15	14	7	11	14	14	15	15	19	9	5	15	2	6					
		1.08%	0.82%	1.01%	0.86%	0.90%	1.00%	1.45%	1.40%	3.23%	1.38%	1.13%	1.37%	0.33%	1.04%	2.37%	0.84%	1.54%	0.79%	1.32%	1.34%	1.00%	0.60%	1.15%	0.86%	0.79%	1.27%	0.80%	1.14%	1.42%	0.50%	1.70%	0.96%	0.71%					
