Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																												
Дата голосования: 04.12.2011																												
																												
Наименование Избирательной комиссии:    Поворинская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021					
1	"Число избирателей, внесенных в список избирателей"	25909	397	2409	2345	2441	2204	2023	1989	986	1971	533	1005	1685	1522	1163	292	522	96	1176	307	489	354					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27500	430	2520	2520	2520	2520	2100	2100	1050	2050	580	1030	1710	1560	1200	330	560	130	1260	320	590	420					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16553	256	1635	1482	1781	1825	1462	1482	660	1268	262	441	828	896	450	135	212	71	630	210	291	276					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4980	98	267	427	303	252	413	348	217	306	118	356	399	314	467	115	209	21	176	29	89	56					
6	Число погашенных избирательных бюллетеней	5967	76	618	611	436	443	225	270	173	476	200	233	483	350	283	80	139	38	454	81	210	88					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4980	98	267	427	303	252	413	348	217	306	118	356	399	314	467	115	209	21	176	29	89	56					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16553	256	1635	1482	1781	1825	1462	1482	660	1268	262	441	828	896	450	135	212	71	630	210	291	276					
9	Число недействительных избирательных бюллетеней	199	6	41	0	0	18	3	0	9	40	9	9	14	20	4	2	2	0	12	5	5	0					
10	Число действительных избирательных бюллетеней	21334	348	1861	1909	2084	2059	1872	1830	868	1534	371	788	1213	1190	913	248	419	92	794	234	375	332					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	742	15	40	28	27	25	15	15	37	60	30	20	20	20	20	30	30	30	90	30	100	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	742	15	40	28	27	25	15	15	37	60	30	20	20	20	20	30	30	30	90	30	100	60					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	213	2	15	37	23	16	10	16	3	7	2	2	7	10	4	4	6	3	13	17	5	11					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	2	7	8	8	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
