Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																		
Дата голосования: 02.12.2007																																		
																																		
Наименование Избирательной комиссии:    Осинниковская городская																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783					
1	"Число избирателей, внесенных в списки избирателей"	52089	1811	2099	1039	1324	716	1659	1337	1859	1324	1689	2765	1581	1823	1089	2497	830	2461	2558	2485	2720	2854	2453	2428	858	2334	2807	2689					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	48300	1750	1950	950	1250	650	1600	1150	1750	1250	1650	2600	1450	1700	1000	2300	750	2300	2250	2300	2500	2600	2300	2200	800	2150	2600	2550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	36453	1241	1237	699	906	546	1082	906	1413	804	1029	1514	940	1419	755	1700	644	1742	2012	1829	1986	1940	1766	1781	633	1670	2245	2014					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3346	139	185	25	190	42	165	187	37	63	99	277	95	81	94	166	55	122	96	59	68	78	180	61	57	398	195	132					
6	Число погашенных избирательных бюллетеней	8501	370	528	226	154	62	353	57	300	383	522	809	415	200	151	434	51	436	142	412	446	582	354	358	110	82	160	404					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3346	139	185	25	190	42	165	187	37	63	99	277	95	81	94	166	55	122	96	59	68	78	180	61	57	398	195	132					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36453	1241	1237	699	906	546	1082	906	1413	804	1029	1514	940	1419	755	1700	644	1742	2012	1829	1986	1940	1766	1781	633	1670	2245	2014					
9	Число недействительных избирательных бюллетеней	465	14	8	4	80	7	13	1	24	15	16	11	11	19	11	24	3	9	12	18	24	11	18	27	57	14	0	14					
10	Число действительных избирательных бюллетеней	39334	1366	1414	720	1016	581	1234	1092	1426	852	1112	1780	1024	1481	838	1842	696	1855	2096	1870	2030	2007	1928	1815	633	2054	2440	2132					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1040	35	35	10	29	25	25	25	35	30	30	48	39	37	25	55	15	60	45	52	55	45	75	50	30	35	45	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1040	35	35	10	29	25	25	25	35	30	30	48	39	37	25	55	15	60	45	52	55	45	75	50	30	35	45	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	681	16	19	50	24	44	18	21	18	17	10	25	22	9	21	26	24	24	22	22	30	44	34	21	24	21	38	37					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	5	1	2	4	0	0	1	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	1.Политическая партия «Аграрная партия России»	512	27	33	1	11	7	18	15	11	14	11	22	12	10	6	34	7	43	6	36	19	28	17	30	8	17	27	42					
		1.29%	1.96%	2.32%	0.14%	1.00%	1.19%	1.44%	1.37%	0.76%	1.61%	0.98%	1.23%	1.16%	0.67%	0.71%	1.82%	1.00%	2.31%	0.28%	1.91%	0.93%	1.39%	0.87%	1.63%	1.16%	0.82%	1.11%	1.96%					
19	2.Всероссийская политическая партия «Гражданская Сила»	264	4	5	1	5	1	3	2	7	3	11	6	7	10	10	14	8	18	11	29	18	19	16	25	5	5	8	13					
		0.66%	0.29%	0.35%	0.14%	0.46%	0.17%	0.24%	0.18%	0.48%	0.35%	0.98%	0.34%	0.68%	0.67%	1.18%	0.75%	1.14%	0.97%	0.52%	1.54%	0.88%	0.94%	0.82%	1.36%	0.72%	0.24%	0.33%	0.61%					
20	3.Политическая партия «Демократическая партия России»	61	5	1	1	4	1	3	1	4	3	2	1	1	0	1	5	1	2	0	0	6	2	1	0	1	3	4	8					
		0.15%	0.36%	0.07%	0.14%	0.36%	0.17%	0.24%	0.09%	0.28%	0.35%	0.18%	0.06%	0.10%	0.00%	0.12%	0.27%	0.14%	0.11%	0.00%	0.00%	0.29%	0.10%	0.05%	0.00%	0.14%	0.15%	0.16%	0.37%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3121	116	131	115	56	29	59	50	105	75	85	149	45	104	62	200	27	261	156	161	164	191	184	227	15	67	128	159					
		7.84%	8.41%	9.21%	15.88%	5.11%	4.93%	4.73%	4.57%	7.24%	8.65%	7.54%	8.32%	4.35%	6.93%	7.30%	10.72%	3.86%	14.00%	7.40%	8.53%	7.98%	9.46%	9.46%	12.32%	2.17%	3.24%	5.25%	7.41%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	136	5	0	0	4	1	4	10	6	6	5	11	4	3	5	6	0	6	11	10	9	6	5	7	0	2	3	7					
		0.34%	0.36%	0.00%	0.00%	0.36%	0.17%	0.32%	0.91%	0.41%	0.69%	0.44%	0.61%	0.39%	0.20%	0.59%	0.32%	0.00%	0.32%	0.52%	0.53%	0.44%	0.30%	0.26%	0.38%	0.00%	0.10%	0.12%	0.33%					
23	6.Политическая партия «Партия социальной справедливости»	62	1	1	1	3	2	0	1	2	1	2	0	3	2	1	3	2	3	0	7	1	2	3	4	0	4	7	6					
		0.16%	0.07%	0.07%	0.14%	0.27%	0.34%	0.00%	0.09%	0.14%	0.12%	0.18%	0.00%	0.29%	0.13%	0.12%	0.16%	0.29%	0.16%	0.00%	0.37%	0.05%	0.10%	0.15%	0.22%	0.00%	0.19%	0.29%	0.28%					
24	7.Политическая партия «Либерально-демократическая партия России»	3656	90	120	118	70	42	101	65	142	83	132	195	109	139	100	137	52	165	77	202	193	213	218	181	31	172	220	289					
		9.19%	6.52%	8.44%	16.30%	6.39%	7.14%	8.10%	5.95%	9.79%	9.57%	11.70%	10.89%	10.53%	9.27%	11.78%	7.34%	7.44%	8.85%	3.65%	10.70%	9.40%	10.56%	11.20%	9.83%	4.49%	8.32%	9.02%	13.47%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1747	70	66	29	32	12	43	38	48	31	53	75	57	40	36	117	29	115	33	105	122	128	134	113	19	40	44	118					
		4.39%	5.07%	4.64%	4.01%	2.92%	2.04%	3.45%	3.48%	3.31%	3.58%	4.70%	4.19%	5.51%	2.67%	4.24%	6.27%	4.15%	6.17%	1.57%	5.56%	5.94%	6.34%	6.89%	6.13%	2.75%	1.93%	1.80%	5.50%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	188	7	7	1	7	3	6	5	5	3	5	9	2	18	4	13	3	11	0	6	12	12	9	14	0	10	10	6					
		0.47%	0.51%	0.49%	0.14%	0.64%	0.51%	0.48%	0.46%	0.34%	0.35%	0.44%	0.50%	0.19%	1.20%	0.47%	0.70%	0.43%	0.59%	0.00%	0.32%	0.58%	0.59%	0.46%	0.76%	0.00%	0.48%	0.41%	0.28%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	29218	1032	1041	453	818	479	986	902	1082	632	785	1290	769	1138	607	1298	562	1212	1802	1281	1464	1370	1309	1190	545	1725	1978	1468					
		73.41%	74.78%	73.21%	62.57%	74.64%	81.46%	79.07%	82.53%	74.62%	72.90%	69.59%	72.03%	74.30%	75.87%	71.50%	69.56%	80.40%	65.02%	85.48%	67.85%	71.28%	67.89%	67.27%	64.60%	78.99%	83.41%	81.07%	68.41%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	369	9	9	0	6	4	11	3	14	1	21	22	15	17	6	15	5	19	0	33	22	36	32	24	9	9	11	16					
		0.93%	0.65%	0.63%	0.00%	0.55%	0.68%	0.88%	0.27%	0.97%	0.12%	1.86%	1.23%	1.45%	1.13%	0.71%	0.80%	0.72%	1.02%	0.00%	1.75%	1.07%	1.78%	1.64%	1.30%	1.30%	0.44%	0.45%	0.75%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
